"Id","Name","Full Name","Title","Alias","Allegiance","Royal House","Culture","Reference"
"Orwyle","Orwyle","","Grand Maester","","","","","mentioned"
"Otto-Hightower","Otto Hightower","","Ser;Hand of the King","","House Hightower;Greens","","","mentioned"
"Rhaena-Targaryen-(daughter-of-Daemon)","Rhaena Targaryen (daughter of Daemon)","","Lady","Rhaena Targaryen (daughter of Daemon);Rhaena of Pentos","House Targaryen;House Corbray;House Hightower;Blacks","","","mentioned"
"Rhaenys-Targaryen-(daughter-of-Aemon)","Rhaenys Targaryen (daughter of Aemon)","","Princess","Rhaenys Targaryen (daughter of Aemon);The Queen Who Never Was","House Targaryen;House Velaryon;Blacks","","Valyrian","mentioned"
"Rickard-Thorne","Rickard Thorne","","Ser","","House Thorne;Kingsguard;Greens","","","mentioned"
"Lord-Staunton","Lord Staunton","","Lord of Rook's Rest","","House Staunton;Blacks","","","mentioned"
"Steffon-Darklyn","Steffon Darklyn","","Ser;Lord Commander of the Queensguard","","House Darklyn;Kingsguard;Queensguard;Blacks","","","mentioned"
"Tyland-Lannister","Tyland Lannister","","Ser;Master of ships;Master of coin;Hand of the King","","House Lannister;Greens","","","mentioned"
"Ulf-the-White","Ulf the White","","Ser;Lord of Bitterbridge","Ulf the White;Ulf White;Ulf the Sot;The Betrayer","Blacks;Greens","","","mentioned"
"Viserys-I-Targaryen","Viserys I Targaryen","Viserys Targaryen the First of His Name","","Viserys I Targaryen;The Young King;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Viserys-II-Targaryen","Viserys II Targaryen","Viserys Targaryen the Second of His Name","","Viserys II Targaryen;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm;Hand of the King","House Targaryen","House Targaryen","","mentioned"
"Willis-Fell","Willis Fell","","Ser","","House Fell;Kingsguard;Greens","","","mentioned"
