Name,type,value
Aegon I Targaryen,Queen,Visenya Targaryen;Rhaenys Targaryen
Aegon I Targaryen,Issue,Aenys I Targaryen;Maegor I Targaryen
Aegon I Targaryen,Father,Aerion Targaryen
Aegon I Targaryen,Mother,Valaena Velaryon
Aegon I Targaryen,Book(s),The World of Ice and Fire (mentioned) The Princess and the Queen (mentioned) The Hedge Knight (mentioned) The Sworn Sword (mentioned) The Mystery Knight (mentioned) A Game of Thrones (mentioned) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Aegon II Targaryen,Reign,129 AC - 131 AC
Aegon II Targaryen,Full Name,Aegon Targaryen the Second of His Name
Aegon II Targaryen,Alias,Aegon the Elder;Aegon the Usurper;
Aegon II Targaryen,Other Titles,King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm
Aegon II Targaryen,Born in,107 AC; at King's Landing;
Aegon II Targaryen,Died in,131 AC; at King's Landing;
Aegon II Targaryen,Royal House,House Targaryen
Aegon II Targaryen,Predecessor,Viserys I Targaryen
Aegon II Targaryen,Heir,1st: Jaehaerys Targaryen2nd: Maelor Targaryen
Aegon II Targaryen,Successor,Aegon III Targaryen
Aegon II Targaryen,Queen,Helaena Targaryen
Aegon II Targaryen,Issue,Jaehaerys Targaryen;Jaehaera Targaryen;Maelor Targaryen
Aegon II Targaryen,Father,Viserys I Targaryen
Aegon II Targaryen,Mother,Alicent Hightower
Aegon II Targaryen,Book(s),The World of Ice and Fire (mentioned) The Rogue Prince (mentioned) The Princess and the Queen (mentioned) A Game of Thrones (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Aegon III Targaryen,Reign,131 AC - 157 AC
Aegon III Targaryen,Full Name,Aegon Targaryen the Third of His Name
Aegon III Targaryen,Alias,Aegon the Younger;Aegon the Dragonbane;Aegon the Unlucky;The Broken King;;;
Aegon III Targaryen,Other Titles,King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm
Aegon III Targaryen,Born in,120 AC; at Dragonstone;
Aegon III Targaryen,Died in,157 AC; at King's Landing;
Aegon III Targaryen,Culture,Valyrian
Aegon III Targaryen,Royal House,House Targaryen
Aegon III Targaryen,Predecessor,Aegon II Targaryen
Aegon III Targaryen,Heir,Daeron I Targaryen
Aegon III Targaryen,Successor,Daeron I Targaryen
Aegon III Targaryen,Queen,1st: Jaehaera Targaryen2nd: Daenaera Velaryon;
Aegon III Targaryen,Issue,Daeron I Targaryen;Baelor I Targaryen;Daena Targaryen;Rhaena Targaryen;Elaena Targaryen
Aegon III Targaryen,Father,Daemon Targaryen
Aegon III Targaryen,Mother,Rhaenyra Targaryen
Aegon III Targaryen,Book(s),The World of Ice and Fire (mentioned) The Rogue Prince (mentioned) The Princess and the Queen (mentioned) The Hedge Knight (mentioned) A Game of Thrones (mentioned) A Storm of Swords (mentioned)
Aegon IV Targaryen,Reign,172 AC - 184 AC
Aegon IV Targaryen,Full Name,Aegon Targaryen the Fourth of His Name
Aegon IV Targaryen,Alias,Aegon the Unworthy
Aegon IV Targaryen,Other Titles,King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm
Aegon IV Targaryen,Born in,135 AC; at King's Landing
Aegon IV Targaryen,Died in,184 AC; at King's Landing
Aegon IV Targaryen,Royal House,House Targaryen
Aegon IV Targaryen,Predecessor,Viserys II Targaryen
Aegon IV Targaryen,Heir,Daeron II Targaryen
Aegon IV Targaryen,Successor,Daeron II Targaryen
Aegon IV Targaryen,Queen,Naerys Targaryen
Aegon IV Targaryen,Issue,Daeron II Targaryen;Daenerys Targaryen;Bastards:Daemon I Blackfyre;Alysanne;Lily;Willow;Rosey;Bellanora Otherys;Narha Otherys;Balerion Otherys;Aegor Rivers;Mya Rivers;Gwenys Rivers;Brynden Rivers;Shiera Seastar
Aegon IV Targaryen,Book(s),The World of Ice and Fire (mentioned) The Hedge Knight (mentioned) The Sworn Sword (mentioned) The Mystery Knight (mentioned) A Game of Thrones (mentioned) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Aegon V Targaryen,Reign,233 AC - 259 AC
Aegon V Targaryen,Full Name,Aegon Targaryen the Fifth of His Name
Aegon V Targaryen,Alias,Aegon the Unlikely;Aegon the Fortunate;Egg;The Prince Who Was An Egg
Aegon V Targaryen,Other Titles,King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm
Aegon V Targaryen,Born in,200 AC; at King's Landing
Aegon V Targaryen,Died in,259 AC; at Summerhall
Aegon V Targaryen,Royal House,House Targaryen
Aegon V Targaryen,Predecessor,Maekar I Targaryen
Aegon V Targaryen,Heir,1st: Duncan Targaryen (renounced rights)2nd: Jaehaerys Targaryen
Aegon V Targaryen,Successor,Jaehaerys II Targaryen
Aegon V Targaryen,Queen,Betha Blackwood
Aegon V Targaryen,Issue,Duncan Targaryen;Jaehaerys II Targaryen;Shaera Targaryen;Daeron Targaryen;Rhaelle Targaryen
Aegon V Targaryen,Father,Maekar I Targaryen
Aegon V Targaryen,Mother,Dyanna Dayne
Aegon V Targaryen,Book(s),The Hedge Knight (appears) The Sworn Sword (appears) The Mystery Knight (appears) The World of Ice and Fire (mentioned) A Game of Thrones (mentioned) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Aegon Targaryen (son of Rhaegar),Alias,Young Griff
Aegon Targaryen (son of Rhaegar),Allegiance,House Targaryen
Aegon Targaryen (son of Rhaegar),Culture,Valyrian
Aegon Targaryen (son of Rhaegar),Born,In 281 AC or 282 AC; at Dragonstone
Aegon Targaryen (son of Rhaegar),Died,In 283 AC (supposedly); at King's Landing;
Aegon Targaryen (son of Rhaegar),Book(s),The World of Ice and Fire (mentioned)  A Game of Thrones (mentioned) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Aegon Targaryen (son of Aenys I),Title,Prince
Aegon Targaryen (son of Aenys I),Allegiance,House Targaryen
Aegon Targaryen (son of Aenys I),Culture,Valyrian
Aegon Targaryen (son of Aenys I),Born,In 26 AC;
Aegon Targaryen (son of Aenys I),Died,In 43 AC; at Gods Eye
Aegon Targaryen (son of Aenys I),Spouse,Princess Rhaena Targaryen
Aegon Targaryen (son of Aenys I),Book(s),The World of Ice and Fire (mentioned)
Aegon Targaryen (son of Baelon),Title,Prince
Aegon Targaryen (son of Baelon),Allegiance,House Targaryen
Aegon Targaryen (son of Baelon),Culture,Valyrian
Aegon Targaryen (son of Baelon),Book(s),The World of Ice and Fire (mentioned)
Aegon Targaryen (son of Jaehaerys I),Title,Prince
Aegon Targaryen (son of Jaehaerys I),Allegiance,House Targaryen
Aegon Targaryen (son of Jaehaerys I),Culture,Valyrian
Aegon Targaryen (son of Jaehaerys I),Born,In or between 50 AC and 59 AC;
Aegon Targaryen (son of Jaehaerys I),Book(s),The World of Ice and Fire (mentioned)
Aegor Rivers,Alias,Bittersteel
Aegor Rivers,Title,Ser
Aegor Rivers,Allegiance,House Bracken;House Blackfyre;Second Sons;Golden Company
Aegor Rivers,Born,In 172 AC;
Aegor Rivers,Died,In 241 AC; at the Disputed Lands
Aegor Rivers,Spouse,Calla Blackfyre
Aegor Rivers,Book(s),The Sworn Sword (mentioned) The Mystery Knight (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned) The World of Ice and Fire (mentioned)
Aelinor Penrose,Title,Lady;Queen
Aelinor Penrose,Allegiance,House Penrose;House Targaryen
Aelinor Penrose,Spouse,King Aerys I Targaryen
Aelinor Penrose,Book(s),The World of Ice and Fire (mentioned) The Sworn Sword (mentioned)
Aemma Arryn,Title,Queen
Aemma Arryn,Allegiance,House Arryn;House Targaryen
Aemma Arryn,Born,In 82 AC;
Aemma Arryn,Died,In 105 AC;
Aemma Arryn,Spouse,King Viserys I Targaryen
Aemma Arryn,Book(s),The World of Ice and Fire (mentioned) The Rogue Prince (mentioned) The Princess and the Queen (mentioned)
Aemon Blackfyre,Allegiance,House Blackfyre
Aemon Blackfyre,Culture,Valyrian
Aemon Blackfyre,Born,In 184 AC;
Aemon Blackfyre,Died,In 196 AC; at Redgrass Field
Aemon Blackfyre,Book(s),The Sworn Sword (mentioned) The Mystery Knight (mentioned) A Storm of Swords (mentioned)
Aemon Costayne,Allegiance,House Costayne
Aemon Costayne,Book(s),A Storm of Swords (appears)
Aemon Estermont,Title,Ser
Aemon Estermont,Allegiance,House Estermont
Aemon Estermont,Culture,Stormlands
Aemon Estermont,Book(s),A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Aemon Rivers,Title,Ser
Aemon Rivers,Allegiance,House Frey
Aemon Rivers,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Aemon Rivers,Personal Arms,Quarterly; blue over a castle argent a bend sinister gules; Or three mistletoes a bordure vert.
Aemon Targaryen (son of Jaehaerys I),Title,Prince;Prince of Dragonstone
Aemon Targaryen (son of Jaehaerys I),Allegiance,House Targaryen
Aemon Targaryen (son of Jaehaerys I),Culture,Valyrian
Aemon Targaryen (son of Jaehaerys I),Born,In or between 52 AC and 61 AC;
Aemon Targaryen (son of Jaehaerys I),Died,In 92 AC;
Aemon Targaryen (son of Jaehaerys I),Spouse,Jocelyn Baratheon
Aemon Targaryen (son of Jaehaerys I),Book(s),The World of Ice and Fire (mentioned) The Rogue Prince (mentioned) The Princess and the Queen (mentioned)
Aemon Targaryen (Dragonknight),Alias,The Dragonknight;The Knight of Tears
Aemon Targaryen (Dragonknight),Title,Prince;Ser;Lord Commander of the Kingsguard
Aemon Targaryen (Dragonknight),Allegiance,House Targaryen;Kingsguard
Aemon Targaryen (Dragonknight),Culture,Valyrian
Aemon Targaryen (Dragonknight),Born,In 136 AC; at King's Landing
Aemon Targaryen (Dragonknight),Died,In or between 178 AC and 183 AC; at Westeros
Aemon Targaryen (Dragonknight),Book(s),The World of Ice and Fire (mentioned) The Hedge Knight (mentioned) The Sworn Sword (mentioned) A Game of Thrones (mentioned) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Aemon Targaryen (Maester Aemon),Alias,Aemon Targaryen;Maester Aemon;Uncle Maester
Aemon Targaryen (Maester Aemon),Title,Maester
Aemon Targaryen (Maester Aemon),Allegiance,Night's Watch
Aemon Targaryen (Maester Aemon),Culture,Valyrian
Aemon Targaryen (Maester Aemon),Born,In 198 AC;; at King's Landing
Aemon Targaryen (Maester Aemon),Died,In 300 AC; at the Cinnamon Wind; off the coast of Dorne; at the Summer Sea
Aemon Targaryen (Maester Aemon),Book(s),The Hedge Knight (mentioned) The Sworn Sword (mentioned) The Mystery Knight (mentioned) A Game of Thrones (appears) A Clash of Kings (mentioned) A Storm of Swords (appears) A Feast for Crows (appears) A Dance with Dragons (appears)
Aemon Targaryen (Maester Aemon),Played by,Peter Vaughan
Aemon Targaryen (Maester Aemon),TV series,Season 1
Aemond Targaryen,Alias,Aemond One-Eye Aemond the Kinslayer
Aemond Targaryen,Title,Prince;Protector of the Realm;Prince Regent
Aemond Targaryen,Allegiance,House Targaryen;Greens
Aemond Targaryen,Race,Valyrian
Aemond Targaryen,Culture,Valyrian
Aemond Targaryen,Born,In 110 AC
Aemond Targaryen,Died,In 130 AC; at the Gods Eye
Aemond Targaryen,Book(s),The World of Ice and Fire (mentioned) The Rogue Prince (mentioned) The Princess and the Queen (mentioned) A Dance with Dragons (mentioned)
Aenys Frey,Title,Ser
Aenys Frey,Allegiance,House Frey
Aenys Frey,Born,In or between 240 AC and 247 AC;
Aenys Frey,Died,In 300 AC; at near Winterfell
Aenys Frey,Spouse,Tyana Wylde
Aenys Frey,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Aenys I Targaryen,Reign,37 AC - 42 AC
Aenys I Targaryen,Full Name,Aenys Targaryen the First of His Name
Aenys I Targaryen,Other Titles,King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm
Aenys I Targaryen,Born in,7 AC; at Dragonstone
Aenys I Targaryen,Died in,42 AC; at Dragonstone;
Aenys I Targaryen,Royal House,House Targaryen
Aenys I Targaryen,Predecessor,Aegon I Targaryen
Aenys I Targaryen,Heir,Aegon Targaryen
Aenys I Targaryen,Successor,Maegor I Targaryen
Aenys I Targaryen,Queen,Alyssa Velaryon
Aenys I Targaryen,Issue,Rhaena Targaryen;Aegon Targaryen;Viserys Targaryen;Jaehaerys Targaryen;Alysanne Targaryen;Vaella Targaryen
Aenys I Targaryen,Father,Aegon I Targaryen
Aenys I Targaryen,Mother,Rhaenys Targaryen
Aenys I Targaryen,Book(s),The World of Ice and Fire (mentioned) A Game of Thrones (mentioned)
Aerion Targaryen,Alias,Aerion Brightflame;Aerion Brightfire;Aerion the Monstrous;The Bright Prince;The Prince Who Thought He Was a Dragon
Aerion Targaryen,Title,Prince
Aerion Targaryen,Allegiance,House Targaryen;Second Sons
Aerion Targaryen,Culture,Valyrian
Aerion Targaryen,Born,In or between 191 AC and 194 AC;
Aerion Targaryen,Died,In 232 AC
Aerion Targaryen,Spouse,Daenora Targaryen
Aerion Targaryen,Book(s),The World of Ice and Fire (mentioned) The Hedge Knight (appears) The Sworn Sword (mentioned) The Mystery Knight (mentioned) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Dance with Dragons (mentioned)
Aerion Targaryen,Personal Arms,a red three-headed dragon on black; one head orange; one yellow; one red; breathing golden flames
Aeron Greyjoy,Alias,The Damphair;Aeron Damphair
Aeron Greyjoy,Title,Priest of the Drowned God;Captain of the Golden Storm (formerly)
Aeron Greyjoy,Allegiance,House Greyjoy;Drowned men
Aeron Greyjoy,Culture,Ironmen
Aeron Greyjoy,Born,In or between 269 AC and 273 AC; at Pyke
Aeron Greyjoy,Book(s),A Game of Thrones (mentioned) A Clash of Kings (appears) A Storm of Swords (mentioned) A Feast for Crows (POV) A Dance with Dragons (mentioned) The Winds of Winter (POV)
Aerys I Targaryen,Reign,209 AC - 221 AC
Aerys I Targaryen,Full Name,Aerys Targaryen the First of His Name
Aerys I Targaryen,Other Titles,King of the Andals; the Rhoynar; and the First Men;Lord of the Seven Kingdoms;Protector of the Realm
Aerys I Targaryen,Born in,or between 172 AC and 176 AC; at King's Landing
Aerys I Targaryen,Died in,221 AC
Aerys I Targaryen,Royal House,House Targaryen
Aerys I Targaryen,Predecessor,Daeron II Targaryen
Aerys I Targaryen,Heir,Prince Rhaegel Targaryen;Prince Aelor Targaryen;Prince Maekar Targaryen
Aerys I Targaryen,Successor,Maekar I Targaryen
Aerys I Targaryen,Queen,Aelinor Penrose
Aerys I Targaryen,Issue,None
Aerys I Targaryen,Father,Daeron II Targaryen
Aerys I Targaryen,Mother,Mariah Martell
Aerys I Targaryen,Book(s),The World of Ice and Fire (mentioned) The Hedge Knight (mentioned) The Sworn Sword (mentioned) The Mystery Knight (mentioned) A Game of Thrones (mentioned)
Aerys II Targaryen,Reign,262 AC - 283 AC
Aerys II Targaryen,Full Name,Aerys Targaryen the Second of His Name
Aerys II Targaryen,Alias,The Mad King;King Scab
Aerys II Targaryen,Other Titles,King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm
Aerys II Targaryen,Born in,244 AC; at King's Landing;
Aerys II Targaryen,Died in,283 AC; at the Red Keep in King's Landing
Aerys II Targaryen,Royal House,House Targaryen
Aerys II Targaryen,Predecessor,Jaehaerys II Targaryen
Aerys II Targaryen,Heir,1st: Rhaegar Targaryen2nd: Viserys Targaryen
Aerys II Targaryen,Successor,Robert I Baratheon
Aerys II Targaryen,Queen,Rhaella Targaryen
Aerys II Targaryen,Issue,Rhaegar Targaryen;Shaena Targaryen;Daeron Targaryen;Aegon Targaryen;Jaehaerys Targaryen;Viserys Targaryen;Daenerys Targaryen.
Aerys II Targaryen,Father,Jaehaerys II Targaryen
Aerys II Targaryen,Mother,Shaera Targaryen
Aerys II Targaryen,Book(s),The World of Ice and Fire (mentioned) A Game of Thrones (mentioned) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Aethan,Allegiance,Night's Watch
Aethan,Book(s),A Storm of Swords (appears)
Aethelmure,Title,Grand Maester
Aethelmure,Book(s),A Game of Thrones (mentioned)
Aggar,Allegiance,House Greyjoy
Aggar,Died,In 299 AC; at Winterfell
Aggar,Book(s),A Clash of Kings (appears) A Dance with Dragons (mentioned)
Aggo,Title,Ko Bloodrider of Daenerys Targaryen
Aggo,Allegiance,House Targaryen
Aggo,Race,Dothraki
Aggo,Culture,Dothraki
Aggo,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Aglantine,Title,Septa
Aglantine,Allegiance,Faith of the Seven
Aglantine,Book(s),A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Agrivane,Title,Archmaester
Agrivane,Book(s),A Feast for Crows (mentioned)
Aladale Wynch,Title,Ser
Aladale Wynch,Allegiance,House Wynch;Night's Watch
Aladale Wynch,Culture,Ironborn
Aladale Wynch,Died,In 300 AC; at Bridge of Skulls
Aladale Wynch,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned)
Alan,Allegiance,Night's Watch
Alan,Died,In 300 AC; at the haunted forest
Alan,Book(s),A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Alannys Harlaw,Alias,Lanny
Alannys Harlaw,Title,Queen of the Iron Islands
Alannys Harlaw,Allegiance,House Greyjoy;House Harlaw
Alannys Harlaw,Culture,Ironborn
Alannys Harlaw,Spouse,Balon Greyjoy
Alannys Harlaw,Book(s),A Game of Thrones (mentioned) A Clash of Kings (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Alaric of Eysen,Book(s),A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Alayaya,Alias,'Yaya
Alayaya,Allegiance,Chataya's brothel
Alayaya,Race,Summer Islands
Alayaya,Born,In 282 AC or 283 AC; at King's Landing;
Alayaya,Book(s),A Clash of Kings (appears) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Albar Royce,Title,Ser
Albar Royce,Allegiance,House Royce of the Gates of the Moon
Albar Royce,Book(s),A Game of Thrones (appears) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (appears) A Dance with Dragons (mentioned)
Albett,Alias,Pimple
Albett,Allegiance,Night's Watch
Albett,Book(s),A Game of Thrones (appears) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Alebelly,Allegiance,House Stark
Alebelly,Culture,Northmen
Alebelly,Died,In 299 AC; at Winterfell
Alebelly,Book(s),A Clash of Kings (appears)
Alekyne Florent,Title,Lord of Brightwater (attainted)
Alekyne Florent,Allegiance,House Florent
Alekyne Florent,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Alequo Adarys,Alias,Silvertongue;The Tyrant of Tyrosh
Alequo Adarys,Allegiance,Band of Nine
Alequo Adarys,Culture,Tyroshi
Alequo Adarys,Died,In 266 AC;
Alequo Adarys,Book(s),A World of Ice and Fire (mentioned)
Alerie Hightower,Title,Lady of Highgarden
Alerie Hightower,Allegiance,House Hightower;House Tyrell
Alerie Hightower,Born,In or between 257 AC and 263 AC; at Oldtown;
Alerie Hightower,Spouse,Lord Mace Tyrell
Alerie Hightower,Book(s),A Game of Thrones (mentioned) A Clash of Kings (mentioned) A Storm of Swords (appears) A Feast for Crows (appears) A Dance with Dragons (mentioned)
Alesander Frey,Allegiance,House Frey
Alesander Frey,Born,In or between 265 AC and 281 AC;
Alesander Frey,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Alesander Staedmon,Alias,the Pennylover
Alesander Staedmon,Title,Lord of Broad Arch
Alesander Staedmon,Allegiance,House Staedmon
Alesander Staedmon,Book(s),A Clash of Kings (appears) A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Alesander Torrent,Title,Lord of Littlesister
Alesander Torrent,Allegiance,House Torrent
Alesander Torrent,Book(s),A Feast for Crows (appendix) A Dance with Dragons (mentioned)
Alester Florent,Title,Lord of Brightwater;Hand of the King
Alester Florent,Allegiance,House Florent
Alester Florent,Born,At Brightwater Keep;
Alester Florent,Died,In 300 AC; at Dragonstone
Alester Florent,Spouse,Lady Melara Crane
Alester Florent,Book(s),A Clash of Kings (appears) A Storm of Swords (appears) A Dance with Dragons (mentioned)
Alester Norcross,Allegiance,House Norcross
Alester Norcross,Born,In 290 AC or 291 AC;
Alester Norcross,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Alester Oakheart,Allegiance,House Oakheart
Alester Oakheart,Died,At Prince's Pass
Alester Oakheart,Book(s),A Feast for Crows (mentioned)
Alfyn,Alias,Alfyn Crowkiller
Alfyn,Culture,Free Folk
Alfyn,Died,In 299 AC
Alfyn,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Dance with Dragons (mentioned)
Alia,Race,Braavosi
Alia,Book(s),A Game of Thrones (mentioned)
Alicent Hightower,Title,Lady;Queen;Dowager Queen
Alicent Hightower,Allegiance,House Hightower;House Targaryen;Greens
Alicent Hightower,Born,In 88 AC;
Alicent Hightower,Died,In 133 AC;
Alicent Hightower,Spouse,King Viserys I Targaryen
Alicent Hightower,Book(s),The World of Ice and Fire (mentioned) The Rogue Prince (mentioned) The Princess and the Queen (mentioned)
All-for-Joffrey,Died,In 299 AC; at Riverlands
All-for-Joffrey,Book(s),A Clash of Kings (appears)
Alla Tyrell,Allegiance,House Tyrell
Alla Tyrell,Born,In or around 286 AC (roughly);
Alla Tyrell,Book(s),A Storm of Swords (appears) A Feast for Crows (appears) A Dance with Dragons (mentioned)
Allaquo,Culture,Braavosi
Allaquo,Book(s),A Feast for Crows (mentioned)
Allar Deem,Allegiance,City Watch of King's Landing
Allar Deem,Died,In 299 AC; at The Narrow Sea
Allar Deem,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned)
Allard Seaworth,Title,Captain of the Lady Marya
Allard Seaworth,Allegiance,House Seaworth
Allard Seaworth,Died,In 299 AC; at Blackwater Bay
Allard Seaworth,Book(s),A Clash of Kings (appears) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Alliser Thorne,Title,Ser
Alliser Thorne,Allegiance,House Thorne;Night's Watch
Alliser Thorne,Born,In 248 AC (roughly);
Alliser Thorne,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Alliser Thorne,Played by,Owen Teale
Alliser Thorne,TV series,Season 1
Allyria Dayne,Allegiance,House Dayne
Allyria Dayne,Book(s),A Storm of Swords (mentioned)
Alvyn Sharp,Allegiance,House Sharp
Alvyn Sharp,Culture,Ironborn
Alvyn Sharp,Book(s),A Feast for Crows (mentioned)
Alyce,Book(s),A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Alyce Graceford,Title,Lady
Alyce Graceford,Allegiance,House Graceford
Alyce Graceford,Book(s),A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Alyn,Allegiance,House Stark
Alyn,Died,In 298 AC; at riverlands
Alyn,Book(s),A Game of Thrones (appears) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Dance with Dragons (mentioned)
Alyn Ambrose,Allegiance,House Ambrose
Alyn Ambrose,Book(s),A Clash of Kings (appears) A Storm of Swords (mentioned) A Feast for Crows (appears) A Dance with Dragons (mentioned)
Alyn Cockshaw,Title,Lord
Alyn Cockshaw,Allegiance,House Cockshaw;House Blackfyre
Alyn Cockshaw,Died,In 211 AC; at Whitewalls
Alyn Cockshaw,Book(s),The World of Ice and Fire (mentioned) The Mystery Knight (appears)
Alyn Connington,Alias,The Pale Griffin
Alyn Connington,Title,Ser;Lord Commander of the Kingsguard
Alyn Connington,Allegiance,House Connington;Kingsguard
