"Id","Name","Full Name","Title","Alias","Allegiance","Royal House","Culture","Reference"
"Gormon-Peake","Gormon Peake","","Lord of Starpike; Dunstonbury (stripped) and Whitegrove (stripped)","Gormon Peake;Gormy","House Peake","","","appears"
"Haegon-Blackfyre","Haegon Blackfyre","","","","House Blackfyre","","Valyrian","mentioned"
"Harbert-Paege","Harbert Paege","","Ser","","House Paege","","","appears"
"Joffrey-Caswell","Joffrey Caswell","","Lord of Bitterbridge","","House Caswell","","","appears"
"Kirby-Pimm","Kirby Pimm","","Ser","","","","","appears"
"Kyle","Kyle","","Ser","Kyle;Cat of Misty Moor;Kyle the Cat","","","","appears"
"Leo-Tyrell-(Longthorn)","Leo Tyrell (Longthorn)","","Lord Paramount of the Mander;Lord of Highgarden;Defender of the Marches;High Marshal of the Reach;Warden of the South","Leo Tyrell (Longthorn);Leo Longthorn","House Tyrell","","Reach","mentioned"
"Lothar","Lothar","","Maester","","","","","appears"
"Lucas-Inchfield","Lucas Inchfield","","Ser","Lucas Inchfield;Lucas the Longinch","House Inchfield;House Webber","","","mentioned"
"Lucas-Nayland","Lucas Nayland","","Ser","","House Nayland","","","mentioned"
"Maekar-I-Targaryen","Maekar I Targaryen","","","","","","","mentioned"
"Mallor-(Knight)","Mallor (Knight)","","Ser","","","","","The Mystery Knight"
"Matarys-Targaryen","Matarys Targaryen","","Prince","Matarys Targaryen;The Even Younger Prince","House Targaryen","","","mentioned"
"Matarys-Targaryen","Matarys Targaryen","","Prince","Matarys Targaryen;The Even Younger Prince","House Targaryen","","","mentioned"
"Maynard-Plumm","Maynard Plumm","","Ser","","House Plumm","","","appears"
"Melaquin","Melaquin","","Maester","","","","","mentioned"
"Mortimer-Boggs","Mortimer Boggs","","Ser","","House Boggs","","","mentioned"
"Ned-(ferryman)","Ned (ferryman)","","","","","","","appears"
"Otho-Bracken","Otho Bracken","","Ser","Otho Bracken;The Brute of Bracken","House Bracken","","","mentioned"
"Penny-Jenny","Penny Jenny","","","Penny Jenny;Penny Jenny;Redgrass Jenny","","","","mentioned"
"Pudding","Pudding","","","","","","","mentioned"
"Quentyn-Ball","Quentyn Ball","","Ser","Quentyn Ball;Fireball","House Ball","","","mentioned"
"Rafe","Rafe","","","","","","","mentioned"
"Rhaegel-Targaryen","Rhaegel Targaryen","","Prince of Dragonstone","","House Targaryen","","Valyrian","mentioned"
"Roger-of-Pennytree","Roger of Pennytree","","","","","","","mentioned"
"Roland-Crakehall-(Kingsguard)","Roland Crakehall (Kingsguard)","","Ser","","House Crakehall;Kingsguard","","","appears"
"Steely-Pate","Steely Pate","","","","","","","mentioned"
"Tanselle","Tanselle","","","Tanselle;Tanselle Too-Tall","","","Dornishmen","mentioned"
"Tommard-Heddle","Tommard Heddle","","Ser","Tommard Heddle;Black Tom Heddle","House Heddle;House Butterwell;House Blackfyre","","","appears"
"Tybolt-Lannister","Tybolt Lannister","","Ser;Lord of Casterly Rock;Shield of Lannisport;Warden of the West","","House Lannister","","Westerman","mentioned"
"Uthor-Underleaf","Uthor Underleaf","","Ser","Uthor Underleaf;The Snail","","","","appears"
"Valarr-Targaryen","Valarr Targaryen","","Prince  Hand of the King (possibly);","Valarr Targaryen;The Young Prince","House Targaryen","","Valyrian","mentioned"
"Viserys-Plumm","Viserys Plumm","","Lord","","House Plumm","","","mentioned"
"Walder-Frey","Walder Frey","","Lord of the Crossing","Walder Frey;The Late Lord Frey;Old Frey","House Frey","","Rivermen","appears"
"Will-(squire)","Will (squire)","","","","","","","appears"
"Willem-Wylde","Willem Wylde","","Ser","","House Wylde;Kingsguard","","","mentioned"
