"Id","Name","Full Name","Title","Alias","Allegiance","Royal House","Culture","Reference"
"Gladden-Wylde","Gladden Wylde","","Ser","","House Wylde","","","appears"
"Godwyn","Godwyn","","","","House Lannister","","","appears"
"Gormon-Tyrell","Gormon Tyrell","","Maester","Gormon Tyrell;Maester Gormon","The Citadel","","","mentioned"
"Gowen-Baratheon","Gowen Baratheon","","","","House Baratheon","","","mentioned"
"Gregor-Clegane","Gregor Clegane","","Ser;Knight of Clegane's Keep","Gregor Clegane;The Mountain That Rides;The Mountain;The Great Dog;The Enormity That Rides","House Clegane;House Lannister","","","appears"
"Grenn","Grenn","","","Grenn;Aurochs","Night's Watch","","Westeros","appears"
"Grey-King","Grey King","","","Grey King;High King of the Iron Islands","","","Ironborn","mentioned"
"Gueren","Gueren","","","","Night's Watch","","","appears"
"Gunthor-son-of-Gurn","Gunthor son of Gurn","","","","Stone Crows","","","appears"
"Gurn","Gurn","","","","Stone Crows","","Vale mountain clans","mentioned"
"Gyles-Rosby","Gyles Rosby","","Lord of Rosby;Lord Treasurer;Master of Coin","Gyles Rosby;The Cougher","House Rosby","","","appears"
"Haggo","Haggo","","Bloodrider of Khal Drogo","","","","Dothraki","appears"
"Hake","Hake","","","","Night's Watch","","","appears"
"Halder","Halder","","","Halder;Stone Head ; ;","Night's Watch","","","appears"
"Hali","Hali","","","","","","Free Folk","appears"
"Hallis-Mollen","Hallis Mollen","","Captain of the guards for Winterfell","Hallis Mollen;Hal","House Mollen;House Stark","","Northmen","appears"
"Halys-Hornwood","Halys Hornwood","","Lord of the Hornwood;","","House Hornwood","","Northmen","appears"
"Harlan-Hunter","Harlan Hunter","","Ser","","House Hunter","","","mentioned"
"Harlen-Tyrell","Harlen Tyrell","","High Steward of Highgarden;Lord Paramount of the Mander;Lord of Highgarden;Warden of the South","Harlen Tyrell;Harlan Tyrell","House Tyrell","","Reach","mentioned"
"Harren-Hoare","Harren Hoare","Harren Hoare","","Harren Hoare;Harren the Black;Black Harren;King of the Isles and the Rivers","House Hoare","House Hoare","Ironborn","mentioned"
"Harrion-Karstark","Harrion Karstark","","Lord of Karhold","Harrion Karstark;Harry","House Karstark","","Northmen","appears"
"Harwin","Harwin","","","","House Stark;Brotherhood without banners","","Northmen","appears"
"Harwyn-Hoare","Harwyn Hoare","Harwyn Hoare","","Harwyn Hoare;Harwyn Hardhand;The Hardhand;King of the Iron Islands;King of the Isles and the Rivers","House Hoare","House Hoare","","mentioned"
"Harys-Swyft","Harys Swyft","","Knight of Cornfield;Ser;Hand of the King;Master of coin;Lord treasurer","","House Swyft","","","appears"
"Helman-Tallhart","Helman Tallhart","","Ser;Master of Torrhen's Square","","House Tallhart","","Northmen","appears"
"Heward","Heward","","","","House Stark","","northmen","appears"
"High-Septon-(fat_one)","High Septon (fat_one)","","High Septon;His High Holiness","High Septon (fat_one);The fat one","Faith of the Seven","","","appears"
"Lord-Commander-Hoare","Lord Commander Hoare","","Lord Commander of the Night's Watch","","House Hoare;Night's Watch","","","mentioned"
"Hobb","Hobb","","","Hobb;Three-Finger Hobb","Night's Watch","","","appears"
"Hobber-Redwyne","Hobber Redwyne","","Ser","Hobber Redwyne;Slobber","House Redwyne","","Reach","appears"
"Hodor","Hodor","","","Hodor;Hodor","House Stark","","Northmen","appears"
"Horas-Redwyne","Horas Redwyne","","Ser","Horas Redwyne;Horror","House Redwyne","","Reach","appears"
"Hosteen-Frey","Hosteen Frey","","Ser","Hosteen Frey;Ser Stupid","House Frey","","","appears"
"Hoster-Tully","Hoster Tully","","Lord Paramount of the Trident;Lord of Riverrun","","House Tully","","Rivermen","appears"
"Howland-Reed","Howland Reed","","Lord of Greywater Watch","","House Reed","","Crannogmen","mentioned"
"Hugh","Hugh","","Ser","Hugh;Ser Hugh of the Vale","House Arryn","","Valemen","appears"
"Hullen","Hullen","","Master of horse at Winterfell","","House Stark","","Northmen","appears"
"Illyrio-Mopatis","Illyrio Mopatis","","Magister of Pentos","Illyrio Mopatis;The Cheesemonger;The Fat Man;The Lord of Cheese","House Targaryen","","Pentoshi","appears"
"Ilyn-Payne","Ilyn Payne","","Ser King's Justice","","House Payne","","Westeros","appears"
"Irri","Irri","","","","House Targaryen","","Dothraki","appears"
"Jacks","Jacks","","","","House Stark","","northmen","appears"
"Jaehaerys-I-Targaryen","Jaehaerys I Targaryen","Jaehaerys Targaryen the First of His Name","","Jaehaerys I Targaryen;The Conciliator;The Wise;The Old King;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Jaehaerys-II-Targaryen","Jaehaerys II Targaryen","Jaehaerys Targaryen the Second of His Name","","Jaehaerys II Targaryen;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Targaryen","House Targaryen","","mentioned"
"Jafer-Flowers","Jafer Flowers","","","","Night's Watch","","","appears"
"Jaggot","Jaggot","","","","Stone Crows","","Vale mountain clans","appears"
"Jaime-Lannister","Jaime Lannister","","Ser;Lord Commander of the Kingsguard;Warden of the East (formerly)","Jaime Lannister;The Kingslayer;The Lion of Lannister;The Young Lion;Cripple","House Lannister;Kingsguard","","Westerlands","appears"
"Jalabhar-Xho","Jalabhar Xho","","Prince of the Red Flower Vale","","Summer Islands","","Summer Islands","appears"
"Janna-Tyrell","Janna Tyrell","","","","House Tyrell;House Fossoway of New Barrel","","","mentioned"
"Janos-Slynt","Janos Slynt","","Commander of the City Watch Lord of Harrenhal","","Night's Watch;House Slynt;City Watch of King's Landing","","","appears"
"Jared-Frey","Jared Frey","","Ser","","House Frey","","","appears"
"Jaremy-Rykker","Jaremy Rykker","","Seracting First Ranger","","Night's Watch","","","appears"
"Jason-Mallister","Jason Mallister","","Lord of Seagard","","House Mallister","","Riverlands","appears"
"Jeor-Mormont","Jeor Mormont","","Lord of Bear Island (formerly)Lord Commander of the Night's Watch","Jeor Mormont;The Old Bear","House Mormont;Night's Watch","","Northmen","appears"
"Jeren","Jeren","","","","Night's Watch","","","appears"
"Jeyne-Poole","Jeyne Poole","","","Jeyne Poole;Arya Stark","House Poole","","Northmen","appears"
"Jhaqo","Jhaqo","","Khal;Ko (formerly)","","","","Dothraki","appears"
"Jhiqui","Jhiqui","","","","House Targaryen","","Dothraki","appears"
"Jhogo","Jhogo","","Ko;Bloodrider","","House Targaryen","","Dothraki","appears"
"Joffrey-Baratheon","Joffrey Baratheon","Joffrey Baratheon the First of His Name","","Joffrey Baratheon;Joffrey the Illborn;The Young Usurper;Aerys the Third;Joffrey-called-Baratheon;King of the Andals; the Rhoynar and the First Men;Lord of the Seven Kingdoms;Protector of the Realm","House Baratheon of King's Landing","House Baratheon of King's Landing","","appears"
"Jommo","Jommo","","Khal","","","","Dothraki","appears"
"Jon-Arryn","Jon Arryn","","Lord of the Eyrie;Defender of the Vale;Warden of the East;Hand of the King","","House Arryn","","Valemen","mentioned"
"Jon-Snow","Jon Snow","","Lord Commander of the Night's Watch","Jon Snow;Lord Snow;Ned Stark's Bastard;The Snow of Winterfell;The Crow-Come-Over;The 998th Lord Commander of the Night's Watch;The Bastard of Winterfell;The Black Bastard of the Wall;Lord Crow","House Stark;Night's Watch","","Northmen","POV"
"Jon-Stark","Jon Stark","","King in the North","","House Stark","","","mentioned"
"Jon-Umber-(Greatjon)","Jon Umber (Greatjon)","","Lord of the Last Hearth","Jon Umber (Greatjon);The Greatjon;Greatjon Umber","House Umber","","Northmen","appears"
"Jon-Umber-(Smalljon)","Jon Umber (Smalljon)","","","Jon Umber (Smalljon);The Smalljon;Smalljon Umber","House Umber","","Northmen","appears"
"Jonella-Cerwyn","Jonella Cerwyn","","Lady of Cerwyn","","House Cerwyn","","Northmen","appears"
"Jonos-Bracken","Jonos Bracken","","Lord of Stone Hedge","","House Bracken","","","appears"
"Jorah-Mormont","Jorah Mormont","","Ser;Lord of Bear Island (stripped)","Jorah Mormont;Jorah the Andal;Bear","House Mormont;House Targaryen;Second Sons","","Northmen","appears"
"Jory-Cassel","Jory Cassel","","Captain of the guard","","House Cassel","","Northmen","appears"
"Joseth","Joseth","","","","House Stark","","","appears"
"Joss","Joss","","","","","","","appears"
"Joss-Stilwood","Joss Stilwood","","","","House Clegane","","","appears"
"Joyeuse-Erenford","Joyeuse Erenford","","Lady of the Crossing","","House Erenford;House Frey","","","appears"
"Jyck","Jyck","","","","House Lannister","","","appears"
"Karyl-Vance","Karyl Vance","","Ser;Lord of Wayfarer's Rest","","House Vance of Wayfarer's Rest","","","appears"
"Ketter","Ketter","","","","Night's Watch","","","appears"
"Kevan-Lannister","Kevan Lannister","","Ser;Master of laws;Lord Regent;Protector of the Realm","","House Lannister","","","appears"
"Kurleket","Kurleket","","","","House Bracken","","","appears"
"Kyra","Kyra","","","","House Stark","","","appears"
"Lancel-Lannister","Lancel Lannister","","Ser;Lord of Darry","","House Lannister of Casterly Rock;House Lannister of Darry;Noble and Puissant Order of the Warrior's Sons","","","appears"
"Lann-the-Clever","Lann the Clever","","","Lann the Clever;Lann the Clever","House Lannister","","","mentioned"
"Leo-Lefford","Leo Lefford","","Lord of the Golden Tooth","","House Lefford","","","appears"
"Lew-(guard)","Lew (guard)","","","","House Stark","","Northmen","mentioned"
"Lewyn-Martell","Lewyn Martell","","Prince;Ser","","House Martell;Kingsguard","","Dornishmen","mentioned"
"Lewys-Lydden","Lewys Lydden","","Lord of the Deep Den","","House Lydden","","","appears"
"Leyton-Hightower","Leyton Hightower","","Lord of the Hightower;Lord of the Port;Voice of Oldtown;Defender of the Citadel;Beacon of the South","Leyton Hightower;Old Man of Oldtown","House Hightower","","","mentioned"
"Lharys","Lharys","","","","House Bracken","","","appears"
"Lollys-Stokeworth","Lollys Stokeworth","","Lady of Stokeworth","Lollys Stokeworth;Lollys Lackwit","House Stokeworth","","","mentioned"
"Lomys","Lomys","","Maester","","","","","mentioned"
