Bennarion-Botley,Bennarion-Botley,,,,,,,,,,
Bennet,Septon-Bennet,Bennet,,,,,,,,,
Beqqo,Blind-Beqqo,Beqqo,,,,,,,,,
Beric-Dondarrion,Beric-Dondarrion,Lord-Beric,Dondarrion,Beric,,,,,,,
Beron-Blacktyde,Blind-Beron-Blacktyde,Beron-Blacktyde,,,,,,,,,
Bethany-(Blushing-Bethany),Blushing-Bethany,,,,,,,,,,
Biter,Biter,,,,,,,,,,
Blue-Bard,Blue-Bard,Wat-blue-bard,,,,,,,,,
Bonifer-Hasty,Ser-Bonifer-the-Good,Ser-Bonifer-Hasty,Baelor-Butthole,Bonifer-Hasty,Ser-Bonifer,Bonifer,,,,,
Boremund-Harlaw,Boremund-Harlaw,Boremund--the-Blue,Boremund,,,,,,,,
Boros-Blount,Ser-Boros-Blount,Boros-the-Belly,Boros-Blount,Ser-Boros,Boros,,,,,,
Bors,Bors,,,,,,,,,,
Bran-Stark,Bran-Stark,Bran,,,,,,,,,
Brea,Brea,,,,,,,,,,
Brella,Brella,,,,,,,,,,
Brienne-of-Tarth,Brienne-the-Beauty,Brienne-of-Tarth,Lady-Brienne,Brienne,,,,,,,
Bronn,Ser-Bronn-of-the-Blackwater,Ser-Bronn,Bronn,,,,,,,,
Brusco,Brusco,,,,,,,,,,
Brynden-Rivers,Brynden-Rivers,Bloodraven,,,,,,,,,
Brynden-Tully,Brynden-Blackfish,Ser-Brynden-Tully,Brynden-Tully,Ser-Brynden,Blackfish,Brynden,,,,,
Butterbumps,Butterbumps,,,,,,,,,,
Byron,Ser-Byron,Byron-the-Beautiful,Byron,,,,,,,,
Caleotte,Maester-Caleotte,Caleotte,,,,,,,,,
Canker-Jeyne,Canker-Jeyne,,,,,,,,,,
Carrot,Carrot,,,,,,,,,,
Catelyn-Stark,Catelyn-Stark,Catelyn-Tully,Lady-Catelyn,Lady-Stark,Catelyn,Cat-Stark,Lady-Stoneheart,Stoneheart,,,
Cedra,Cedra,,,,,,,,,,
Cedric-Payne,Ser-Cedric-Payne,Cedric-Payne,Ser-Cedric,Cedric,,,,,,,
Cersei-Lannister,Lady-of-Casterly-Rock,Cersei-Lannister,Queen-Regent,Queen-Cersei,Cersei,the-queen,queen-Cersei,The-queen,,,
Clarence-Crabb,Clarence-the-Short,Ser-Clarence-Crabb,Clarence-Crabb,Ser-Clarence,Clarence,,,,,,
Clayton-Suggs,Clayton-Suggs,Ser-Clayton-Suggs,,,,,,,,,
Clement,Brother-Clement,,,,,,,,,,
Clement-Crabb,Clement-Crabb,Clement,,,,,,,,,
Clement-Piper,Clement-Piper,Lord-Piper,,,,,,,,,
Cleos-Frey,Ser-Cleos-Frey,Cleos-Frey,Ser-Cleos,Cleos,,,,,,,
Cletus-Yronwood,Cletus-Yronwood,,,,,,,,,,
Clydas,Clydas,,,,,,,,,,
Coldhands,Coldhands,,,,,,,,,,
Colemon,Maester-Colemon,Colemon,,,,,,,,,
Colloquo-Votar,Colloquo-Votar,,,,,,,,,,
Corliss-Penny,Corliss-Penny,Ser-Corliss-Penny,,,,,,,,,
Cossomo,Cossomo,Cossomo-the-Conjurer,,,,,,,,,
Cotter-Pyke,Cotter-Pyke,,,,,,,,,,
Courtenay-Greenhill,Courtenay-Greenhill,,,,,,,,,,
Cragorn,Cragorn,,,,,,,,,,
Craster,Craster,,,,,,,,,,
Creighton-Longbough,Ser-Creighton-Longbough,Creighton-Longbough,Ser-Creighton,Creighton,,,,,,,
Creighton-Redfort,Creighton-Redfort,Ser-Creighton-Redfort,,,,,,,,,
Cressen,Cressen,Maester-Cressen,,,,,,,,,
Criston-Cole,Criston-the-Kingmaker,Criston-Cole,Ser-Criston,Kingmaker,Criston,Cole,,,,,
Daemon-Sand,Ser-Daemon-Sand,Daemon-Sand,Ser-Daemon,Daemon,Bastard-of-Godsgrace,,,,,,
Daena-Targaryen,Daena-Targaryen,Daena,,,,,,,,,
Daenerys-Targaryen,Daenerys-Stormborn,Daenerys-Targaryen,Stormborn,Khaleesi,Daenerys,Dany,the-queen-Dany,,,,
Daeron-I-Targaryen,King-Daeron-the-First,Daeron-I-Targaryen,,,,,,,,,
Daeron-II-Targaryen,good-King-Daeron,second-Daeron,Daeron-II-Targaryen,King-Daeron,,,,,,,
Dagmer,Dagmer,Dagmer-Cleftjaw,,,,,,,,,
Dagon-Greyjoy,Dagon-Greyjoy,Lord-Dagon,Dagon,,,,,,,,
Dagon-Ironmaker,Dagon-Ironmaker,,,,,,,,,,
Dake,Dake,,,,,,,,,,
Dale-Drumm,Dale-Drumm,Dale-the-Dread,,,,,,,,,
Dalla,Dalla,,,,,,,,,,
Damion-Lannister,Damion-Lannister,Damion,,,,,,,,,
Damon-Shett,Damon-Shett,Ser-Damon-Shett,,,,,,,,,
Danelle-Lothston,Danelle-Lothston,Lady-Lothston,Mad-Danelle,,,,,,,,
Danwell-Frey,Danwell-Frey,Ser-Danwell-Frey,,,,,,,,,
Dareon,Dareon,black-singer,,,,,,,,,
Daughter-of-the-Dusk,Daughter-of-the-Dusk,,,,,,,,,,
Daven-Lannister,Ser-Daven-Lannister,Daven-Lannister,Ser-Daven,Daven,,,,,,,
Demon-of-Darry,Demon-of-Darry,,,,,,,,,,
Denestan,Maester-Denestan,,,,,,,,,,
Denyo-Terys,Denyo-Terys,Denyo,,,,,,,,,
Denys-Arryn,Ser-Denys-Arryn,Denys-Arryn,Ser-Denys,Denys,,,,,,,
Denys-Darklyn,Lord-of-Duskendale,Denys-Darklyn,Lord-Darklyn,Lord-Denys,,,,,,,
Denys-Drumm,Denys-Drumm,,,,,,,,,,
Dermot,Ser-Dermot-of-the-Rainwood,Ser-Dermot,Dermot,,,,,,,,
Desmond-Grell,Desmond-Grell,Ser-Desmond-Grell,,,,,,,,,
Deziel-Dalt,Deziel-Dalt,Ser-Deziel-Dalt;-The-Knight-of-Lemonwood,Deziel,Knight-of-Lemonwood,,,,,,,
Dick-Crabb,Dick-Crabb,Crabb,Nimble-Dick,,,,,,,,
Dickon-Tarly,Dickon-Tarly,Dickon,,,,,,,,,
Donal-Noye,Donal-Noye,,,,,,,,,,
Donel-Greyjoy,Donel-Greyjoy,,,,,,,,,,
Donnel-Drumm,Donnel-Drumm,,,,,,,,,,
Donnel-Haigh,Donnel-Haigh,Ser-Donnel-Haigh,,,,,,,,,
Donnel-of-Duskendale,Ser-Donnel-of-Duskendale,Donnel-of-Duskendale,,,,,,,,,
Donnel-Waynwood,Donnel-Waynwood,Ser-Donnel-Waynwood,,,,,,,,,
Dontos-Hollard,Ser-Dontos-the-Red,Dontos-Hollard,Young-Dontos,Ser-Dontos,Dontos,,,,,,
Doran-Martell,Doran-Martell,Prince-Doran,Doran,prince-Doran,Prince-of-Dorne,,,,,,
Dorcas,Dorcas,,,,,,,,,,
Dorea-Sand,Dorea-Sand,Dorea,,,,,,,,,
Drunken-Daughter,Drunken-Daughter,,,,,,,,,,
Dunk,Duncan,Ser-Duncan,Ser-Duncan-the-Tall,,,,,,,,
Dunsen,Dunsen,,,,,,,,,,
Dunstan-Drumm,Dunstan-Drumm,the-Drumm,Drumm,Dunstan-King,The-Drumm,,,,,,
Ebrose,Archmaester-Ebrose,Ebrose,,,,,,,,,
Eddard-Stark,Lord-Stark-of-Winterfell,Lord-Eddard-Stark,Eddard-Stark,Lord-Eddard,Lord-Stark,Ned-Stark,Eddard,Ned,King-in-the-North-Ned,,
Eddison-Tollett,Dolorous-Edd-Tollett,Dolorous-Edd,Edd-Tollett,Edd,Tollett,Eddison-Tollett,,,,,
Edgerran-Oakheart,Edgerran-Oakheart,Lord-Edgerran-Oakheart,Lord-Edgerran-the-Open-Handed,,,,,,,,
Edmund-Ambrose,Edmund-Ambrose,Ser-Edmund-Ambrose,,,,,,,,,
Edmund-Waxley,Edmund-Waxley,Lord-Edmund-Waxley,Lord-Waxley,,,,,,,,
Edmure-Tully,Lord-Edmure-Tully,Edmure-Tully,Lord-Edmure,Ser-Edmure,Edmure,Lord-Tully,Lord-of-Riverrun,,,,
Edwyn-Frey,Edwyn-Frey,Edwyn,,,,,,,,,
Edwyn-Stark,Edwyn-Stark,King-Edwyn-Stark,Spring-King,,,,,,,,
Eglantine,Septa-Eglantine,Eglantine,,,,,,,,,
Elbert-Arryn,Elbert-Arryn,Elbert,,,,,,,,,
Elder-Brother,Elder-Brother,,,,,,,,,,
Eldon-Estermont,Eldon-Estermont,Lord-Eldon-Estermont,Lord-Estermont,,,,,,,,
Eldred-Codd,Eldred-Codd,,,,,,,,,,
Elia-Martell,Elia-Martell,Elia,,,,,,,,,
Elinor-Tyrell,Elinor-Tyrell,Lady-Elinor,Elinor,,,,,,,,
Ellaria-Sand,Ellaria-Sand,Ellaria,,,,,,,,,
Ellendor,Ellendor,Grand-Maester-Ellendor,Grand-Maester,,,,,,,,
Ellyn-Tarbeck,Ellyn-Tarbeck,Lady-Ellyn,Ellyn,Lady-Tarbeck,,,,,,,
Elys-Waynwood,Ser-Elys-Waynwood,Elys-Waynwood,Ser-Elys,Elys,,,,,,,
Emma,Emma,,,,,,,,,,
Emmon-Frey,Lord-Emmon-Frey,Lord-Emmon,Emmon-Frey,Ser-Emmon,Emmon,Emm,,,,,
Emmond,Emmond,,,,,,,,,,
Eon-Hunter,Eon-Hunter,Lord-Eon-Hunter,Lord-Eon,,,,,,,,
Erik-Ironmaker,Erik-Anvil-Breaker,Erik-Ironmaker,Erik-the-Just,Anvil-Breaker,King-Erik,Ironmaker,Erik,,,,
Ermesande-Hayford,Ermesande-Hayford,Lady-Ermesande-Hayford,Lady-Ermesande,,,,,,,,
Erryk-(guard),Erryk,Right,,,,,,,,,
Euron-Greyjoy,Euron-Greyjoy,Euron-Crow,Lord-Euron,Euron,king-Euron,Euron-Crow-Eye,Crow-Eye,,,,
Eustace-(Braavos),Eustace,Eustace-of-Braavos,,,,,,,,,
Eustace-Brune,Lord-Eustace-Brune,Eustace-Brune,Lord-Brune,,,,,,,,
Eustace-Hunter,Eustace-Hunter,Ser-Eustace-Hunter,,,,,,,,,
Ezzelyno,Ezzelyno,,,,,,,,,,
Falia-Flowers,Falia-Flowers,,,,,,,,,,
Falyse-Stokeworth,Lady-Falyse-of-Stokeworth,Sweet-Falyse,Lady-Falyse,Falyse-Stokeworth,Falyse,,,,,,
Fat-fellow,fat-fellow,,,,,,,,,,
Flement-Brax,Flement-Brax,Ser-Flement-Brax,,,,,,,,,
Florian-the-Fool,Florian-the-Fool,Florian,,,,,,,,,
Forley-Prester,Ser-Forley-Prester,Forley-Prester,Ser-Forley,Forley,,,,,,,
Fralegg,Fralegg,Fralegg-the-Strong,,,,,,,,,
Franklyn-Fowler,Franklyn-Fowler,Lord-Fowler,Old-Hawk,,,,,,,,
Frenken,Frenken,Maester-Frenken,,,,,,,,,
Frynne,Frynne,,,,,,,,,,
Galladon-of-Morne,Ser-Galladon-of-Morne,Ser-Galladon,Perfect-Knight,Galladon-of-Morne,,,,,,,
Galladon-of-Tarth,Galladon-Tarth,Galladon,,,,,,,,,
Garin-(orphan),Garin,,,,,,,,,,
Garin-(prince),Garin-the-Great,Prince-Garin,,,,,,,,,
Garlan-Tyrell,Ser-Garlan-the-Gallant,Garlan-the-Gallant,Ser-Garlan,Garlan-Tyrell,Garlan,,,,,,
Garrett-Paege,Garrett-Paege,,,,,,,,,,
Garrison-Prester,Garrison-Prester,Lord-Garrison-Prester,Lord-Prester,,,,,,,,
Garth-Hightower,Garth-Hightower,Ser-Garth-Hightower,Greysteel,,,,,,,,
Garth-Tyrell,Garth-the-Gross,Garth-Tyrell,Garth,,,,,,,,
Garth-XII-Gardener,Garth-Gardener,King-Garth-XII-Gardener,,,,,,,,,
Gascoyne,Gascoyne,Gascoyne-of-the-Greenblood,Ser-Gascoyne,,,,,,,,
Gawen-Westerling,Lord-Gawen-Westerling,Gawen-Westerling,Lord-Westerling,Lord-Gawen,Gawen,,,,,,
Gendry,Ser-Gendry,Gendry,,,,,,,,,
Genna-Lannister,Genna-Lannister,Lady-Genna,Genna,,,,,,,,
Gerion-Lannister,Gerion-Lannister,Gerion,,,,,,,,,
Germund-Botley,Germund-Botley,Germund,Lord-of-Lordsport,,,,,,,,
Gerold-Dayne,Ser-Gerold-Dayne,Gerold-the-Great,Gerold-Dayne,Ser-Gerold,Darkstar,Gerold,,,,,
Gerold-Grafton,Gerold-Grafton,Lord-Gerold-Grafton,Lord-Grafton,Grafton,,,,,,,
Gillam,Brother-Gillam,Gillam,,,,,,,,,
Gilly,Gilly,,,,,,,,,,
Gilwood-Hunter,Young-Lord-Hunter,Gilwood-Hunter,Lord-Hunter,Hunter,Lord-of-Longbow-Hall,,,,,,
Godric-Borrell,Godric-Borrell,Lord-Godric-Borrell,Lord-Borrell,,,,,,,,
Godry-Farring,Godry-Farring,Ser-Godry-Farring,Giantslayer,,,,,,,,
Goodwin,Ser-Goodwin,Goodwin,,,,,,,,,
Gorghan-of-Old-Ghis,Gorghan,Gorghan-of-Old-Ghis,,,,,,,,,
Gormon-Tyrell,Gormon,Maester-Gormon-(Tyrell),,,,,,,,,
Gormond-Drumm,Gormond-Drumm-the-Oldfather,Gormond-Drumm,,,,,,,,,
Gormond-Goodbrother,Gormond-Goodbrother,Gormond,,,,,,,,,
Gorold-Goodbrother,Gorold-Goodbrother,Lord-Gorold,Gorold,,,,,,,,
Gran-Goodbrother,Gran-Goodbrother,,,,,,,,,,
Greatheart,Greatheart,,,,,,,,,,
Gregor-Clegane,Ser-Gregor-Clegane,Gregor-Clegane,Ser-Gregor,Gregor-the-Mountain,Gregor,the-Mountain-that-Rides,the-Mountain,The-Mountain,,,
Grenn,Grenn,,,,,,,,,,
Gretchel,Gretchel,,,,,,,,,,
Grey-King,Grey-King,,,,,,,,,,
Greydon-Goodbrother,Greydon-Goodbrother,Greydon,,,,,,,,,
Griffin-King,Griffin-King,,,,,,,,,,
Gulian,Gulian,Maester-Gulian,,,,,,,,,
Gunthor-Hightower,Ser-Gunthor,Gunthor-Hightower,Gunthor,,,,,,,,
Guthor-Grimm,Guthor-Grimm,Lord-Guthor-Grimm,Lord-Grimm,,,,,,,,
Gwayne-Gaunt,Gwayne-Gaunt,Ser-Gwayne-Gaunt,,,,,,,,,
Gwin-Goodbrother,Gwin-Goodbrother,,,,,,,,,,
Gwynesse-Harlaw,Lady-Gwynesse,Gwynesse,Gwynesse-Harlaw,,,,,,,,
Gylbert-Farwynd,Gylbert-Farwynd,Lord-Gylbert-Farwynd,Lord-Farwynd,,,,,,,,
Gyleno-Dothare,Gyleno-Dothare,,,,,,,,,,
Gyles-Farwynd,Gyles-Farwynd,,,,,,,,,,
Gyles-Grafton,Gyles-Grafton,,,,,,,,,,
Gyles-Greycloak,Gyles-Greycloak,,,,,,,,,,
Gyles-Rosby,Lord-Gyles-Rosby,Gyles-Rosby,Lord-Rosby,Lord-Gyles,Gyles,,,,,,
Gyloro-Dothare,Gyloro-Dothare,,,,,,,,,,
Gysella-Goodbrother,Gysella-Goodbrother,,,,,,,,,,
Haereg,Haereg,,,,,,,,,,
Hairy-Hal,Hairy-Hal,,,,,,,,,,
Hallyne,Hallyne-of-the-Guild-of-Alchemists,Lord-Hallyne,Hallyne,,,,,,,,
Hamish-the-Harper,Hamish-the-Harper,Hamish,,,,,,,,,
Handsome-man,handsome-man,,,,,,,,,,
Harlan-Hunter,Harlan-Hunter,young-Harlan,,,,,,,,,
Harlon-Botley,Harlon-Botley,,,,,,,,,,
Harlon-Greyjoy,Harlon-Greyjoy,,,,,,,,,,
Harmen-Uller,Lord-of-Hellholt,Harmen-Uller,Lord-Harmen,Lord-Uller,Harmen,,,,,,
Harmund-Sharp,Harmund-Sharp,,Harmund,,,,,,,,
Harmune,Harmune,Maester-Harmune,,,,,,,,,
Harrag-Hoare,Harrag-Hoare,King-Harrag-Hoare,,,,,,,,,
Harrag-Sharp,Harrag-Sharp,,,,,,,,,,
Harras-Harlaw,Ser-Harras-Harlaw,Harras-Harlaw,Ser-Harras,Harras,Lord-of-Greyshield,,,,,,
Harren-Botley,Harren-Botley,,,,,,,,,,
Harren-Half-Hoare,Harren-Half-Hoare,,,,,,,,,,
Harren-Hoare,Harren-Hoare,Black-Harren,,,,,,,,,
Harrold-Hardyng,Harrold-Hardyng,Harry-the-Heir,Lord-Harrold,Ser-Harrold,Ser-Harry,Hardyng,Harrold,Harry-Hardyng,,,
Harry-Sawyer,Harry-Sawyer,,,,,,,,,,
Harwin,Harwin,,,,,,,,,,
Harwood-Fell,Harwood-Fell,Lord-Harwood-Fell,,,,,,,,,
Harwyn-Plumm,Harwyn-Plumm,Ser-Harwyn,Harwyn,,,,,,,,
Harys-Haigh,Harys-Haigh,Ser-Harys-Haigh,,,,,,,,,
Harys-Swyft,Ser-Harys-Swyft,Harys-Swyft,Ser-Harys,King-Hand_Swyft,,,,,,,
Helliweg,Helliweg,Maester-Helliweg,,,,,,,,,
Herbert-Bolling,Herbert-Bolling,Ser-Herbert-Bolling,,,,,,,,,
Hibald,Hibald,,,,,,,,,,
High-Septon-(Tyrions),High-Septon-Old,,,,,,,,,,
High-Sparrow,High-Holiness,High-Septon,Holiness,High-Sparrow,,,,,,,
Hilmar-Drumm,Hilmar-Drumm,,,,,,,,,,
Hobb,Hobb,Three-Finger-Hobb,,,,,,,,,
Hobber-Redwyne,Hobber-Redwyne,Ser-Hobber-Redwyne;-Slobber,Hobber,,,,,,,,
Hodor,Hodor,,,,,,,,,,
Hoke,Hoke,Hoke-the-Horseleg,,,,,,,,,
Horas-Redwyne,Horas-Redwyne,Horas,,,,,,,,,
Horton-Redfort,Lord-of-Redfort,Horton-Redfort,Lord-Redfort,Lord-Horton,Redfort,Horton,,,,,
Hosteen-Frey,Hosteen-Frey,,,,,,,,,,
Hostella-Frey,Hostella-Frey,,,,,,,,,,
Hoster-Tully,Lord-Hoster-Tully,Hoster-Tully,Lord-Hoster,Hoster,,,,,,,
Hot-Pie,Hot-Pie,,,,,,,,,,
Hotho-Harlaw,Hotho-the-Humpback,Hotho-Humpback,Hotho-Harlaw,Humpback,Hotho,,,,,,
Hugh-Beesbury,Hugh-Beesbury,Ser-Hugh-Beesbury,,,,,,,,,
Hugh-Clifton,Hugh-Clifton,,,,,,,,,,
Hugo-Vance,Hugo-Vance,Ser-Hugo-Vance,Ser-Hugo,,,,,,,,
Humfrey-Hewett,Humfrey-Hewett,Lord-Humfrey-Hewett,Lord-Hewett,,,,,,,,
Humfrey-Hightower,Humfrey-Hightower,Ser-Humfrey-Hightower,,,,,,,,,
Humfrey-Swyft,Humfrey-Swyft,,,,,,,,,,
Humfrey-Wagstaff,Humfrey-Wagstaff,Ser-Humfrey,Wagstaff,,,,,,,,
Humfrey-Waters,Humfrey-Waters,,,,,,,,,,
Hyle-Hunt,Ser-Hyle-Hunt,Hyle-Hunt,Ser-Hyle,Hyle,Hunt,,,,,,
Illifer,Ser-Illifer-the-Penniless,Illifer-the-Penniless,Ser-Illifer,Penniless,Illifer,,,,,,
Ilyn-Payne,Ser-Ilyn-Payne,Ilyn-Payne,Ser-Ilyn,Ilyn,Kings-Justice,,,,,,
Jack-Bulwer,Black-Jack-Bulwer,Jack-Bulwer,Black-Jack,,,,,,,,
Jaehaerys-I-Targaryen,Jaehaerys-the-Conciliator,King-Jaehaerys,Conciliator,Jaehaerys,king-Jaehaerys,,,,,,
Jaime-Lannister,Jaime-Lannister,Kingslayer,Lord-Jaime,Ser-Jaime,Jaime,Lord-Commander-of-the-Kingsguard,Young-Lion,Lord-Commander-Jaime,,,
Jalabhar-Xho,Prince-Jalabhar,Jalabhar-Xho,Jalabhar,Xho,,,,,,,
Janna-Frey,Janna-Frey,,,,,,,,,,
Janna-Tyrell,Janna-Fossoway,Lady-Janna-Fossoway,Lady-Janna,,,,,,,,
Janos-Slynt,Janos-Slynt,Lord-Janos,Slynt,Janos,,,,,,,
Jaqen-Hghar,Jaqen,Jaqen-Hghar,,,,,,,,,
Jason-Mallister,Jason-Mallister,Lord-Jason-Mallister,Lord-Jason,,,,,,,,
Jasper-Arryn,Lord-Jasper-Arryn,Jasper-Arryn,Lord-Jasper,Jasper,,,,,,,
Jasper-Redfort,Jasper-Redfort,Ser-Jasper-Redfort,,,,,,,,,
Jate,Jate,,,,,,,,,,
Jeffory-Norcross,Jeffory-Norcross,Neveryield,,,,,,,,,
Jennelyn-Fowler,Jennelyn-Fowler,,,,,,,,,,
Jenny-(Oldstones),Jenny-of-Oldstones,,,,,,,,,,
Jeor-Mormont,Lord-Commander-Mormont,Lord-Mormont,Jeor-Mormont,Old-Bear,Mormont,Bear,,,,,
Jeyne-Darry,Jeyne-Darry,,,,,,,,,,
Jeyne-Farman,Fat-Jeyne-Farman,Jeyne-Farman,Jeyne,,,,,,,,
Jeyne-Fowler,Jeyne-Fowler,,,,,,,,,,
Jeyne-Heddle,Long-Jeyne-Heddle,Jeyne-Heddle,Long-Jeyne,,,,,,,,
Jeyne-Poole,Jeyne-Poole,,,,,,,,,,
