Bryan,Ser-Bryan,Bryan,,,,,,,,,,,,
Bryce-Caron,Lord-Bryce-Caron,Lord-Bryce,Bryce-Caron,Bryce,Lord-Caron,,,,,,,,,
Brynden-Tully,Brynden-Blackfish,Blackfish,Brynden-Tully,Brynden,,,,,,,,,,
Burton-Crakehall,Burton,Lord-Crakehall,Crakehall,Burton-Crakehall,Crakehall,,,,,,,,,
Caswell,Lord-Caswell,Caswell,,,,,,,,,,,,
Catelyn-Stark,Lady-Catelyn-Stark,Lady-Catelyn,Lady-Stark,Catelyn-Stark,Catelyn,Cat,,,,,,,,
Cersei-Lannister,Queen-Regent,Queen-Cersei-Lannister,Queen-Cersei,Cersei-Lannister,Cersei,the-queen,The-queen,Lannister-woman,Lannister queen,,,,,
Chataya,Chataya,,,,,,,,,,,,,
Chayle,Septon-Chayle,Chayle,,,,,,,,,,,,
Chella,Chella,,,,,,,,,,,,,
Cleos-Frey,Ser-Cleos-Frey,Cleos-Frey,Ser-Cleos,Cleos,,,,,,,,,,
Cley-Cerwyn,Cley-Cerwyn,Cley,young Cerwyn,Young Cerwyn,Cerwyn boy,,,,,,,,,
Lord Cerwyn,Lord Cerwyn,,,,,,,,,,,,,
Colen,Ser-Colen,Colen,,,,,,,,,,,,
Cortnay-Penrose,Ser-Cortnay-Penrose,Cortnay-Penrose,Ser-Cortnay,Cortnay,,,,,,,,,,
Lord Penrose,Lord Penrose,old Penrose,,,,,,,,,,,,
Craster,Craster,,,,,,,,,,,,,
Cregan,Lord-Cregan,Cregan,,,,,,,,,,,,
Cressen,Maester-Cressen,Cressen,,,,,,,,,,,,
Daenerys-Targaryen,Daenerys-Stormborn,Stormborn,Daenerys-Targaryen,Dany,Khaleesi,Daenerys,,,,,,,,
Daeron-II,Daeron-II-Targaryen,King-Daeron-II-Targaryen,King-Daeron,Daeron-II,,,,,,,,,,
Prince-Daeron,Prince-Daeron-Targaryen,Prince-Daeron,,,,,,,,,,,,
Dagmer-Cleftjaw,Dagmer-Cleftjaw,Cleftjaw,Dagmer,,,,,,,,,,,
Dalbridge,Squire-Dalbridge,Dalbridge,,,,,,,,,,,,
Daven,Ser-Daven,Daven,,,,,,,,,,,,
Davos-Seaworth,Ser-Davos-Seaworth,Davos-Seaworth,Onion-Knight,Davos-Seaworth,Ser-Davos,Davos-Shorthand,Davos,,,,,,,
Denys-Mallister,Denys-Mallister,Denys,,,,,,,,,,,,
Deremond,Lord-Deremond,Deremond,,,,,,,,,,,,
Dermot,Ser-Dermot,Dermot,,,,,,,,,,,,
Desmond-Grell,Ser-Desmond-Grell,Ser-Desmond,Desmond-Grell,Desmond,,,,,,,,,,
Devan,Devan,,,,,,,,,,,,,
Donella-Hornwood,Lady-Donella-Hornwood,Lady-Hornwood,Donella-Hornwood,Lady-Donella,Donella,,,,,,,,,
Donnel-Locke,Donnel-Locke,Donnel,,,,,,,,,,,,
Donnor,Lord-Donnor,Donnor,,,,,,,,,,,,
Dontos-Hollard,Ser-Dontos-the-Red,Dontos-the-Red,Ser-Dontos,Dontos,,,,,,,,,,
Doran-Martell,Prince-Doran-Martell,Prince-Doran,Doran-Martell,Doran,,,,,,,,,,
Dorren-Stark,Dorren-Stark,Dorren,,,,,,,,,,,,
Dragonknight,Prince-Aemon,PrinceAemon,Dragonknight,,,,,,,,,,,
Drogo,Khal-Drogo,Drogo,,,,,,,,,,,,
Dywen,Dywen,,,,,,,,,,,,,
Ebben,Ebben,,,,,,,,,,,,,
Dolorous-Edd,Dolorous-Edd,Edd,Eddison-Tollett,Tollett,,,,,,,,,,
Eddard-Stark,Lord-Eddard-Stark,Ned-Stark,Lord-Eddard,Eddard-Stark,Ned,HandoftheKingNed,Eddard,Stark,,,,,,
Edmure-Tully,Ser-Edmure-Tully,Lord-Edmure-Tully,Edmure-Tully,Lord-Edmure,Ser-Edmure,Edmure,,,,,,,,
Edrick-Snowbeard,Edrick-Snowbeard,Snowbeard,Edrick,,,,,,,,,,,
Edwyd-Fossoway,Ser-Edwyd,Edwyd-Fossoway,Edwyd,,,,,,,,,,,
Edwyle,Lord-Edwyle,Edwyle,,,,,,,,,,,,
Edwyn-Stark,Edwyn-Stark,Edwyn-the-Spring-King,,,,,,,,,,,,
Elbert-Arryn,Elbert-Arryn,Elbert,,,,,,,,,,,,
Elia-Martell,Princess-Elia,Elia-Martell,Elia,,,,,,,,,,,
Elmar-Frey,Elmar,Elmar-Frey,,,,,,,,,,,,
Emmon-Cuy,Ser-Emmon-Cuy,Ser-Emmon,Cuy,Emmon-Cuy,,,,,,,,,,
Emmon-Frey,Ser-Emmon-Frey,Ser-EmmonFrey,Emmon-Frey,,,,,,,,,,,
Endrew-Tarth,Ser-Endrew-Tarth,Ser-Endrew,Endrew,Endrew-Tarth,,,,,,,,,,
Ermesande,Lady-Ermesande,Ermesande,,,,,,,,,,,,
Errol,Ser-Errol,Errol,,,,,,,,,,,,
Erryk,Ser-Erryk,Erryk,,,,,,,,,,,,
Esgred,Esgred,,,,,,,,,,,,,
Estermont,Lord-Estermont,Estermont,,,,,,,,,,,,
Farlen,Farlen,,,,,,,,,,,,,
Flement-Brax,Flement-Brax,Flement,,,,,,,,,,,,
Frenken,Maester-Frenken,Frenken,,,,,,,,,,,,
Galbart-Glover,Galbart-Glover,Lord-Glover,,,,,,,,,,,,
Gage,Gage,,,,,,,,,,,,,
Garlan-Tyrell,Ser-Garlan-Tyrell,Garlan-Tyrell,Garlan-the-Gallant,Ser-Garlan,Garlan,,,,,,,,,
Gawen-Wylde,Gawen,Gawen-Wylde,Ser-Gawen,Wylde,,,,,,,,,,
Gendry,Gendry,,,,,,,,,,,,,
Genna,Genna,Lady-Genna,,,,,,,,,,,,
Greatjon-Umber,Greatjon-Umber,Lord-Umber,Greatjon,,,,,,,,,,,
Gregor-Clegane,Gregor-Clegane,the Mountain,Ser-Gregor,Gregor,Ser-Gregor-Clegane,,,,,,,,,
Grenn,Grenn,,,,,,,,,,,,,
Gulian-Swann,Lord-Gulian-Swann,Lord-Swann,Gulian-Swann,Gulian,,,,,,,,,,
Guncer-Sunglass,Lord-Guncer-Sunglass,Guncer-Sunglass,Lord-Sunglass,Guncer,Sunglass,,,,,,,,,
Guyard-Morrigen,Ser-Guyard,Guyard-Morrigen,Guyard,Guyard-the-Green,,,,,,,,,,
Gyles-Rosby,Lord-Gyles-Rosby,Lord-Gyles,Gyles,Rosby,Gyles-Rosby,,,,,,,,,
Hal-Mollen,Hal-Mollen,Hal,,,,,,,,,,,,
Hallis-Mollen,Hallis-Mollen,Hallis,Mollen,,,,,,,,,,,
Hallyne,Hallyne-the-Pyromancer,Hallyne,Pyromancer,,,,,,,,,,,
Halys Hornwood,Lord-Halys,Lord Hornwood,Halys,,,,,,,,,,,
Harbert,Ser-Harbert,Harbert,,,,,,,,,,,,
Harra,Lady-Harra,Goodwife-Harra,Harra,,,,,,,,,,,
Harren,Black-Harren,Harren-the-Black,King-Harren,Harren,,,,,,,,,,
Harrion-Karstark,Harrion-Karstark,Harrion,,,,,,,,,,,,
Harys-Haigh,Ser-Harys-Haigh,Harys-Haigh,Ser-Harys-Haigh,,,,,,,,,,,
Harys-Swyft,Ser-Harys-Swyft,Harys-Swyft,,,,,,,,,,,,
Hayhead,Hayhead,,,,,,,,,,,,,
Helman-Tallhart,Ser-Helman-Tallhart,Ser-Helman,Helman-Tallhart,Helman,,,,,,,,,,
High-Septon,High-Septon,,,,,,,,,,,,,
Hobber-Redwyne,Ser-Hobber-Redwyne,Hobber-Redwyne,Hobber-Redwyne,Hobber,,,,,,,,,,
Hodor,Hodor,,,,,,,,,,,,,
Horas-Redwyne,Ser-Horas-Redwyne,Horas-Redwyne,Ser-Horas,Horas,,,,,,,,,,
Hosteen-Frey,Ser-Hosteen-Frey,Ser-Hosteen,Hosteen-Frey,Hosteen,,,,,,,,,,
Hoster-Tully,Lord-Hoster-Tully,Lord-Hoster,Hoster-Tully,Hoster,Lord-of-Riverrun,Lord-Tully,,,,,,,,
Hot-Pie,Hot-Pie,,,,,,,,,,,,,
Hother-Umber,Hother-Umber,Hother,,,,,,,,,,,,
Howland-Reed,Howland-Reed,Howland,Lord-of-Greywater,,,,,,,,,,,
Hubard-Rambton,Ser-Hubard,Hubard-Rambton,Hubard,,,,,,,,,,,
Illyrio-Mopatis,Illyrio-Mopatis,Mopatis,Magister-Illyrio,Illyrio,,,,,,,,,,
Ilyn-Payne,Ser-Ilyn-Payne,Ilyn-the-King,Ilyn-Payne,Ser-Ilyn,KingsJustice,Ser-Ilyn,Ilyn,,,,,,,
Imry-Florent,High-Captain-Ser-Imry-Florent,Ser-Imry-Florent,Imry-Florent,Ser-Imry,Imry,,,,,,,,,
Jacelyn-Bywater,Lord-Jacelyn-Bywater,Lord-Bywater,Ser-Jacelyn,Lord-Jacelyn,Jacelyn-Bywater,Jacelyn,Bywater,,,,,,,
Jaehaerys,King-Jaehaerys,Jaehaerys,,,,,,,,,,,,
Jaime-Lannister,Kingslayer,Ser-Jaime-Lannister,Ser-Jaime,Jaime-the-Kingslayer,Jaime-Lannister,Jaime,,,,,,,,
Janos-Slynt,Lord-Janos-Slynt,Janos-Slynt,Lord-Slynt,Lord-Janos,Janos,Slynt,,,,,,,,
Jaqen,Jaqen,,,,,,,,,,,,,
Jared-Frey,Jared,Jared-Frey,,,,,,,,,,,,
Jaremy-Rykker,Ser-Jaremy-Rykker,Ser-Jaremy,Jaremy-Rykker,Jaremy,,,,,,,,,,
Jarman-Buckwell,Jarman-Buckwell,Jarman,Jarmen-Buckwell,Jarmen,Buckwell,,,,,,,,,
Jason-Mallister,Lord-Jason-Mallister,Jason-Mallister,Lord-Jason,Jason,,,,,,,,,,
Jast,Lord-Jast,Jast,,,,,,,,,,,,
Jeffory-Mallister,Jeffory-Mallister,Jeffory,,,,,,,,,,,,
Jeor-Mormont,Lord-Mormont,Lord-Crow,Jeor-Mormont,Old-Bear,Lord-of-Bear-Island,Commander-Mormont,Jeor,Lord-Commander-of-the-Night,LordCommanderoftheNightsWatch,Mormont,,,,
Jeyne-Poole,Jeyne-Poole,Jeyne,,,,,,,,,,,,
Jhaqo,Khal-Jhaqo,Jhaqo,,,,,,,,,,,,
Jhogo,Ko-Jhogo,Jhogo,,,,,,,,,,,,
Joffrey-Baratheon,Prince-Joffrey-Baratheon,King-Joffrey-Baratheon,Prince-Joffrey,Joffrey-the-Illborn,King-Joffrey,Joffrey-Baratheon,Joffrey,Joff,boy-king,the-king,The-king,,,
Jojen-Reed,Jojen-Reed,Jojen,Reed boy,,,,,,,,,,,
Jon-Arryn,Jon-Arryn,Lord-Arryn,HandoftheKingArryn,LordJon,,,,,,,,,,
Jon-Fossoway,Ser-Jon-Fossoway,Jon-Fossoway,JonFossoway,,,,,,,,,,,
Jon-Snow,Jon-Snow,Lord-Snow,Jon,Bastard o Winterfell,bastard-Jon,Snow,,,,,,,,
Jonnel,Lord-Jonnel,Jonnel,,,,,,,,,,,,
Jonos-Bracken,Lord-Jonos-Bracken,Lord-Jonos,Jonos,Bracken,Jonos-Bracken,,,,,,,,,
Jonquil,Jonquil,,,,,,,,,,,,,
Jorah-Mormont,Ser-Jorah-Mormont,Jorah-Mormont,Ser-Jorah,Jorah,,,,,,,,,,
Jory-Cassel,Jory-Cassel,Jory,,,,,,,,,,,,
Karyl-Vance,Karyl-Vance,Karyl,,,,,,,,,,,,
Kevan-Lannister,Ser-Kevan-Lannister,Kevan-Lannister,Ser-Kevan,Kevan,,,,,,,,,,
Koss,Koss,,,,,,,,,,,,,
Kyle-Royce,Kyle-Royce,Kyle,,,,,,,,,,,,
Kym,Maester-Kym,Kym,,,,,,,,,,,,
Lamprey,Lord-Lamprey,Lamprey,,,,,,,,,,,,
Lancel-Lannister,Ser-Lancel-Lannister,Ser-Lancel,Lancel,,,,,,,,,,,
Larence-Snow,Larence-Snow,Larence,bastard-Hornwood,,,,,,,,,,,
Leech,Lord-Leech,Leech,,,,,,,,,,,,
Lefford,Lord-Lefford,Lefford,,,,,,,,,,,,
Leobald-Tallhart,Leobald-Tallhart,Leobald,,,,,,,,,,,,
Lollys-Stokeworth,Lollys-Stokeworth,Stokeworth,Lollys,,,,,,,,,,,
Lady-Lollys,Lady-Lollys,,,,,,,,,,,,,
Loras-Tyrell,Ser-Loras-Tyrell,Knight-of-Flowers,Ser-Loras,Loras,,,,,,,,,,
Lorren,Black-Lorren,Lorren,,,,,,,,,,,,
Lothston,Lord-Lothston,Lothston,,,,,,,,,,,,
Lucas-Blackwood,Lucas-Blackwood,Lucas,,,,,,,,,,,,
Luwin,Maester-Luwin,Luwin,,,,,,,,,,,,
Lyanna-Stark,Lady-Lyanna,Lyanna,Lyanna-Stark,,,,,,,,,,,
Lydden,Lord-Lydden,Lydden,,,,,,,,,,,,
Lymond-Vikary,Lymond-Vikary,Lymond,Vikary,,,,,,,,,,,
Lynesse,Lynesse,Lady-Lynesse,,,,,,,,,,,,
Lyonel,Ser-Lyonel,Lyonel,,,,,,,,,,,,
Lysa-Arryn,Lady-Lysa-Arryn,Lady-Lysa,Lady-Arryn,Lysa-Arryn,Lysa,,,,,,,,,
Mace-Tyrell,Lord-Mace-Tyrell,Lord-of-Highgarden,Mace-Tyrell,Lord-Tyrell,Mace,,,,,,,,,
Maekar,King-Maekar,Maekar,,,,,,,,,,,,
Malcolm,Ser-Malcolm,Malcolm,,,,,,,,,,,,
Mallador-Locke,Mallador-Locke,Mallador,,,,,,,,,,,,
Mance-Rayder,Mance-Rayder,Rayder,Mance,King-beyond-the-Wall,,,,,,,,,,
Mandon-Moore,Ser-Mandon-Moore,Mandon-Moore,Ser-Mandon,Mandon,Moore,,,,,,,,,
Manolo,Magister-Manolo,Manolo,,,,,,,,,,,,
Margaery-Tyrell,Lady-Margaery-Tyrell,Lady-Margaery,Margaery-Tyrell,Margaery,,,,,,,,,,
Mark-Mullendore,Mark-Mullendore,Mark,,,,,,,,,,,,
Martyn-Lannister,Martyn-Lannister,,,,,,,,,,,,,
Martyn-Rivers,Martyn-Rivers,,,,,,,,,,,,,
Marya,Lady-Marya,Marya,,,,,,,,,,,,
Mathis-Rowan,Lord-Mathis-Rowan,Lord-Mathis,Mathis-Rowan,Mathis,Lord Rowan,,,,,,,,,
Meera-Reed,Lady-Meera-Reed,Meera-Reed,Lady-Meera,Meera,Reed girl,,,,,,,,,
Melisandre,Lady-Melisandre,Melisandre,red-woman,red-priestess,,,,,,,,,,
Meryn-Trant,Ser-Meryn-Trant,Meryn-Trant,Ser-Meryn,Meryn,,,,,,,,,,
Mikken,Mikken,,,,,,,,,,,,,
Minisa-Tully,Lady-Minisa-Tully,Lady-Minisa,Minisa-Tully,Minisa,,,,,,,,,,
Mooton,Lord-Mooton,Mooton,,,,,,,,,,,,
Mordane,Septa-Mordane,Septa,Mordane,,,,,,,,,,,
Morros-Slynt,Morros-Slynt,Morros,,,,,,,,,,,,
Mors-Umber,Mors-Crowfood,Crowfood,Mors-Umber,Mors,,,,,,,,,,
Mott,Master-Mott,Mott,,,,,,,,,,,,
Myrcella-Baratheon,Princess-Myrcella-Baratheon,Myrcella-Baratheon,Princess-Myrcella,Myrcella,,,,,,,,,,
Naerys,Princess-Naerys,Naerys,,,,,,,,,,,,
Nan,Old-Nan,Nan,,,,,,,,,,,,
Olyvar Frey,Olyvar Frey,Olyvar,,,,,,,,,,,,
Osfryd-Kettleblack,Osfryd-Kettleblack,Osfryd,,,,,,,,,,,,
Osha,Osha,,,,,,,,,,,,,
Osmund-Kettleblack,Ser-Osmund-Kettleblack,Ser-Osmund,Osmund-Kettleblack,Osmund,,,,,,,,,,
Osmynd,Osmynd,Septon-Osmynd,,,,,,,,,,,,
Osney-Kettleblack,Osney-Kettleblack,Osney,,,,,,,,,,,,
Ottyn-Wythers,Ser-Ottyn-Wythers,Ottyn-Wythers,Ser-Ottyn,Ottyn,,,,,,,,,,
Parmen-Crane,Ser-Parmen-Crane,Parmen-Crane,Ser-Parmen,Crane,Parmen,,,,,,,,,
Patchface,Patchface,,,,,,,,,,,,,
Patrek-Mallister,Patrek-Mallister,Patrek,,,,,,,,,,,,
Paxter-Redwyne,Lord-Paxter-Redwyne,Paxter-Redwyne,Lord-Paxter,Paxter,,,,,,,,,,
Perwyn-Frey,Ser-Perwyn-Frey,Perwyn-Frey,Ser-Perwyn,Perwyn,,,,,,,,,,
Petyr-Baelish,Lord-Petyr-Baelish,Petyr-Baelish,Lord-Baelish,Lord-Paramount,Baelish,Lord-Petyr,Lord-Littlefinger,Littlefinger,Petyr,,,,,
Philip-Foote,Ser-Philip-Foote,Foote,Ser-Philip,Philip,Lord-Philip,,,,,,,,,
Podrick-Payne,Podrick-Payne,Pod,Podrick,,,,,,,,,,,
Pono,Khal-Pono,Pono,,,,,,,,,,,,
Preston-Greenfield,Ser-Preston-Greenfield,Ser-Preston,Preston-Greenfield,Preston,,,,,,,,,,
Pyat-Pree,Pyat-Pree,Pyat,Pree,,,,,,,,,,,
Pycelle,Grand-Maester-Pycelle,Maester-Pycelle,Grand-Maester,Pycelle,,,,,,,,,,
Pylos,Lord-Maester,Maester-Pylos,Pylos,,,,,,,,,,,
Qalen,Maester-Qalen,Qalen,,,,,,,,,,,,
Qhorin-Halfhand,Qhorin-Halfhand,Halfhand,Qhorin,,,,,,,,,,,
Raff,Raff-the-Sweetling,Raff,,,,,,,,,,,,
Ramsay Bolton,Ramsay Snow,Lord-Ramsay,Ramsay Bolton,the Bastard of Bolton,Ramsay,Bolton bastard,bastard of the Dreadfort,the Bastard,bastard-Ramsay,,,,,
Randyll-Tarly,Lord-Randyll-Tarly,Lord-Tarly,Lord-Randyll,Randyll-Tarly,Randyll,Tarly,,,,,,,,
Rattleshirt,Lord-of-Bones,Rattleshirt,,,,,,,,,,,,
Reek,Reek,,,,,,,,,,,,,
Renly-Baratheon,Lord-Renly-Baratheon,Lord-Renly,Lord-of-Storm,King-Renly,Renly,Renly-Baratheon,KingintheSouth,kingRenly,,,,,,
Rhaegar,Prince-Rhaegar,Rhaegar,,,,,,,,,,,,
Rhaenys,Princess-Rhaenys,Rhaenys,,,,,,,,,,,,
Rickard-Karstark,Lord-Rickard-Karstark,Lord-Karstark,Rickard-Karstark,Lord-Rickard,,,,,,,,,,
Rickard-Stark,Lord-Rickard-Stark,Lord-Rickard,Rickard-Stark,,,,,,,,,,,
Rickon-Stark,Rickon-Stark,Rickon,,,,,,,,,,,,
Robar-Royce,Ser-Robar-Royce,Robar Royce,Ser-Robar,Robar,,,,,,,,,,
Robb-Stark,Lord-Robb,King-Robb,Robb-the-Boy,Robb-Stark,KingintheNorth,Lord-Stark,kingRobb,Robb,Stark boy,Stark-pup,Young Wolf,Boy Wolf,,
Robert-Arryn,Robert-Arryn,Lord-Robert,LordRobert,RobertArryn,,,,,,,,,,
Robert-Baratheon,King-Robert-Baratheon,Robert-Baratheon,King-Robert,Robert-the-Usurper,Usurper,kingRobert,Robert,,,,,,,
Robett-Glover,Robett-Glover,Robett,Glover,,,,,,,,,,,
Robin-Flint,Robin-Flint,,,,,,,,,,,,,
Robin-Ryger,Robin-Ryger,,,,,,,,,,,,,
Rodrik-Cassel,Ser-Rodrik-Cassel,Rodrik-Cassel,Ser-Rodrik,,,,,,,,,,,
Rodrik Greyjoy,Rodrik Greyjoy,,,,,,,,,,,,,
Rodwell,Lord-Rodwell,Rodwell,,,,,,,,,,,,
Ronel Rivers,Ronel Rivers,Rivers,Ronel,bastard-Frey,,,,,,,,,,
Roose-Bolton,Lord-Roose-Bolton,Roose-Bolton,Lord-of-the-Dreadfort,Lord-Bolton,Roose,Rooth Bolton,Bolton,,,,,,,
Rorge,Rorge,,,,,,,,,,,,,
Rossart,Lord-Rossart,Rossart,,,,,,,,,,,,
Rubert-Brax,Rubert-Brax,Rubert,,,,,,,,,,,,
Ryam-Redwyne,Ryam-Redwyne,Ryam,,,,,,,,,,,,
Ryman-Frey,Ryman-Frey,Ryman,,,,,,,,,,,,
Rymund,Rymund-the-Rhymer,Rymund,,,,,,,,,,,,
Salladhor-Saan,Salladhor-Saan,Saan,Salladhor,,,,,,,,,,,
Samwell-Tarly,Sam-Tarly,Samwell-Tarly,Sam,Samwell,Tarly,,,,,,,,,
Sandor-Clegane,Sandor-Clegane,Sandor,Hound,,,,,,,,,,,
Sansa-Stark,Lady-Sansa-Stark,Lady-Sansa,Sansa-Stark,Sansa,Stark girl,,,,,,,,,
Selwyn,Selwyn-the-Evenstar,Selwyn,Evenstar,Lord Selwin the Evenstar,,,,,,,,,,
Selyse-Baratheon,Queen-Selyse-Florent,Queen-Selyse,Lady-Selyse-Florent,Lady-Selyse,Selyse,queen-Selyse,Selyse-Florent,,,,,,,
Shae,Shae,,,,,,,,,,,,,
Shagga,Shagga,,,,,,,,,,,,,
Shireen,Lady-Shireen,Shireen,,,,,,,,,,,,
Staedmon,Lord-Staedmon,Staedmon,,,,,,,,,,,,
Stafford-Lannister,Ser-Stafford-Lannister,Stafford-Lannister,Ser-Stafford,Stafford,,,,,,,,,,
Stannis-Baratheon,Lord-of-Dragonstone,Lord-Stannis,King-Stannis,Stannis-Baratheon,Stannis,kingStannis,,,,,,,,
Steffon-Baratheon,Lord-Steffon-Baratheon,Lord-Steffon,Steffon-Baratheon,Steffon,,,,,,,,,,
Stevron-Frey,Ser-Stevron-Frey,Stevron-Frey,Ser-Stevron,Stevron,,,,,,,,,,
Symeon-Star,Symeon-Star,Symeon,,,,,,,,,,,,
Syrio-Forel,Syrio-Forel,Syrio,Forel,,,,,,,,,,,
Tanda,Lady-Tanda,Tanda,,,,,,,,,,,,
Tanton,Ser-Tanton,Tanton,,,,,,,,,,,,
Theon-Greyjoy,Theon-Greyjoy,Theon-Turncloak,Prince-Theon,Theon,,,,,,,,,,
Theon-Stark,Theon-Stark,TheonStark,Hungry-Wolf,,,,,,,,,,,
Thoren-Smallwood,Thoren-Smallwood,Thoren,Smallwood,,,,,,,,,,,
