Emmon,Ser-Emmon,Emmon,,,,,,,,
Endrew-Tarth,Endrew-Tarth,Tarth,Endrew,,,,,,,
Erik,Lord-Erik,Erik,,,,,,,,
Erryk,Ser-Erryk,Erryk,,,,,,,,
Estren,Lord-Estren,Estren,,,,,,,,
Ethan-Glover,Ethan-Glover,Ethan,,,,,,,,
Flement-Brax,Set-Flement-Brax,Ser-Flement,Flement-Brax,Flement,,,,,,
Florian,Ser-Florian,Florian-the-Fool,Florian,,,,,,,
Forley-Prester,Forley-Prester,Forley,,,,,,,,
Galbart-Glover,Galbart-Glover,Galbart,,,,,,,,
Gared,Gared,,,,,,,,,
Garth-Greenfield,Garth-Greenfield,Garth,,,,,,,,
Gerold-Hightower,Ser-Gerold-Hightower,Gerold-Hightower,Ser-Gerold,Gerold,,,,,,
Gowen-Baratheon,Gowen-Baratheon,Gowen,,,,,,,,
Greatjon-Umber,Greatjon-Umber,Lord-Umber,Greatjon,,,,,,,
Gregor-Clegane,Ser-Gregor-Clegane,Gregor-the-Mountain,Mountain,Gregor-Clegane,Ser-Gregor,Gregor,,,,
Grenn,Grenn,,,,,,,,,
Gyles,Lord-Gyles,Gyles,,,,,,,,
Haggo,Haggo,,,,,,,,,
Hal-Mollen,Hal-Mollen,Hal,,,,,,,,
Halder,Halder,,,,,,,,,
Hallis-Mollen,Hallis-Mollen,Hallis,,,,,,,,
Harren,Black-Harren,Harren,,,,,,,,
Harrion-Karstark,Harrion-Karstark,Harrion,,,,,,,,
Harwin,Harwin,,,,,,,,,
Harys-Swyft,Ser-Harys-Swyft,Harys-Swyft,Ser-Harys,Harys,Swyft,,,,,
Helman-Tallhart,Helman-Tallhart,Helman,,,,,,,,
High-Septon,High-Septon,,,,,,,,,
Hobb,Three-Finger-Hobb,Hobb,,,,,,,,
Hobber,Ser-Hobber,Hobber,Ser-Slobber,Slobber,,,,,,
Hodor,Hodor,,,,,,,,,
Horas-Redwyne,Ser-Horror,Horror,Horas-Redwyne,Ser-Horas,Horas,,,,,
Hosteen-Frey,Ser-Hosteen,Hosteen,Hosteen-Frey,,,,,,,
Hoster-Tully,Lord-Hoster-Tully,Lord-Hoster,Hoster-Tully,Hoster,Lord-of-Riverrun,,,,,
Howland-Reed,Howland-Reed,Reed,Howland,,,,,,,
Hugh,Ser-Hugh,Hugh,,,,,,,,
Hullen,Hullen,,,,,,,,,
Hunter,Lord-Hunter,Hunter,,,,,,,,
Illyrio-Mopatis,Magister-Illyrio-Mopatis,Magister-Illyrio,Illyrio-Mopatis,Mopatis,Magister-Illyrio,Illyrio,,,,
Ilyn-Payne,Ser-Ilyn-Payne,Ilyn-Payne,Ser-Ilyn,KingsJustice,Ilyn,,,,,
Irri,Irri,,,,,,,,,
Jaehaerys,Jaehaerys-the-Second,Jaehaerys,,,,,,,,
Jafer-Flowers,Jafer-Flowers,Jafer,,,,,,,,
Jaime-Lannister,Kingslayer,Ser-Jaime-Lannister,Ser-Jaime,Jaime-Lannister-the-Kingslayer,Jaime-Lannister,Jaime,,,,
Jalabhar-Xho,Jalabhar-Xho,Xho,Jalabhar,,,,,,,
Janos-Slynt,Lord-Janos-Slynt,Lord-Slynt,Janos-Slynt,Slynt,Janos,,,,,
Jared-Frey,Ser-Jared-Frey,Ser-Jared,Jared-Frey,Jared,,,,,,
Jaremy-Rykker,Ser-Jaremy-Rykker,Jaremy-Rykker,Ser-Jaremy,Jaremy,,,,,,
Jason-Mallister,Jason-Mallister,Lord-Jason,Jason,,,,,,,
Jeor-Mormont,Lord-Mormont,Jeor-Mormont,Commander-Mormont,Old-Bear,Jeor,Lord-Commander-of-the-Night,LordCommanderoftheNightsWatch,,,
Jeyne-Poole,Jeyne-Poole,Jeyne,,,,,,,,
Jhaqo,Jhaqo,Khal-Jhaqo,Ko-Jhaqo,,,,,,,
Jhiqui,Jhiqui,,,,,,,,,
Jhogo,Jhogo,,,,,,,,,
Joffrey-Baratheon,Prince-Joffrey,King-Joffrey,Joffrey-Baratheon,Joffrey,Prince-Joff,Joff,boy-king,the-prince,king-Joffrey,The-prince
Jommo,Khal-Jommo,Jommo,,,,,,,,
Jon-Arryn,Jon-Arryn,Lord-Jon,Lord-Arryn,JonArryn,LordJon,LordJonArryn,LordArryn,LordoftheEyrie,KingsHandArryn,
Jon-Snow,Jon-Snow,Lord-Snow,Snow,Jon,Jon-Stark,,,,,
Jonos-Bracken,Lord-Jonos,Lord-Bracken,Jonos-Bracken,Jonos,,,,,,
Jorah-Mormont,Ser-Jorah-Mormont,Jorah-Mormont,Andal,Ser-Jorah,Jorah-the-Andal,Jorah,,,,
Jory-Cassel,Jory-Cassel,Jory,,,,,,,,
Jyck,Jyck,,,,,,,,,
Karyl-Vance,Ser-Karyl-Vance,Lord-Karyl-Vance,Karyl-Vance,Ser-Karyl,Lord-Vance,Vance,Karyl,,,
Kevan-Lannister,Ser-Kevan-Lannister,Ser-Kevan,Kevan-Lannister,Kevan,,,,,,
Lefford,Lord-Lefford,Lefford,,,,,,,,
Loras-Tyrell,Ser-Loras-Tyrell,Knight-of-Flowers,Ser-Daisy,Loras-Tyrell,Ser-Loras,Loras,,,,
Lothor-Brune,Lothor-Brune,Lothor,Brune,,,,,,,
Luwin,Maester-Luwin,Luwin,,,,,,,,
Lyanna,Lyanna,,,,,,,,,
Lyn-Corbray,Lyn-Corbray,Lyn,,,,,,,,
Lysa-Arryn,Lady-Lysa-Arryn,Lady-Lysa,Lady-Arryn,Lysa-Arryn,Lysa,,,,,
Mace-Tyrell,Mace-Tyrell,Mace,,,,,,,,
Maege-Mormont,Lady-Maege,Lady-Mormont,Maege,Maege-Mormont,,,,,,
Maegor,Maegor-the-Cruel,Maegor,,,,,,,,
Maekar,King-Maekar,Maekar,,,,,,,,
Malleon,Maester-Malleon,Malleon,,,,,,,,
Mance-Rayder,Mance-Rayder,Rayder,Mance,,,,,,,
Mandon-Moore,Ser-Mandon-Moore,Mandon-Moore,Ser-Mandon,Mandon,,,,,,
Margaery-Tyrell,Margaery-Tyrell,Margaery,,,,,,,,
Marillion,Marillion,,,,,,,,,
Mark-Ryswell,Mark-Ryswell,Mark,Ryswell,,,,,,,
Marq-Piper,Ser-Marq-Piper,Ser-Marq,Marq,Marq-Piper,Lord-Piper,,,,,
Martyn-Cassel,Martyn-Cassel,,,,,,,,,
Martyn-Rivers,Martyn-Rivers,,,,,,,,,
Masha-Heddle,Masha-Heddle,Masha,Heddle,,,,,,,
Meryn-Trant,Ser-Meryn-Trant,Meryn-Trant,Ser-Meryn,Meryn,,,,,,
Mirri-Maz-Duur,Mirri-Maz-Duur,Maz-Duur,Mirri,Maz,Duur,,,,,
Mord,Mord,,,,,,,,,
Moreo-Tumitis,Moreo-Tumitis,Moreo,Tumitis,,,,,,,
Morgil,Ser-Morgil,Morgil,,,,,,,,
Moro,Khal-Moro,Moro,,,,,,,,
Morrec,Morrec,,,,,,,,,
Morton-Waynwood,Ser-Morton-Waynwood,Ser-Morton,Morton-Waynwood,Morton,,,,,,
Mycah,Mycah,butchers-boy,,,,,,,,
Mychel-Redfort,Mychel-Redfort,Mychel,,,,,,,,
Myrcella,Princess-Myrcella,Myrcella,,,,,,,,
Naerys,Queen-Naerys,Naerys,,,,,,,,
Nan,Old-Nan,Nan,,,,,,,,
Nestor-Royce,Lord-Nestor,Nestor-Royce,Nestor,,,,,,,
Ogo,Khal-Ogo,Ogo,,,,,,,,
Olyvar-Frey,Olyvar-Frey,Olyvar,,,,,,,,
Osha,Osha,,,,,,,,,
Oswell-Whent,Ser-Oswell-Whent,Ser-Oswell,Oswell,Oswell-Whent,,,,,,
Patrek-Mallister,Patrek-Mallister,Patrek,,,,,,,,
Perwyn,Ser-Perwyn,Perwyn,,,,,,,,
Petyr-Baelish,Lord-Petyr-Baelish,Petyr-Baelish,Lord-Baelish,Lord-Petyr,Littlefinger,Petyr,,,,
Podrick-Payne,Podrick-Payne,Podrick,,,,,,,,
Pono,Pono,Khal-Pono,,,,,,,,
Preston-Greenfield,Ser-Preston-Greenfield,Ser-Preston,Preston-Greenfield,Preston,,,,,,
Pycelle,Grand-Maester-Pycelle,Maester-Pycelle,Grand-Maester,Pycelle,,,,,,
Pyp,Pyp,,,,,,,,,
Qos,Captain-Qos,Qos,,,,,,,,
Qotho,Qotho,,,,,,,,,
Quaro,Quaro,,,,,,,,,
Quorin-Halfhand,Quorin-Halfhand,Halfhand,Quorin,,,,,,,
Rakharo,Rakharo,,,,,,,,,
Randyll-Tarly,Lord-Randyll-Tarly,Lord-Randyll,Randyll-Tarly,Randyll,,,,,,
Raymun-Darry,Ser-Raymun-Darry,Ser-Raymun,Raymun-Darry,Raymun,,,,,,
Renly-Baratheon,Lord-Renly-Baratheon,Lord-Renly,Lord-of-Storm-End,King-Renly,Renly-Baratheon,Renly,,,,
Rhaegar-Targaryen,Prince-Rhaegar-Targaryen,Prince-Rhaegar,Rhaegar-Targaryen,Rhaegar,,,,,,
Rhaego,Rhaego,,,,,,,,,
Rickard-Karstark,Lord-Rickard-Karstark,Lord-Karstark,Rickard-Karstark,,,,,,,
Rickard-Stark,Lord-Rickard-Stark,Rickard-Stark,,,,,,,,
Rickon-Stark,Rickon-Stark,Rickon,,,,,,,,
Robar-Royce,Ser-Robar-Royce,Ser-Robar,Robar-Royce,Robar,,,,,,
Robb-Stark,Lord-Robb-Stark,Lord-Robb,Robb-the-Lord,Robb-Stark,Robb,,,,,
Robert-Arryn,Robert-Arryn,little-Lord-Robert,Lord-of-the-Eyrie,Lord-Robert,Defender-of-the-Vale,LordRobert,RobertArryn,,,
Robert-Baratheon,Robert-Baratheon,King-Robert,Robert,Usurper,the-king,The-king,,,,
Robett-Glover,Robett-Glover,Robett,,,,,,,,
Rodrik-Cassel,Ser-Rodrik-Cassel,Ser-Rodrik,Rodrik-Cassel,Rodrik,,,,,,
Ronel-Rivers,Ronel-Rivers,Ronel,,,,,,,,
Roose-Bolton,Lord-Roose-Bolton,Roose-Bolton,Roose,Lord-of-the-Dreadfort,Lord-Bolton,,,,,
Ryam-Redwyne,Ryam-Redwyne,Ryam,,,,,,,,
Samwell-Tarly,Sam-Tarly,Ser-Piggy,Piggy,Samwell-Tarly,Lady-Piggy,Lord-of-Ham,Sam,Samwell,,
Sandor-Clegane,Ser-Sandor-Clegane,Sandor-Clegane,Ser-Sandor,Sandor,Hound,,,,,
Sansa-Stark,Lady-Sansa-Stark,Lady-Sansa,Sansa-Stark,Sansa,,,,,,
Selyse,Lady-Selyse,Selyse,,,,,,,,
Septa-Mordane,Septa-Mordane,Septa,Mordane,septa,,,,,,
Serrett,Lord-Serrett,Serrett,,,,,,,,
Shae,Shae,,,,,,,,,
Shagga,Shagga,,,,,,,,,
Shella-Whent,Lady-Shella-Whent,Shella-Whent,Lady-Shella,Shella,Lady-Whent,,,,,
Smalljon-Umber,Smalljon-Umber,Smalljon,,,,,,,,
Stannis-Baratheon,Lord-Stannis-Baratheon,Lord-Stannis,Stannis-Baratheon,Stannis,,,,,,
Stevron-Frey,Ser-Stevron-Frey,Stevron-Frey,Ser-Stevron,Stevron,,,,,,
Syrio-Forel,Syrio-Forel,Syrio,Forel,,,,,,,
Tanda,Lady-Tanda,Tanda,,,,,,,,
Theo-Wull,Ser-Theo-Wull,Ser-Theo,Wull,Theo-Wull,Theo,,,,,
Theon-Greyjoy,Theon-Greyjoy,Theon,,,,,,,,
Timett,Timett,,,,,,,,,
Tobho-Mott,Tobho-Mott,Master-Mott,#NAME?,Tobho,,,,,,
Tom,Fat-Tom,Tomard,Tom,,,,,,,
Tommen,Prince-Tommen,Tommen,,,,,,,,
Torrhen-Karstark,Torrhen-Karstark,Torrhen,,,,,,,,
Tya-Lannister,Tya-Lannister,Tya,,,,,,,,
Tyrion-Lannister,Tyrion-the-Imp,Lord-Tyrion-Lannister,Imp,Tyrion-Lannister,Lord-Tyrion,Tyrion,dwarf,halfman,Halfman,
Tytos-Blackwood,Lord-Tytos-Blackwood,Tytos-Blackwood,Lord-Blackwood,Lord-Tytos,,,,,,
Tytos-Brax,Tytos-Brax,,,,,,,,,
Tywin-Lannister,Lord-of-Casterly-Rock,Lord-Tywin-Lannister,Tywin-Lannister,Lord-Tywin,Tywin,,,,,
Vardis-Egen,Ser-Vardis-Egen,Vardis-Egen,Vardis,Ser-Vardis,,,,,,
Varys,Lord-Varys,Varys-the-Spider,Spider,Varys,eunuch,master-of-whisperers,,,,
Vayon-Poole,Vayon-Poole,Vayon,,,,,,,,
Viserys-Targaryen,Prince-Viserys-Targaryen,Viserys-Targaryen,Prince-Viserys,Viserys,Khal-Rhaggat,Sorefoot-King,Kal-Rhae-Mhar,Cart-King,,
Walder-Frey,Lord-Walder-Frey,Lord-Walder,Walder-Frey,Walder,Lord-Frey,Lord-of-the-Crossing,,,,
Waymar-Royce,Ser-Waymar-Royce,Waymar-Royce,Ser-Waymar,Waymar,,,,,,
Wendel-Manderly,Ser-Wendel-Manderly,Wendel-Manderly,Ser-Wendel,Wendel,,,,,,
Willem-Darry,Ser-Willem-Darry,Ser-Willem,Willem-Darry,Willem,,,,,,
Willis-Wode,Ser-Willis-Wode,Ser-Willis,Willis-Wode,Willis,,,,,,
Willum,Ser-Willum,Willum,,,,,,,,
Wylis-Manderly,Ser-Wylis-Manderly,Wylis-Manderly,Ser-Wylis,Wylis,,,,,,
Wyman,Lord-Wyman,Wyman,,,,,,,,
Yohn-Royce,Bronze-Yohn-Royce,Bronze-Yohn,Yohn-Royce,Yohn,,,,,,
Yoren,Yoren,,,,,,,,,
