Adrack-Humble,Adrack-Humble,,,,,,,,,,,,,,,
Aegon-Frey-(son-of-Stevron),Jinglebell-Frey,Jinglebell,Aegon-Frey,,,,,,,,,,,,,
Boros-Blount,Ser-Boros-Blount,Boros-Blount,Ser-Boros,Boros,,,,,,,,,,,,
Borroq,Borroq,,,,,,,,,,,,,,,
Bowen-Marsh,Lord-Steward,Bowen-Marsh,Lord-Bowen,Bowen,Marsh,,,,,,,,,,,
Bran-Stark,Bran-Stark,Bran,,,,,,,,,,,,,,
Bran-the-Builder,Brandon-the-Builder,Bran-the-Builder,,,,,,,,,,,,,,
Brandon-Norrey,Brandon-Norrey,Lord-Brandon-Norrey;-The-Norrey,The-Norrey,,,,,,,,,,,,,
Brandon-Stark,Brandon-Stark,Brandon,,,,,,,,,,,,,,
Brandon-Stark-(Ice-Eyes),Brandon-Stark-(Ice-Eyes),Ice-Eyes,,,,,,,,,,,,,,
Brandon-Stark-(Shipwright),Brandon-the-Shipwright,,,,,,,,,,,,,,,
Brea,Brea,,,,,,,,,,,,,,,
Brendel-Byrne,Ser-Brendel-Byrne,Brendel-Byrne,Ser-Brendel,,,,,,,,,,,,,
Briar,Briar,,,,,,,,,,,,,,,
Brienne-of-Tarth,Brienne-the-Blue,Brienne-the-Beauty,Lady-Brienne,Brienne,Brienne-of-Tarth,Lady-Brienne-of-Tarth,Maid-of-Tarth,,,,,,,,,
Brogg,Brogg,,,,,,,,,,,,,,,
Bronn,Bronn,,,,,,,,,,,,,,,
Brus-Buckler,Ser-Brus-Buckler,Brus-Buckler,Ser-Brus,Brus,,,,,,,,,,,,
Brusco,Brusco,,,,,,,,,,,,,,,
Bryen,Bryen,,,,,,,,,,,,,,,
Bryen-Farring,Bryen-Farring,,,,,,,,,,,,,,,
Brynden-Blackwood,Brynden-Blackwood,,,,,,,,,,,,,,,
Brynden-Rivers,Brynden-Rivers,Lord Bloodraven,three-eyed-crow,Lord-Brynden,,,,,,,,,,,,
Brynden-Tully,Brynden-Blackfish,Brynden-Tully,Ser-Brynden,Blackfish,,,,,,,,,,,,
Bump,Bump,,,,,,,,,,,,,,,
Burton-Humble,Burton-Humble,,,,,,,,,,,,,,,
Butts,Butts,,,,,,,,,,,,,,,
Byron-Swann,Byron-Swann,Ser-Byron,Swann,,,,,,,,,,,,,
Caggo,Caggo-Corpsekiller,Corpsekiller,Caggo,,,,,,,,,,,,,
Caleotte,Maester-Caleotte,Caleotte,,,,,,,,,,,,,,
Camarron,Camarron,Camarron-of-the-Count,,,,,,,,,,,,,,
Canty,Canty,,,,,,,,,,,,,,,
Casso-Mogat,Casso-Mogat,Casso,,,,,,,,,,,,,,
Catelyn-Stark,Catelyn-Tully,Lady-Catelyn,Catelyn-Stark,Catelyn,,,,,,,,,,,,
Cayn,Cayn,,,,,,,,,,,,,,,
Cellador,Septon-Cellador,Cellador,,,,,,,,,,,,,,
Cersei-Lannister,Cersei-Lannister,Queen-Dowager,Queen-Regent,Queen-Cersei,Dowager,Cersei,the-queen,The-queen,queen-Cersei,,,,,,,
Cetherys,Cetherys,,,,,,,,,,,,,,,
Charioteer,Charioteer,,,,,,,,,,,,,,,
Clayton-Suggs,Ser-Clayton-Suggs,Clayton-Suggs,Ser-Clayton,Clayton,,,,,,,,,,,,
Cleon,Cleon-the-Great,Butcher-King,Great-Cleon,King-Cleon,Cleon,,,,,,,,,,,
Cleon-the-Second,Cleon-the-Second,second-King-Cleon,,,,,,,,,,,,,,
Cletus-Yronwood,Cletus-Yronwood,Cletus,,,,,,,,,,,,,,
Cley-Cerwyn,Cley-Cerwyn,Cley,,,,,,,,,,,,,,
Clydas,Clydas,,,,,,,,,,,,,,,
Coals,Coals,,,,,,,,,,,,,,,
Coldhands,Coldhands,,,,,,,,,,,,,,,
Colloquo-Votar,Colloquo-Votar,,,,,,,,,,,,,,,
Conn,Conn,,,,,,,,,,,,,,,
Conwy,Conwy,,,,,,,,,,,,,,,
Corliss-Penny,Ser-Corliss-Penny,Corliss-Penny,Ser-Corliss,Corliss,,,,,,,,,,,,
Cotter-Pyke,Cotter-Pyke,Cotter,,,,,,,,,,,,,,
Craster,Craster,,,,,,,,,,,,,,,
Cregan-Karstark,Cregan-Karstark,Cregan,,,,,,,,,,,,,,
Cromm,Cromm,,,,,,,,,,,,,,,
Daario-Naharis,Daario-Naharis,Lord-Daario,Naharis,Daario,,,,,,,,,,,,
Dacey-Mormont,Dacey,Dacey-Mormont,,,,,,,,,,,,,,
Daegon-Shepherd,Daegon-Shepherd,Black-Shepherd,,,,,,,,,,,,,,
Daemon-I-Blackfyre,Daemon-Blackfyre,Daemon,,,,,,,,,,,,,,
Daemon-Sand,Daemon-Sand,Bastard-of-Godsgrace,,,,,,,,,,,,,,
Daena-Targaryen,Daena-Targaryen,Daena,,,,,,,,,,,,,,
Daenerys-Targaryen,Khaleesi-of-Great-Grass-Sea,Daenerys-Stormborn,Daenerys-Targaryen,Queen-Daenerys,Khaleesi,Daenerys,Dany,dragon-queen,Mother-of-Dragons,Queen-of-Meereen,silver-queen,Mhysa,the-queen-Dany,Her-Magnificence-the-Queen,queen-Dany,princess-Dany
Daeron-I-Targaryen,Daeron-the-Dragon,King-Daeron-I,Daeron-I,Young-Dragon,the-boy-king-Daeron,,,,,,,,,,,
Daeron-II-Targaryen,King-Daeron-the-Good,Daeron-the-Second,King-Daeron-II,Daeron-II,,,,,,,,,,,,
Dagmer,Dagmer-Cleftjaw,Cleftjaw,Dagmer,,,,,,,,,,,,,
Dagon-Codd,Dagon-Codd,,,,,,,,,,,,,,,
Dagon-Greyjoy,Dagon-I-Greyjoy,Lord-Dagon-I,Dagon-I,Dagon-Greyjoy,Lord-of-Pyke,,,,,,,,,,,
Dagon-Greyjoy-(Drunkard),Dagon-the-Drunkard,,,,,,,,,,,,,,,
Dagos-Manwoody,Lord-Dagos-Manwoody,Lord-of-Kingsgrave,Dagos-Manwoody,,,,,,,,,,,,,
Dale-Drumm,Dale-Drumm,Dale;-the-Dread,,Dale,,,the-Dread,,,,,,,,,
Dalla,Dalla,,,,,,,,,,,,,,,
Damon-Dance-for-Me,Damon-Dance-for-Me,Dance-for-Me,Damon,,,,,,,,,,,,,
Dannel,Dannel,,,,,,,,,,,,,,,
Danny-Flint,Danny-Flint,,,,,,,,,,,,,,,
Dareon,Dareon,,,,,,,,,,,,,,,
Daryn-Hornwood,Daryn-Hornwood,Daryn,,,,,,,,,,,,,,
Davos-Seaworth,Davos-Seaworth,Lord-Seaworth,Onion-Knight,Onion-Lord,Lord-Davos,Ser-Davos,Davos,onion-lord,Kings-Hand-Davos,Hand-of-the-King-Davos,,,,,,
Denys-Mallister,Ser-Denys-Mallister,Denys-Mallister,Ser-Denys,Denys,,,,,,,,,,,,
Denzo-Dhan,Denzo-Dhan,Denzo,,,,,,,,,,,,,,
Desmond,Desmond,,,,,,,,,,,,,,,
Devan-Seaworth,Devan-Seaworth,Devan,,,,,,,,,,,,,,
Devyn-Sealskinner,Devyn-Sealskinner,,,,,,,,,,,,,,,
Deziel-Dalt,Deziel-Dalt,Knight-of-Lemonwood,,,,,,,,,,,,,,
Dhazzar,Dhazzar,,,,,,,,,,,,,,,
Dick-Cole,Dick-Cole,,,,,,,,,,,,,,,
Dick-Straw,Dick-Straw,Straw,Dick,,,,,,,,,,,,,
Dolf,Dolf,,,,,,,,,,,,,,,
Domeric-Bolton,Domeric-Bolton,Domeric,,,,,,,,,,,,,,
Donal-Noye,Donal-Noye,Donal,Noye,,,,,,,,,,,,,
Donella-Hornwood,Lady-Donella-Hornwood,Lady-Hornwood,Donella-Hornwood,Lady-Donella,Donella,,,,,,,,,,,
Doniphos-Paenymion,Doniphos-Paenymion,Triarch-Doniphos-Paenymion,Doniphos,,,,,,,,,,,,,
Donnel-Flint,Black-Donnel-Flint,Donnel-Flint,,,,,,,,,,,,,,
Donnel-Hill,Sweet-Donnel,Donnel-Hill,,,,,,,,,,,,,,
Doran-Martell,Doran-Martell,Prince-Doran,Doran,the-Prince-of-Dorne,prince-Doran,,,,,,,,,,,
Dorden,Dorden,Ser-Dorden,Dorden-the-Dour,,,,,,,,,,,,,
Dorea-Sand,Dorea-Sand,Dorea,,,,,,,,,,,,,,
Doreah,Doreah,,,,,,,,,,,,,,,
Dormund,Dormund,,,,,,,,,,,,,,,
Dorna-Lannister,Dorna-Lannister,Dorna,,,,,,,,,,,,,,
Draqaz,Draqaz,,,,,,,,,,,,,,,
Drogo,Khal-Drogo,Drogo,,,,,,,,,,,,,,
Droopeye-Dale,Droopeye-Dale,,,,,,,,,,,,,,,
Dryn,Dryn,,,,,,,,,,,,,,,
Duncan-Liddle,Duncan-Liddle,Big-Liddle,,,,,,,,,,,,,,
Duncan-Targaryen,Prince-Duncan-the-Small,Duncan-Targaryen,Prince-of-Dragonflies,,,,,,,,,,,,,
Dunsen,Dunsen,,,,,,,,,,,,,,,
Duran,Duran,,,,,,,,,,,,,,,
Dywen,Dywen,,,,,,,,,,,,,,,
Eddard-Stark,Eddard-Stark-of-Winterfell,Lord-Eddard-Stark,Eddard-Stark,Lord-Eddard,Lord-Stark,Ned-Stark,Eddard,Ned,,,,,,,,
Eddison-Tollett,Dolorous-Edd-Tollett,Dolorous-Edd,Edd-Tollett,Dolorous,Tollett,Edd,,,,,,,,,,
Edmure-Tully,Set-Edmure-Tully,Edmure-Tully,Ser-Edmure,Edmure,,,,,,,,,,,,
Edric-Storm,Edric-Storm,,,,,,,,,,,,,,,
Edrick-Stark,Edrick-Stark,Edrick-Snowbeard,Snowbeard,,,,,,,,,,,,,
Egon-Emeros,Egon-Emeros,Egon-Emeros-the-Exquisite,the-Exquisite,,,,,,,,,,,,,
Eladon-Goldenhair,Eladon-Goldenhair,,,,,,,,,,,,,,,
Elia-Martell,Princess-Elia-of-Dorne,Princess-Elia,Elia-of-Dorne,Elia,princess-Elia,,,,,,,,,,,
Elia-Sand,Elia-Sand,,,,,,,,,,,,,,,
Ellaria-Sand,Ellaria-Sand,Ellaria,,,,,,,,,,,,,,
Ellendor,Ellendor,Grand-Maester-Ellendor,,,,,,,,,,,,,,
Ellyn-Tarbeck,Ellyn-Tarbeck,Lady-Ellyn,Ellyn,Lady-Tarbeck,,,,,,,,,,,,
Elza,Elza,,,,,,,,,,,,,,,
Emmett,Iron-Emmett,Emmett,,,,,,,,,,,,,,
Emrick,Emrick,,,,,,,,,,,,,,,
Erik-Ironmaker,Erik-Ironmaker,Erik,Anvil-Breaker,,,,,,,,,,,,,
Eroeh,Eroeh,,,,,,,,,,,,,,,
Euron-Greyjoy,Euron-Greyjoy,Euron-Crows-Eye,Euron,,,,,,,,,,,,,
Ezzara,Ezzara,,,,,,,,,,,,,,,
Faezhar-zo-Faez,Rabbit,rabbit-toothed-lord,Faezhar-zo-Faez,,,,,,,,,,,,,
Farlen,Farlen,,,,,,,,,,,,,,,
Fat-fellow,fat-fellow,,,,,,,,,,,,,,,
Fingers,Fingers,,,,,,,,,,,,,,,
Florian-the-Fool,Florian-the-Fool,Florian,,,,,,,,,,,,,,
Franklyn-Flowers,Ser-Franklyn-Flowers,Franklyn-Flowers,Ser-Franklyn,Franklyn,,,,,,,,,,,,
Franklyn-Fowler,Franklyn-Fowler,Lord-Fowler,Old-Hawk,Dornish-Lord-Fowler,,,,,,,,,,,,
Frenya,Frenya,,,,,,,,,,,,,,,
Fulk,Fulk,Fulk-the-Flea,the-Flea,,,,,,,,,,,,,
Galazza-Galare,Galazza-Galare,Galazza,Green-Grace,,,,,,,,,,,,,
Galbart-Glover,Galbart-Glover,Galbart,,,,,,,,,,,,,,
Galendro-,Galendro-,,,,,,,,,,,,,,,
Garin-(prince),Garin,,,,,,,,,,,,,,,
Garrett-Greenspear,Garrett-Greenspear,,,,,,,,,,,,,,,
Garse,Garse,,,,,,,,,,,,,,,
Garth-(Wolfs-Den),Garth,,,,,,,,,,,,,,,
Garth-Greyfeather,Garth-Greyfeather,Greyfeather,,,,,,,,,,,,,,
Garth-Tyrell,Lord-Seneschal-of-Highgarden,Lord-Seneschal,Garth-the-Gross,Garth-Tyrell,,,,,,,,,,,,
Gavin-the-Trader,Gavin-the-Trader,,,,,,,,,,,,,,,
Gella,Gella,,,,,,,,,,,,,,,
Gelmarr,Gelmarr-the-Grim,Gelmarr,,,,,,,,,,,,,,
Gendel,Gendel,King-Gendel,,,,,,,,,,,,,,
Gerion-Lannister,Gerion-Lannister,Gerion,,,,,,,,,,,,,,
Gerold-Dayne,Gerold-Dayne,Ser-Gerold,Gerold,Darkstar,,,,,,,,,,,,
Gerrick-Kingsblood,Gerrick-Kingsblood,Kingsblood,Gerrick,,,,,,,,,,,,,
Gerris-Drinkwater,Ser-Gerris-Drinkwater,Gerris-Drinkwater,Ser-Gerris,Gerris,Drink,Dornish-Gerrold,,,,,,,,,,
Gerrold,Gerrold,,,,,,,,,,,,,,,
Gerrold-Redback,Gerrold-Redback,,,,,,,,,,,,,,,
Ghael,Lord-Ghael,Ghael,,,,,,,,,,,,,,
Ghazdor-zo-Ahlaq,Ghazdor-the-Great-hearted,Lord-Wobblecheeks,Great-hearted,Wobblecheeks,Ghazdor,,,,,,,,,,,
Gilly,Gilly,,,,,,,,,,,,,,,
Ginger-Jack,Ginger-Jack,,,,,,,,,,,,,,,
Girl-General,Girl-General,,,,,,,,,,,,,,,
Glendon-Hewett,Glendon-Hewett,Ser-Glendon,Glendon,Hewett,,,,,,,,,,,,
Godric-Borrell,Lord-of-Sweetsister,Godric-Borrell,Lord-Borrell,Lord-Godric,Godric,,,,,,,,,,,
Godry-Farring,Ser-Godry-the-Giantslayer,Godry-the-Giantslayer,Godry-Giantslayer,Ser-Godry-Farring,Godry-Farring,Giantslayer,Ser-Godry,Godry,,,,,,,,
Goghor-the-Giant,Goghor-the-Giant,Goghor,,,,,,,,,,,,,,
Gorys-Edoryen,Gorys-Edoryen,,,,,,,,,,,,,,,
Gorzhak-zo-Eraz,Gorzhak-zo-Eraz,Pudding-Face,,,,,,,,,,,,,,
Grazdan-mo-Eraz,Grazdan-mo-Eraz,,,,,,,,,,,,,,,
Grazdan-zo-Galare,Grazdan-zo-Galare,,,,,,,,,,,,,,,
Grazdar,Grazdar,,,,,,,,,,,,,,,
Grazhar,Grazhar,,,,,,,,,,,,,,,
Great-Walrus,Great-Walrus,,,,,,,,,,,,,,,
Greenguts-,Greenguts-,,,,,,,,,,,,,,,
Gregor-Clegane,Ser-Gregor-Clegane,Gregor-Clegane,Ser-Gregor,Mountain,Gregor,,,,,,,,,,,
Grenn,Grenn,,,,,,,,,,,,,,,
Grey-Worm,Grey-Worm,Worm,eunuch-Worm,,,,,,,,,,,,,
Grimtongue,Grimtongue,,,,,,,,,,,,,,,
Grisel,Grisel,,,,,,,,,,,,,,,
Grisella,Grisella,,,,,,,,,,,,,,,
Groleo,Admiral-Groleo,Groleo,,,,,,,,,,,,,,
Grunt,Grunt,,,,,,,,,,,,,,,
Gwynesse-Harlaw,Lady-Gwynesse,Gwynesse,Gwynesse-Harlaw,,,,,,,,,,,,,
Gwyneth-Yronwood,Gwyneth-Yronwood,Gwyneth,,,,,,,,,,,,,,
Gyles-Rosby,Lord-Gyles-Rosby,Lord-Gyles,Gyles,Rosby,Gyles-Rosby,,,,,,,,,,,
Gylo-Rhegan,Gylo-Rhegan,,,,,,,,,,,,,,,
Gynir,Gynir-Rednose,Rednose,Gynir,,,,,,,,,,,,,
Haereg,Haereg,,,,,,,,,,,,,,,
Hagen,Hagen-the-Horn,Hagen,,,,,,,,,,,,,,
Haggo,Haggo,,,,,,,,,,,,,,,
Haggon,Haggon,,,,,,,,,,,,,,,
Hairy-Hal,Hairy-Hal,,,,,,,,,,,,,,,
Halder,Halder,,,,,,,,,,,,,,,
Haldon,Haldon-Halfmaester,Haldon,,,,,,,,,,,,,,
Halleck,Halleck,,,,,,,,,,,,,,,
Halys-Hornwood,Lord-Hornwood,Halys-Hornwood,,,,,,,,,,,,,,
Hamish-the-Harper,Hamish-the-Harper,,,,,,,,,,,,,,,
Hammer,Hammer,,,,,,,,,,,,,,,
Handsome-man,handsome-man,,,,,,,,,,,,,,,
Hareth-(Moles-Town),Hareth,Horse,,,,,,,,,,,,,,
Harghaz,Harghaz,Harghaz-the-Hero,,,,,,,,,,,,,,
Harl,Harl,Six-Toed-Harl,,,,,,,,,,,,,,
Harle-the-Handsome,Harle-the-Handsome,,,,,,,,,,,,,,,
Harle-the-Huntsman,Harle-the-Huntsman,,,,,,,,,,,,,,,
Harlen-Tyrell,Lord-Harlen-Tyrell,Harlen-Tyrell,,,,,,,,,,,,,,
Harlon-Stark,Harlon-Stark,,,,,,,,,,,,,,,
Harma,Harma-the-Dogshead,Harma,,,,,,,,,,,,,,
Harmond-Umber,Harmond-Umber,Lord-Harmond,Drunken-Giant,,,,,,,,,,,,,
Harmund-Sharp,Harmund-Sharp,,Harmund,,,,,,,,,,,,,
Harmune,Maester-Harmune-of-Eastwatch,Maester-Harmune,Harmune,,,,,,,,,,,,,
Harrion-Karstark,Harrion-Karstark,Harrion,,,,,,,,,,,,,,
Harrold-Hardyng,Harrold-Hardyng,Harry-the-Heir,Lord-Harrold,Ser-Harrold,Ser-Harry,Hardyng,Harrold,Harry-Hardyng,,,,,,,,
Harry-Merrell,Hot-Harry-Merrell,Harry-Merrell,,,,,,,,,,,,,,
Harry-Rivers,Harry-Rivers,Bastard-of-Bracken,,,,,,,,,,,,,,
Harry-Strickland,Homeless-Harry-Strickland,Ser-Harry-Strickland,Harry-Strickland,Homeless-Harry,Harry,,,,,,,,,,,
Harsley,Harsley,,,,,,,,,,,,,,,
Harwin,Harwin,,,,,,,,,,,,,,,
Harwood-Fell,Lord-Harwood-Fell,Harwood-Fell,Lord-Harwood,,,,,,,,,,,,,
Harwood-Stout,Harwood-Stout,Lord-Stout,,,,,,,,,,,,,,
Harys-Cobb,Harys-Cobb,Ser-Harys-Cobb,,,,,,,,,,,,,,
Harys-Swyft,Ser-Harys-Swyft,Harys-Swyft,Ser-Harys,Harys,,,,,,,,,,,,
Hazrak-zo-Loraq,Hazrak-zo-Loraq,Hazrak-the-Handsome,,,,,,,,,,,,,,
Hazzea,Hazzea,,,,,,,,,,,,,,,
Helman-Tallhart,Helman-Tallhart,Helman,,,,,,,,,,,,,,
Henly,Henly,Maester-Henly,,,,,,,,,,,,,,
Hero,Hero,Hero-of-the-Unsullied,,,,,,,,,,,,,,
High-Sparrow,High-Septon,High-Sparrow,High-Holiness,Holiness,,,,,,,,,,,,
Hildy,Hildy,,,,,,,,,,,,,,,
Hizdahr-zo-Loraq,King-Hizdahr-zo-Loraq,Great-Master-Hizdahr,Hizdahr-zo-Loraq,King-Hizdahr,Hizdahr,king-Hizdahr,,,,,,,,,,
Hoarfrost-Umber,Hoarfrost-Umber,Lord-Hoarfrost-Umber,,,,,,,,,,,,,,
Hobb,Three-Finger-Hobb,Three-Finger,Hobb,,,,,,,,,,,,,
Hodor,Hodor,,,,,,,,,,,,,,,
Holly,Holly,,,,,,,,,,,,,,,
Hop-Bean,Hop-Bean,,,,,,,,,,,,,,,
Hop-Robin,Hop-Robin,,,,,,,,,,,,,,,
Horonno,Horonno,Triarch-Horonno,,,,,,,,,,,,,,
