changes,Aemon T Encounters:,,,
,Jon S (Jon), Aemon T (Aemon),1296195," ""wants to see you.""  It was not time for his bandages to be changed. Jon"""
,Aemon T (Aemon), Samwell T (Sam),1296631," ""the way myself."" He left Sam standing there; openmouthed and quivering.  He found Maester Aemon"""
,Aemon T (Aemon), Jon S (Jon),1297019," ""handed Jon the bucket and scurried down the ladder. ""Toss the meat into the cages;"" Aemon"""
,Jon S (Jon), Aemon T (Aemon),1297070," ""the meat into the cages;"" Aemon instructed him. ""The birds will do the rest.""  Jon"""
,Jon S (Jon), Aemon T (Aemon),1298989," ""of the Night's Watch take no wives and father no children?"" Maester Aemon asked.  Jon"""
,Jon S (Jon), Aemon T (Aemon),1302756," ""still my father •À_""  Maester Aemon sighed. ""Have you heard nothing I've told you; Jon"""
delete,Dragonknight (Dragonknight), Aemon T (Aemon),1304021," ""Aegon reigned after him in my stead. My grandfather named me for Prince Aemon the Dragonknight"""
,Aemon T (Aemon), Dragonknight (Dragonknight),1304099," ""the Dragonknight; who was his uncle; or his father; depending on which tale you believe. Aemon"""
,Jon S (Jon), Aemon T (Aemon),1304142," ""depending on which tale you believe. Aemon; he called me •À_""  ""Aemon •À_ Targaryen?"" Jon"""
delete,Aemon T (Aemon), Cregan S (Cregan Stark),1443658," ""he yielded to Aegon the Conqueror. Oh; there; he's Cregan Stark. He fought with Prince Aemon"""
delete,Dragonknight (Dragonknight), Aemon T (Aemon),1443685," ""the Conqueror. Oh; there; he's Cregan Stark. He fought with Prince Aemon once; and the Dragonknight"""
,Jon S (Jon), Aemon T (Aemon),1523579," ""Neck; and men would soon be watching for him. Once Maester Aemon's ravens took flight; Jon"""
,Aemon T (Aemon), Jeor M (Lord Commander of the Night),1539124," ""chose me Lord Commander of the Night's Watch because I'm dumb as a stump; Snow? Aemon"""
,Aemon T (Aemon), Jon S (Snow),1539124," ""chose me Lord Commander of the Night's Watch because I'm dumb as a stump; Snow? Aemon"""
