char 1, char2, index, text
Thistle (Thistle), Varamyr (Varamyr), 12907, "life; but days and nights had passed and Thistle had not returned. She wont be coming back. Varamyr"
Haggon (Haggon), Varamyr (Varamyr), 13840, "was all he said when he flung him down at Haggon feet.  He was not wrong; Varamyr"
Varamyr (Varamyr), Haggon (Haggon), 13867, "said when he flung him down at Haggon feet.  He was not wrong; Varamyr thought; shivering. Haggon"
Bump (Bump), Varamyr (Lump), 14435, "to dirt and ashes. That was what the woods witch told his mother; the day Bump died. Lump"
Mance-Rayder (Mance), Varamyr (Varamyr-Sixskins), 15042, "have listened. I should have slipped inside my bear and torn him to pieces.  Before Mance; Varamyr-Sixskins"
Thistle (Thistle), Varamyr (Varamyr), 16659, "and west the hills were a vast white wilderness where nothing moved except the blowing snow. "Thistle;" Varamyr"
Varamyr (Varamyr), Thistle (Thistle), 16722, "nothing moved except the blowing snow. "Thistle;" Varamyr called feebly; wondering how far she could have gone. "Thistle"
Thistle (Thistle), Varamyr (Varamyr), 16806, ""Thistle. Woman. Where are you?"  Far away; a wolf gave howl.  A shiver went through Varamyr"
Varamyr (Lump), Haggon (Haggon), 19226, "at the bloody blue."  Not all skinchangers felt the same; however. Once; when Lump was ten; Haggon"
Borroq (Borroq), Orell (Orell), 19469, "stranger and more fascinating. Borroq looked so much like his boar that all he lacked was tusks; Orell"
Orell (Orell), Briar (Briar), 19490, "Borroq looked so much like his boar that all he lacked was tusks; Orell had his eagle; Briar"
Briar (Briar), Varamyr (Lump), 19534, "all he lacked was tusks; Orell had his eagle; Briar her shadowcat (the moment he saw them; Lump"
Orell (Orell), Varamyr (Lump), 19534, "all he lacked was tusks; Orell had his eagle; Briar her shadowcat (the moment he saw them; Lump"
Varamyr (Lump), Grisella (Grisella), 19590, "her shadowcat (the moment he saw them; Lump wanted a shadowcat of his own); the goat woman Grisella"
Grisella (Grisella), Varamyr (Varamyr-Sixskins), 19645, "of his own); the goat woman Grisella ;  None of them had been as strong as Varamyr-Sixskins"
Grisella (Grisella), Haggon (Haggon), 19670, "goat woman Grisella ;  None of them had been as strong as Varamyr-Sixskins; though; not even Haggon"
Varamyr (Varamyr-Sixskins), Haggon (Haggon), 19670, "goat woman Grisella ;  None of them had been as strong as Varamyr-Sixskins; though; not even Haggon"
Varamyr (Greyskin), Haggon (Haggon), 20007, "back then. Greyskin made four; though the old wolf was frail and almost toothless and soon followed Haggon"
Haggon (Haggon), Varamyr (Varamyr), 20028, "four; though the old wolf was frail and almost toothless and soon followed Haggon into death.  Varamyr"
Thistle (Thistle), Haggon (Haggon), 20169, "make their flesh his own. Dog or wolf; bear or badger ;  Thistle; he thought.  Haggon"
Haggon (Haggon), Mance-Rayder (Mance), 20273, "would call it an abomination; the blackest sin of all; but Haggon was dead; devoured; and burned. Mance"
Mance-Rayder (Mance), Thistle (Thistle), 20378, "him as well; but Mance was slain or captured. No one will ever know. I will be Thistle"
Thistle (Thistle), Varamyr (Varamyr-Sixskins), 20414, "Mance was slain or captured. No one will ever know. I will be Thistle the spearwife; and Varamyr-Sixskins"
Mance-Rayder (Mance), Haggon (Haggon), 22161, "Wall that Mance used to sing about. "The world beyond the Wall is not for our kind;" Haggon"
Haggon (Haggon), Varamyr (Varamyr), 23398, "would become a true wolf. Which; though?  Not Sly. Haggon would have called it abomination; but Varamyr"
Varamyr (Varamyr), Orell (Orell), 24094, "beast remains."  Varamyr knew the truth of that. When he claimed the eagle that had been Orell"
Orell (Orell), Jon-Snow (Jon-Snow), 24207, "could feel the other skinchanger raging at his presence. Orell had been slain by the turncloak crow Jon-Snow"
Jon-Snow (Jon-Snow), Varamyr (Varamyr), 24268, "slain by the turncloak crow Jon-Snow; and his hate for his killer had been so strong that Varamyr"
Bump (Bump), Varamyr (Lump), 25593, "whimpering; a woman tears.  Bump. She weeps for Bump; but she never wept for me.  Lump"
Varamyr (Lump), Meha (Meha), 25871, "it was too late. The whole village had taken to calling him Lump; the name his sister Meha"
Meha (Meha), Bump (Bump), 25946, "his sister Meha had given him when he was still in their mother belly. Meha had given Bump"
Bump (Bump), Varamyr (Lump), 25973, "when he was still in their mother belly. Meha had given Bump his name as well; but Lump"
Meha (Meha), Varamyr (Lump), 25973, "when he was still in their mother belly. Meha had given Bump his name as well; but Lump"
Varamyr (Lump), Bump (Bump), 26619, "and all that in it."  The old woman words had gone through Lump like a knife. Bump"
Bump (Bump), Varamyr (Lump), 26659, "woman words had gone through Lump like a knife. Bump sees. He is watching me. He knows. Lump"
Haggon (Haggon), Varamyr (Varamyr), 27801, "him down the same way he had done the dogs. Instead hed given him to Haggon.  Varamyr"
Thistle (Thistle), Haggon (Haggon), 28581, "inside her.  Thistle arched her back and screamed.  Abomination. Was that her; or him; or Haggon"
Tyrion-Lannister (dwarf), Jaime-Lannister (Jaime), 33803, "did some dwarf diddle your mother?" That went unanswered too. "Where are we sailing? Tell me that." Jaime"
Tyrion-Lannister (Tyrion), Myrcella-Baratheon (Myrcella), 33949, "had never said which one. "Is it Braavos? Tyrosh? Myr?" Tyrion would sooner have gone to Dorne. Myrcella"
Myrcella-Baratheon (Myrcella), Tommen-Baratheon (Tommen), 33970, "one. "Is it Braavos? Tyrosh? Myr?" Tyrion would sooner have gone to Dorne. Myrcella is older than Tommen"
Tyrion-Lannister (Tyrion), Tommen-Baratheon (Tommen), 33970, "one. "Is it Braavos? Tyrosh? Myr?" Tyrion would sooner have gone to Dorne. Myrcella is older than Tommen"
Oberyn-Martell (Oberyn), Gregor-Clegane (Ser-Gregor-Clegane), 34173, "suggested.  Oberyn was dead; though; his head smashed to bloody ruin by the armored fist of Ser-Gregor-Clegane"
Gregor-Clegane (Ser-Gregor-Clegane), Oberyn-Martell (Red-Viper), 34200, "dead; though; his head smashed to bloody ruin by the armored fist of Ser-Gregor-Clegane. And without the Red-Viper"
Gregor-Clegane (Ser-Gregor-Clegane), Doran-Martell (Doran-Martell), 34236, "bloody ruin by the armored fist of Ser-Gregor-Clegane. And without the Red-Viper to urge him on; would Doran-Martell"
Oberyn-Martell (Red-Viper), Doran-Martell (Doran-Martell), 34236, "bloody ruin by the armored fist of Ser-Gregor-Clegane. And without the Red-Viper to urge him on; would Doran-Martell"
Jeor-Mormont (Old-Bear), Tyrion-Lannister (Tyrion), 34435, "sister. The Wall might be safer. Old-Bear Mormont said the Night Watch had need of men like Tyrion"
Tywin-Lannister (Lord-Tywin), Tyrion-Lannister (Tyrion-Lannister), 36353, "said. His last words; and what words they were. The crossbow thrummed; Lord-Tywin sat back down; and Tyrion-Lannister"
Tyrion-Lannister (Tyrion-Lannister), Varys (Varys), 36408, "were. The crossbow thrummed; Lord-Tywin sat back down; and Tyrion-Lannister found himself waddling through the darkness with Varys"
Tywin-Lannister (Lord-Tywin), Varys (Varys), 36408, "were. The crossbow thrummed; Lord-Tywin sat back down; and Tyrion-Lannister found himself waddling through the darkness with Varys"
Tyrion-Lannister (dwarf), Varys (eunuch), 36917, "had won a famous victory and lost a nose. That was when the dwarf turned to the eunuch"
Tysha (Tysha), Shae (Shae), 37524, "once he took Tysha from my arms. He was rising when I killed him.  "I killed Shae"
Shae (Shae), Varys (Varys), 37552, "my arms. He was rising when I killed him.  "I killed Shae too;" he confessed to Varys"
Varys (Varys), Jaime-Lannister (Jaime), 37878, "had stayed his dagger. Not gratitude. Varys had saved him from a headsman sword; but only because Jaime"
Illyrio-Mopatis (Illyrio-Mopatis), Varys (Varys-the-Spider), 41957, "of my friend across the water is a friend to Illyrio-Mopatis; yes."  And any friend of Varys-the-Spider"
Illyrio-Mopatis (Illyrio-Mopatis), Tyrion-Lannister (dwarf), 45831, "called them; with contempt. Should a day ever dawn when Illyrio-Mopatis saw more profit in a dead dwarf"
Cersei-Lannister (Cersei), Jaime-Lannister (Jaime), 46058, "That it would arrive he did not doubt; Cersei was not like to forget him; and even Jaime"
Tyrion-Lannister (dwarf), Tysha (Tysha), 46643, "grown men; tall and strong ; though all men were tall to a dwarf of thirteen years. Tysha"
Illyrio-Mopatis (Illyrio), Tyrion-Lannister (Tyrion), 48030, "the hand and dragged them to his bedchamber. None will dare refuse you; Illyrio claimed; but somehow Tyrion"
Tyrion-Lannister (Tyrion), Runceford-Redwyne (Runceford-Redwyne), 49161, "Shadow. In the end; Tyrion chose a cask of strongwine marked as the private stock of Lord Runceford-Redwyne"
Runceford-Redwyne (Runceford-Redwyne), Paxter-Redwyne (Lord-of-the-Arbor), 49211, "a cask of strongwine marked as the private stock of Lord Runceford-Redwyne; the grandfather of the present Lord-of-the-Arbor"
Illyrio-Mopatis (Magister-Illyrio), Tyrion-Lannister (Tyrion), 54293, "shoulder. "My lord;" she said; "your bath awaits. Magister-Illyrio expects you at table within the hour."  Tyrion"
Shae (Shae), Tyrion-Lannister (dwarf), 55199, "The words were on his tongue; but somehow never passed his lips. She is not Shae; the dwarf"
Tyrion-Lannister (dwarf), Tywin-Lannister (Lord-Tywin), 56752, "a taste of fear; but all she gave him was revulsion. No one fears a dwarf. Even Lord-Tywin"
Tywin-Lannister (Lord-Tywin), Tyrion-Lannister (Tyrion), 56787, "she gave him was revulsion. No one fears a dwarf. Even Lord-Tywin had not been afraid; though Tyrion"
Tyrion-Lannister (Tyrion), Illyrio-Mopatis (Illyrio), 57626, "rings; Tyrion mused; though Id need a cleaver to claim them.  "Come sit; my little friend." Illyrio"
Illyrio-Mopatis (Illyrio), Tyrion-Lannister (dwarf), 57655, "a cleaver to claim them.  "Come sit; my little friend." Illyrio waved him closer.  The dwarf"
Tyrion-Lannister (Tyrion), Illyrio-Mopatis (Illyrio), 59979, "sound a serving man entered with a covered dish. He placed it in front of Tyrion; and Illyrio"
Tyrion-Lannister (Tyrion), Illyrio-Mopatis (Illyrio), 60271, "friend. Have two."  Tyrion had a fat black mushroom halfway to his mouth; but something in Illyrio"
Tyrion-Lannister (Tyrion), Illyrio-Mopatis (Magister-Illyrio), 62662, " "The mushrooms are not poisoned." Tyrion was irritated.  "No. Why should I wish you ill?" Magister-Illyrio"
Jaime-Lannister (Jaime), Cersei-Lannister (Cersei), 64317, "conceded. "A Lannister is not a lion. Yet I am still my father son; and Jaime and Cersei"
Cersei-Lannister (Cersei), Illyrio-Mopatis (Illyrio), 64402, "and Cersei are mine to kill."  "How odd that you should mention your fair sister;" said Illyrio"
Illyrio-Mopatis (Illyrio), Cersei-Lannister (The-queen), 64430, "mine to kill."  "How odd that you should mention your fair sister;" said Illyrio; between snails. "The-queen"
Stannis-Baratheon (Stannis), Tyrion-Lannister (Tyrion), 65328, "are heir by all the laws of Westeros."  "Stannis might well grant me Casterly Rock;" said Tyrion"
Stannis-Baratheon (Stannis), Tyrion-Lannister (Tyrion), 65581, "to join Lord-Stannis?"  "Why else would you go the Wall?"  "Stannis is at the Wall?" Tyrion"
Tyrion-Lannister (Tyrion), Stannis-Baratheon (Stannis), 65640, " "Stannis is at the Wall?" Tyrion rubbed at his nose. "What in seven bloody hells is Stannis"
Stannis-Baratheon (Stannis), Myrcella-Baratheon (Myrcella), 68020, "a savior."  "They may look; but if all they find is Stannis;"  "Not Stannis. Nor Myrcella"
Myrcella-Baratheon (Myrcella), Tommen-Baratheon (Tommen), 68079, "all they find is Stannis;"  "Not Stannis. Nor Myrcella." The yellow smile widened. "Another. Stronger than Tommen"
Stannis-Baratheon (Stannis), Tommen-Baratheon (Tommen), 68079, "all they find is Stannis;"  "Not Stannis. Nor Myrcella." The yellow smile widened. "Another. Stronger than Tommen"
Myrcella-Baratheon (Myrcella), Stannis-Baratheon (Stannis), 68101, "is Stannis;"  "Not Stannis. Nor Myrcella." The yellow smile widened. "Another. Stronger than Tommen; gentler than Stannis"
Tommen-Baratheon (Tommen), Stannis-Baratheon (Stannis), 68101, "is Stannis;"  "Not Stannis. Nor Myrcella." The yellow smile widened. "Another. Stronger than Tommen; gentler than Stannis"
Stannis-Baratheon (Stannis), Myrcella-Baratheon (Myrcella), 68145, "yellow smile widened. "Another. Stronger than Tommen; gentler than Stannis; with a better claim than the girl Myrcella"
Tommen-Baratheon (Tommen), Myrcella-Baratheon (Myrcella), 68145, "yellow smile widened. "Another. Stronger than Tommen; gentler than Stannis; with a better claim than the girl Myrcella"
Missandei (Missandei), Daenerys-Targaryen (Khaleesi), 69182, "house with a red door when Missandei woke her. There had been no time to dress.  "Khaleesi"
Daenerys-Targaryen (Khaleesi), Irri (Irri), 69199, "a red door when Missandei woke her. There had been no time to dress.  "Khaleesi;" whispered Irri"
Missandei (Missandei), Irri (Irri), 69199, "a red door when Missandei woke her. There had been no time to dress.  "Khaleesi;" whispered Irri"
Jhiqui (Jhiqui), Irri (Irri), 69339, "is bad luck to touch the dead."  "Unless you killed them yourself." Jhiqui was bigger-boned than Irri"
Barristan-Selmy (Ser-Barristan), Grey-Worm (Grey-Worm), 70376, "bronze as well. They laid the corpse down at her feet. Ser-Barristan pulled back the bloodstained shroud. Grey-Worm"
Daenerys-Targaryen (queen-Dany), Stalwart-Shield (Stalwart-Shield), 71253, "of Meereen by night they always walked in pairs.  "My queen-Dany;; replied the captain; "your servant Stalwart-Shield"
Grey-Worm (Grey-Worm), Stalwart-Shield (Stalwart-Shield), 72107, "still have a man heart; Your Grace;" said Grey-Worm. "This one has been told that your servant Stalwart-Shield"
Stalwart-Shield (Stalwart-Shield), Barristan-Selmy (Ser-Barristan), 72657, "many attackers fell upon Stalwart-Shield?"  "This one does not know. Many."  "Six or more;" said Ser-Barristan"
Daenerys-Targaryen (queen-Dany), Grey-Worm (Grey-Worm), 73022, "and writhing in pain. "Why did they cut open his cheeks like that?"  "Gracious queen-Dany;" said Grey-Worm"
Barristan-Selmy (Ser-Barristan), Daenerys-Targaryen (Dany), 73611, "have slain."  "The first;" Ser-Barristan warned; "but not the last."  I am still at war; Dany"
Jhiqui (Jhiqui), Stalwart-Shield (Stalwart-Shield), 73859, "the lion pelt; she knelt beside the corpse and closed the dead man eyes; ignoring Jhiqui gasp. "Stalwart-Shield"
Barristan-Selmy (Ser-Barristan), Daenerys-Targaryen (Dany), 77152, "can use them in the streets;" she told Ser-Barristan; "but until then I have only the Unsullied." Dany"
Rhaegel-Targaryen (Rhaegal), Irri (Irri), 78567, "you and Drogon been fighting again?" Her dragons were growing wild of late. Rhaegal had snapped at Irri"
Irri (Irri), Reznak-mo-Reznak (seneschal), 78637, "late. Rhaegal had snapped at Irri; and Viserion had set Reznak tokar ablaze the last time the seneschal"
Daenerys-Targaryen (Dany), Irri (Irri), 79372, "beyond the muddy waters of the Skahazadhan. Only then did Dany go back inside the pyramid; where Irri"
Daenerys-Targaryen (Dany), Jhiqui (Jhiqui), 79383, "muddy waters of the Skahazadhan. Only then did Dany go back inside the pyramid; where Irri and Jhiqui"
Irri (Irri), Jhiqui (Jhiqui), 79383, "muddy waters of the Skahazadhan. Only then did Dany go back inside the pyramid; where Irri and Jhiqui"
Daenerys-Targaryen (Mother-of-Dragons), Galazza-Galare (Green-Grace), 80298, "advisors had convinced her otherwise. "The Mother-of-Dragons must don the tokar or be forever hated;" warned the Green-Grace"
Jhiqui (Jhiqui), Irri (Irri), 80857, "of golden tassels. With Jhiqui help; she wound the tokar about herself correctly on her third attempt. Irri"
Aegon-Targaryen-(son-of-Rhaegar) (Prince-Aegon), Viserys-Targaryen (Viserys), 81505, "he had lived; I might have married him. Prince-Aegon would have been closer to my age than Viserys"
Aegon-Targaryen-(son-of-Rhaegar) (Prince-Aegon), Daenerys-Targaryen (Dany), 81511, "had lived; I might have married him. Prince-Aegon would have been closer to my age than Viserys. Dany"
Viserys-Targaryen (Viserys), Daenerys-Targaryen (Dany), 81511, "had lived; I might have married him. Prince-Aegon would have been closer to my age than Viserys. Dany"
Daenerys-Targaryen (Dany), Aegon-Targaryen-(son-of-Rhaegar) (Prince-Aegon), 81553, "him. Prince-Aegon would have been closer to my age than Viserys. Dany had only been conceived when Prince-Aegon"
Viserys-Targaryen (Viserys), Aegon-Targaryen-(son-of-Rhaegar) (Prince-Aegon), 81553, "him. Prince-Aegon would have been closer to my age than Viserys. Dany had only been conceived when Prince-Aegon"
Aegon-Targaryen-(son-of-Rhaegar) (Prince-Aegon), Rhaegar-Targaryen (Rhaegar), 81617, "Viserys. Dany had only been conceived when Prince-Aegon and his sister were murdered. Their father; her brother Rhaegar"
Rhaegar-Targaryen (Rhaegar), Robert-Baratheon (Usurper), 81662, "Prince-Aegon and his sister were murdered. Their father; her brother Rhaegar; perished even earlier; slain by the Usurper"
Rhaegar-Targaryen (Rhaegar), Viserys-Targaryen (Viserys), 81698, "Their father; her brother Rhaegar; perished even earlier; slain by the Usurper on the Trident. Her brother Viserys"
Robert-Baratheon (Usurper), Viserys-Targaryen (Viserys), 81698, "Their father; her brother Rhaegar; perished even earlier; slain by the Usurper on the Trident. Her brother Viserys"
Irri (Irri), Skahaz-mo-Kandaq (Skahaz), 82952, "the Meereenese; however much I may despise them. "I am ready;" she told Irri.  Reznak and Skahaz"
Irri (Irri), Daenerys-Targaryen (queen-Dany), 83000, "them. "I am ready;" she told Irri.  Reznak and Skahaz waited atop the marble steps. "Great queen-Dany"
Skahaz-mo-Kandaq (Skahaz), Daenerys-Targaryen (queen-Dany), 83000, "them. "I am ready;" she told Irri.  Reznak and Skahaz waited atop the marble steps. "Great queen-Dany"
Daenerys-Targaryen (queen-Dany), Reznak-mo-Reznak (Reznak-mo-Reznak), 83028, "am ready;" she told Irri.  Reznak and Skahaz waited atop the marble steps. "Great queen-Dany;" declared Reznak-mo-Reznak"
Irri (Irri), Reznak-mo-Reznak (Reznak-mo-Reznak), 83028, "am ready;" she told Irri.  Reznak and Skahaz waited atop the marble steps. "Great queen-Dany;" declared Reznak-mo-Reznak"
Skahaz-mo-Kandaq (Skahaz), Reznak-mo-Reznak (Reznak-mo-Reznak), 83028, "am ready;" she told Irri.  Reznak and Skahaz waited atop the marble steps. "Great queen-Dany;" declared Reznak-mo-Reznak"
Daenerys-Targaryen (queen-Dany), Skahaz-mo-Kandaq (Skahaz-mo-Kandaq), 83409, " "You are kind to say so;" Dany answered; in the same tongue.  "My queen-Dany;" growled Skahaz-mo-Kandaq"
Daenerys-Targaryen (Dany), Skahaz-mo-Kandaq (Skahaz), 83811, "Others followed; though whether from fear; fashion; or ambition; Dany could not say; shavepates; they were called. Skahaz"
Stalwart-Shield (Stalwart-Shield), Skahaz-mo-Kandaq (Skahaz), 84058, "name was Stalwart-Shield."  "More will die unless the murderers are punished." Even with his shaven scalp; Skahaz"
Daenerys-Targaryen (Dany), Skahaz-mo-Kandaq (Skahaz), 84428, "them when I do not know who they are?" Dany demanded of him. "Tell me that; bold Skahaz"
Daenerys-Targaryen (Dany), Robert-Baratheon (Usurper), 84754, "taste for blood. Women do not forget. Women do not forgive."  No; Dany thought; and the Usurper"
Oznak-zo-Pahl (Oznak-zo-Pahl), Belwas (Strong-Belwas), 84920, "that there was blood between her and the House of Pahl. Oznak-zo-Pahl had been cut down by Strong-Belwas"
Reznak-mo-Reznak (seneschal), Skahaz-mo-Kandaq (Skahaz), 85881, "they will prove to be baseborn filth; you shall see."  The seneschal was as bald as Skahaz"
Mirri-Maz-Duur (Mirri-Maz-Duur), Jorah-Mormont (Ser-Jorah), 86325, "The Undying of Qarth had told her she would be thrice betrayed. Mirri-Maz-Duur had been the first; Ser-Jorah"
Jorah-Mormont (Ser-Jorah), Skahaz-mo-Kandaq (Shavepate), 86378, "be thrice betrayed. Mirri-Maz-Duur had been the first; Ser-Jorah the second. Would Reznak be the third? The Shavepate"
Mirri-Maz-Duur (Mirri-Maz-Duur), Skahaz-mo-Kandaq (Shavepate), 86378, "be thrice betrayed. Mirri-Maz-Duur had been the first; Ser-Jorah the second. Would Reznak be the third? The Shavepate"
Jorah-Mormont (Ser-Jorah), Daario-Naharis (Daario), 86386, "thrice betrayed. Mirri-Maz-Duur had been the first; Ser-Jorah the second. Would Reznak be the third? The Shavepate? Daario"
Mirri-Maz-Duur (Mirri-Maz-Duur), Daario-Naharis (Daario), 86386, "thrice betrayed. Mirri-Maz-Duur had been the first; Ser-Jorah the second. Would Reznak be the third? The Shavepate? Daario"
Skahaz-mo-Kandaq (Shavepate), Daario-Naharis (Daario), 86386, "thrice betrayed. Mirri-Maz-Duur had been the first; Ser-Jorah the second. Would Reznak be the third? The Shavepate? Daario"
Daario-Naharis (Daario), Barristan-Selmy (Ser-Barristan), 86446, "Would Reznak be the third? The Shavepate? Daario? Or will it be someone I would never suspect; Ser-Barristan"
Skahaz-mo-Kandaq (Shavepate), Barristan-Selmy (Ser-Barristan), 86446, "Would Reznak be the third? The Shavepate? Daario? Or will it be someone I would never suspect; Ser-Barristan"
Barristan-Selmy (Ser-Barristan), Grey-Worm (Grey-Worm), 86459, "be the third? The Shavepate? Daario? Or will it be someone I would never suspect; Ser-Barristan or Grey-Worm"
Daario-Naharis (Daario), Grey-Worm (Grey-Worm), 86459, "be the third? The Shavepate? Daario? Or will it be someone I would never suspect; Ser-Barristan or Grey-Worm"
Skahaz-mo-Kandaq (Shavepate), Grey-Worm (Grey-Worm), 86459, "be the third? The Shavepate? Daario? Or will it be someone I would never suspect; Ser-Barristan or Grey-Worm"
Barristan-Selmy (Ser-Barristan), Missandei (Missandei), 86472, "third? The Shavepate? Daario? Or will it be someone I would never suspect; Ser-Barristan or Grey-Worm or Missandei"
Daario-Naharis (Daario), Missandei (Missandei), 86472, "third? The Shavepate? Daario? Or will it be someone I would never suspect; Ser-Barristan or Grey-Worm or Missandei"
Grey-Worm (Grey-Worm), Missandei (Missandei), 86472, "third? The Shavepate? Daario? Or will it be someone I would never suspect; Ser-Barristan or Grey-Worm or Missandei"
Skahaz-mo-Kandaq (Shavepate), Missandei (Missandei), 86472, "third? The Shavepate? Daario? Or will it be someone I would never suspect; Ser-Barristan or Grey-Worm or Missandei"
Barristan-Selmy (Ser-Barristan), Skahaz-mo-Kandaq (Skahaz), 86482, "Shavepate? Daario? Or will it be someone I would never suspect; Ser-Barristan or Grey-Worm or Missandei?  "Skahaz"
Daario-Naharis (Daario), Skahaz-mo-Kandaq (Skahaz), 86482, "Shavepate? Daario? Or will it be someone I would never suspect; Ser-Barristan or Grey-Worm or Missandei?  "Skahaz"
Grey-Worm (Grey-Worm), Skahaz-mo-Kandaq (Skahaz), 86482, "Shavepate? Daario? Or will it be someone I would never suspect; Ser-Barristan or Grey-Worm or Missandei?  "Skahaz"
Missandei (Missandei), Skahaz-mo-Kandaq (Skahaz), 86482, "Shavepate? Daario? Or will it be someone I would never suspect; Ser-Barristan or Grey-Worm or Missandei?  "Skahaz"
Missandei (Missandei), Daenerys-Targaryen (Daenerys-Stormborn), 86870, "into court.  Missandei announced her. The little scribe had a sweet; strong voice. "All kneel for Daenerys-Stormborn"
Daenerys-Targaryen (Dany), Reznak-mo-Reznak (Reznak-mo-Reznak), 87462, ""Arise." Dany settled onto her bench. The hall rose. That at least they do as one.  Reznak-mo-Reznak"
Reznak-mo-Reznak (Reznak-mo-Reznak), Daenerys-Targaryen (the-queen-Dany), 87510, "hall rose. That at least they do as one.  Reznak-mo-Reznak had a list. Custom demanded that the-queen-Dany"
Daenerys-Targaryen (the-queen-Dany), Ghael (Lord-Ghael), 87586, "a list. Custom demanded that the-queen-Dany begin with the Astapori envoy; a former slave who called himself Lord-Ghael"
Cleon (Cleon-the-Great), Daenerys-Targaryen (Daenerys-Stormborn), 87832, "weasel. He also had a gift. "Cleon-the-Great sends these slippers as a token of his love for Daenerys-Stormborn"
Cleon (Cleon-the-Great), Irri (Irri), 87863, "a gift. "Cleon-the-Great sends these slippers as a token of his love for Daenerys-Stormborn; the Mother-of-Dragons."  Irri"
Daenerys-Targaryen (Mother-of-Dragons), Irri (Irri), 87863, "a gift. "Cleon-the-Great sends these slippers as a token of his love for Daenerys-Stormborn; the Mother-of-Dragons."  Irri"
Irri (Irri), Daenerys-Targaryen (Dany), 87891, "slippers as a token of his love for Daenerys-Stormborn; the Mother-of-Dragons."  Irri slid the slippers onto Dany"
Daenerys-Targaryen (Dany), Cleon (Great-Cleon), 88223, "made for a child. Dany had small feet; yet the pointed slippers mashed her toes together.  "Great-Cleon"
Cleon (Great-Cleon), Ghael (Lord-Ghael), 88282, "pointed slippers mashed her toes together.  "Great-Cleon will be pleased to know they pleased you;" said Lord-Ghael"
Ghael (Lord-Ghael), Daenerys-Targaryen (Mother-of-Dragons), 88366, "they pleased you;" said Lord-Ghael. "His Magnificence bids me say that he stands ready to defend the Mother-of-Dragons"
Daenerys-Targaryen (Mother-of-Dragons), Cleon (King-Cleon), 88430, "ready to defend the Mother-of-Dragons from all her foes."  If he proposes again that I wed King-Cleon"
Cleon (King-Cleon), Daenerys-Targaryen (Dany), 88469, "foes."  If he proposes again that I wed King-Cleon; Ill throw a slipper at his head; Dany"
Ghael (Lord-Ghael), Cleon (King-Cleon), 89568, "of the ways of war;" she told Lord-Ghael; "but we have heard that Astapor is starving. Let King-Cleon"
Ghael (Ghael), Reznak-mo-Reznak (Reznak-mo-Reznak), 89713, "he leads them out to battle." She made a gesture of dismissal. Ghael withdrew.  "Magnificence;" prompted Reznak-mo-Reznak"
Ghael (Ghael), Hizdahr-zo-Loraq (Hizdahr-zo-Loraq), 89756, "She made a gesture of dismissal. Ghael withdrew.  "Magnificence;" prompted Reznak-mo-Reznak; "will you hear the noble Hizdahr-zo-Loraq"
Reznak-mo-Reznak (Reznak-mo-Reznak), Hizdahr-zo-Loraq (Hizdahr-zo-Loraq), 89756, "She made a gesture of dismissal. Ghael withdrew.  "Magnificence;" prompted Reznak-mo-Reznak; "will you hear the noble Hizdahr-zo-Loraq"
