char 1, char2, index, text
Gared (Gared), Waymar-Royce (Royce), 10474, "rustling. A wolf. Which sound is it that unmans you so; Gared?" When Gared did not answer; Royce"
Gared (Gared), Waymar-Royce (Ser-Waymar), 11328, "will keep away;" Gared said. "Bears and direwolves and ;  and other things ; "  Ser-Waymar"
Waymar-Royce (Ser-Waymar), Gared (Gared), 11372, ";  and other things ; "  Ser-Waymar mouth became a hard line. "No fire."  Gared"
Gared (Gared), Will-(prologue) (Will-Prologue), 11414, ""  Ser-Waymar mouth became a hard line. "No fire."  Gared hood shadowed his face; but Will-Prologue"
Waymar-Royce (Ser-Waymar), Will-(prologue) (Will-Prologue), 11414, ""  Ser-Waymar mouth became a hard line. "No fire."  Gared hood shadowed his face; but Will-Prologue"
Will-(prologue) (Will-Prologue), Gared (Gared), 11717, "from hard use; but Will-Prologue would not have given an iron bob for the lordling life if Gared"
Gared (Gared), Waymar-Royce (Royce), 11827, "from its scabbard.  Finally Gared looked down. "No fire;" he muttered; low under his breath.  Royce"
Waymar-Royce (Royce), Will-(prologue) (Will-Prologue), 11905, "under his breath.  Royce took it for acquiescence and turned away. "Lead on;" he said to Will-Prologue"
Will-(prologue) (Will-Prologue), Waymar-Royce (Royce), 13325, "nobly against the stars for all to see.  "Get down!" Will-Prologue whispered urgently. "Something wrong."  Royce"
Will-(prologue) (Will-Prologue), Waymar-Royce (Ser-Waymar), 13766, "lying where he had seen it last; untouched. A valuable weapon ;  "On your feet; Will-Prologue;" Ser-Waymar"
Waymar-Royce (Ser-Waymar), Will-(prologue) (Will-Prologue), 13863, "Will-Prologue;" Ser-Waymar commanded. "There no one here. I wont have you hiding under a bush."  Reluctantly; Will-Prologue"
Will-(prologue) (Will-Prologue), Waymar-Royce (Ser-Waymar), 13883, ""There no one here. I wont have you hiding under a bush."  Reluctantly; Will-Prologue obeyed.  Ser-Waymar"
Will-(prologue) (Will-Prologue), Waymar-Royce (Ser-Waymar), 15445, "snow; some trick of the moonlight. What had he seen; after all?  "Will-Prologue; where are you?" Ser-Waymar"
Will-(prologue) (Will-Prologue), Waymar-Royce (Ser-Waymar-Royce), 16271, "like moonlight on water with every step it took.  Will-Prologue heard the breath go out of Ser-Waymar-Royce"
Will-(prologue) (Will-Prologue), Waymar-Royce (Ser-Waymar), 16966, "ghost-light that played around its edges; and somehow Will-Prologue knew it was sharper than any razor.  Ser-Waymar"
Will-(prologue) (Will-Prologue), Waymar-Royce (Ser-Waymar), 18487, "swords met; until Will-Prologue wanted to cover his ears against the strange anguished keening of their clash. Ser-Waymar"
Waymar-Royce (Ser-Waymar-Royce), Robert-Baratheon (Robert), 19168, "of ice on a winter lake; and the words were mocking.  Ser-Waymar-Royce found his fury. "For Robert"
Jeor-Mormont (Mormont), Aemon-Targaryen-(Maester-Aemon) (Maester-Aemon), 20726, "know what to make of it; and if not him; then surely that old bear Mormont or Maester-Aemon"
Aemon-Targaryen-(Maester-Aemon) (Maester-Aemon), Gared (Gared), 20739, "to make of it; and if not him; then surely that old bear Mormont or Maester-Aemon. Would Gared"
Jeor-Mormont (Mormont), Gared (Gared), 20739, "to make of it; and if not him; then surely that old bear Mormont or Maester-Aemon. Would Gared"
Aemon-Targaryen-(Maester-Aemon) (Maester-Aemon), Will-(prologue) (Will-Prologue), 20805, "bear Mormont or Maester-Aemon. Would Gared still be waiting with the horses? He had to hurry.  Will-Prologue"
Gared (Gared), Will-(prologue) (Will-Prologue), 20805, "bear Mormont or Maester-Aemon. Would Gared still be waiting with the horses? He had to hurry.  Will-Prologue"
Jeor-Mormont (Mormont), Will-(prologue) (Will-Prologue), 20805, "bear Mormont or Maester-Aemon. Would Gared still be waiting with the horses? He had to hurry.  Will-Prologue"
Aemon-Targaryen-(Maester-Aemon) (Maester-Aemon), Waymar-Royce (Ser-Waymar-Royce), 20828, "or Maester-Aemon. Would Gared still be waiting with the horses? He had to hurry.  Will-Prologue rose. Ser-Waymar-Royce"
Gared (Gared), Waymar-Royce (Ser-Waymar-Royce), 20828, "or Maester-Aemon. Would Gared still be waiting with the horses? He had to hurry.  Will-Prologue rose. Ser-Waymar-Royce"
Will-(prologue) (Will-Prologue), Waymar-Royce (Ser-Waymar-Royce), 20828, "or Maester-Aemon. Would Gared still be waiting with the horses? He had to hurry.  Will-Prologue rose. Ser-Waymar-Royce"
Bran-Stark (Bran), Robb-Stark (Robb), 21845, "seventh of Bran life.  The man had been taken outside a small holdfast in the hills. Robb"
Robb-Stark (Robb), Mance-Rayder (Mance-Rayder), 21904, "outside a small holdfast in the hills. Robb thought he was a wildling; his sword sworn to Mance-Rayder"
Mance-Rayder (Mance-Rayder), Bran-Stark (Bran), 21944, "the hills. Robb thought he was a wildling; his sword sworn to Mance-Rayder; the King-beyond-the-Wall. It made Bran"
Robb-Stark (Robb), Bran-Stark (Bran), 21944, "the hills. Robb thought he was a wildling; his sword sworn to Mance-Rayder; the King-beyond-the-Wall. It made Bran"
Bran-Stark (Bran), Nan (Old-Nan), 22012, "Mance-Rayder; the King-beyond-the-Wall. It made Bran skin prickle to think of it. He remembered the hearth tales Old-Nan"
Robb-Stark (Robb), Jon-Snow (Jon), 22775, "his lord father had the man cut down from the wall and dragged before them. Robb and Jon"
Jon-Snow (Jon), Bran-Stark (Bran), 22821, "the wall and dragged before them. Robb and Jon sat tall and still on their horses; with Bran"
Robb-Stark (Robb), Bran-Stark (Bran), 22821, "the wall and dragged before them. Robb and Jon sat tall and still on their horses; with Bran"
Bran-Stark (Bran), Eddard-Stark (Lord-Stark), 23535, "children of the forest. He had taken off Father face; Bran thought; and donned the face of Lord-Stark"
Eddard-Stark (Lord-Eddard-Stark), Theon-Greyjoy (Theon-Greyjoy), 23938, "the square. They forced his head down onto the hard black wood. Lord-Eddard-Stark dismounted and his ward Theon-Greyjoy"
Bran-Stark (Bran), Jon-Snow (bastard-brother-Jon-Snow), 24678, "North; I do sentence you to die." He lifted the greatsword high above his head.  Bran bastard-brother-Jon-Snow"
Jon-Snow (Jon), Theon-Greyjoy (Greyjoy), 25397, "put his boot on the head; and kicked it away.  "Ass;" Jon muttered; low enough so Greyjoy"
Jon-Snow (Jon), Bran-Stark (Bran), 25433, "away.  "Ass;" Jon muttered; low enough so Greyjoy did not hear. He put a hand on Bran"
Theon-Greyjoy (Greyjoy), Bran-Stark (Bran), 25433, "away.  "Ass;" Jon muttered; low enough so Greyjoy did not hear. He put a hand on Bran"
Bran-Stark (Bran), Jon-Snow (bastard-brother), 25487, "Greyjoy did not hear. He put a hand on Bran shoulder; and Bran looked over at his bastard-brother"
Robb-Stark (Robb-Stark), Jon-Snow (Jon), 26146, "was not courage. This one was dead of fear. You could see it in his eyes; Robb-Stark." Jon"
Robb-Stark (Robb), Jon-Snow (Jon), 26297, "they did not see. He was of an age with Robb; but they did not look alike. Jon"
Jon-Snow (Jon), Robb-Stark (Robb), 26320, "He was of an age with Robb; but they did not look alike. Jon was slender where Robb"
Jon-Snow (Jon), Robb-Stark (Robb), 26577, "swore. "He died well. Race you to the bridge?"  "Done;" Jon said; kicking his horse forward. Robb"
Robb-Stark (Robb), Jon-Snow (Jon), 26667, "horse forward. Robb cursed and followed; and they galloped off down the trail; Robb laughing and hooting; Jon"
Robb-Stark (Robb), Jon-Snow (Jon), 27318, "warhorse; his lord father loomed over him like a giant. "Robb says the man died bravely; but Jon"
Jon-Snow (Jon), Bran-Stark (Bran), 27385, "died bravely; but Jon says he was afraid."  "What do you think?" his father asked.  Bran"
Bran-Stark (Bran), Robert-Baratheon (King-Robert), 28040, "man had to die; but why I must do it."  Bran had no answer for that. "King-Robert"
Bran-Stark (Bran), Robb-Stark (Robb), 28547, "that; then perhaps the man does not deserve to die.  "One day; Bran; you will be Robb"
Bran-Stark (Bran), Robb-Stark (Robb), 28957, "the hill before them. He waved and shouted down at them. "Father; Bran; come quickly; see what Robb"
Bran-Stark (Bran), Jory-Cassel (Jory), 28999, "at them. "Father; Bran; come quickly; see what Robb has found!" Then he was gone again.  Jory"
Robb-Stark (Robb), Jory-Cassel (Jory), 28999, "at them. "Father; Bran; come quickly; see what Robb has found!" Then he was gone again.  Jory"
Jory-Cassel (Jory), Bran-Stark (Bran), 29188, "what mischief my sons have rooted out now." He sent his horse into a trot. Jory and Bran"
Bran-Stark (Bran), Robb-Stark (Robb), 29230, "sent his horse into a trot. Jory and Bran and the rest came after.  They found Robb"
Jory-Cassel (Jory), Robb-Stark (Robb), 29230, "sent his horse into a trot. Jory and Bran and the rest came after.  They found Robb"
Robb-Stark (Robb), Jon-Snow (Jon), 29277, "and the rest came after.  They found Robb on the riverbank north of the bridge; with Jon"
Jon-Snow (Jon), Robb-Stark (Robb), 29360, "the bridge; with Jon still mounted beside him. The late summer snows had been heavy this moonturn. Robb"
Jory-Cassel (Jory-Cassel), Theon-Greyjoy (Theon-Greyjoy), 29669, "their way carefully through the drifts; groping for solid footing on the hidden; uneven ground. Jory-Cassel and Theon-Greyjoy"
Theon-Greyjoy (Greyjoy), Bran-Stark (Bran), 29752, "and Theon-Greyjoy were the first to reach the boys. Greyjoy was laughing and joking as he rode. Bran"
Jory-Cassel (Jory), Robb-Stark (Robb), 29910, "keep control of his horse as he reached for his sword.  Jory sword was already out. "Robb"
Jory-Cassel (Jory), Bran-Stark (Bran), 30082, "up from the bundle in his arms. "She cant hurt you;" he said. "She dead; Jory."  Bran"
Bran-Stark (Bran), Jon-Snow (Jon), 30267, "them dismount beside the bridge and approach on foot. Bran jumped off and ran.  By then Jon"
Bran-Stark (Bran), Jory-Cassel (Jory), 30273, "dismount beside the bridge and approach on foot. Bran jumped off and ran.  By then Jon; Jory"
Jon-Snow (Jon), Jory-Cassel (Jory), 30273, "dismount beside the bridge and approach on foot. Bran jumped off and ran.  By then Jon; Jory"
Bran-Stark (Bran), Theon-Greyjoy (Theon-Greyjoy), 30292, "the bridge and approach on foot. Bran jumped off and ran.  By then Jon; Jory; and Theon-Greyjoy"
Jon-Snow (Jon), Theon-Greyjoy (Theon-Greyjoy), 30292, "the bridge and approach on foot. Bran jumped off and ran.  By then Jon; Jory; and Theon-Greyjoy"
Jory-Cassel (Jory), Theon-Greyjoy (Theon-Greyjoy), 30292, "the bridge and approach on foot. Bran jumped off and ran.  By then Jon; Jory; and Theon-Greyjoy"
Theon-Greyjoy (Greyjoy), Robb-Stark (Robb), 30389, "all dismounted as well. "What in the seven hells is it?" Greyjoy was saying.  "A wolf;" Robb"
Robb-Stark (Robb), Theon-Greyjoy (Greyjoy), 30419, "the seven hells is it?" Greyjoy was saying.  "A wolf;" Robb told him.  "A freak;" Greyjoy"
Robb-Stark (Robb), Bran-Stark (Bran), 30457, ""A wolf;" Robb told him.  "A freak;" Greyjoy said. "Look at the size of it."  Bran"
Theon-Greyjoy (Greyjoy), Bran-Stark (Bran), 30457, ""A wolf;" Robb told him.  "A freak;" Greyjoy said. "Look at the size of it."  Bran"
Jon-Snow (Jon), Theon-Greyjoy (Theon-Greyjoy), 31052, ""It no freak;" Jon said calmly. "That a direwolf. They grow larger than the other kind."  Theon-Greyjoy"
Jon-Snow (Jon), Bran-Stark (Bran), 31171, "sighted south of the Wall in two hundred years."  "I see one now;" Jon replied.  Bran"
Bran-Stark (Bran), Robb-Stark (Robb), 31541, "for milk among his leathers; making a sad little whimpery sound. Bran reached out hesitantly. "Go on;" Robb"
Robb-Stark (Robb), Bran-Stark (Bran), 31578, "little whimpery sound. Bran reached out hesitantly. "Go on;" Robb told him. "You can touch him."  Bran"
Bran-Stark (Bran), Jon-Snow (Jon), 31634, "him. "You can touch him."  Bran gave the pup a quick nervous stroke; then turned as Jon"
Hullen (Hullen), Jory-Cassel (Jory), 31970, "many years;" muttered Hullen; the master of horse. "I like it not."  "It is a sign;" Jory"
Hullen (Hullen), Bran-Stark (Bran), 33030, "man put in. "Worse luck."  "No matter;" said Hullen. "They be dead soon enough too."  Bran"
Bran-Stark (Bran), Theon-Greyjoy (Theon-Greyjoy), 33101, "dead soon enough too."  Bran gave a wordless cry of dismay.  "The sooner the better;" Theon-Greyjoy"
Theon-Greyjoy (Theon-Greyjoy), Bran-Stark (Bran), 33155, "of dismay.  "The sooner the better;" Theon-Greyjoy agreed. He drew his sword. "Give the beast here; Bran"
Bran-Stark (Bran), Theon-Greyjoy (Greyjoy), 33301, "if it heard and understood. "No!" Bran cried out fiercely. "It mine."  "Put away your sword; Greyjoy"
Bran-Stark (Bran), Robb-Stark (Robb), 33308, "it heard and understood. "No!" Bran cried out fiercely. "It mine."  "Put away your sword; Greyjoy;" Robb"
Theon-Greyjoy (Greyjoy), Robb-Stark (Robb), 33308, "it heard and understood. "No!" Bran cried out fiercely. "It mine."  "Put away your sword; Greyjoy;" Robb"
Harwin (Harwin), Hullen (Hullen), 33487, "someday be. "We will keep these pups."  "You cannot do that; boy;" said Harwin; who was Hullen"
Harwin (Harwin), Bran-Stark (Bran), 33542, "said Harwin; who was Hullen son.  "It be a mercy to kill them;" Hullen said.  Bran"
Hullen (Hullen), Bran-Stark (Bran), 33542, "said Harwin; who was Hullen son.  "It be a mercy to kill them;" Hullen said.  Bran"
Robb-Stark (Robb), Rodrik-Cassel (Ser-Rodrik), 33864, "looked away. He did not want to cry in front of his father.  Robb resisted stubbornly. "Ser-Rodrik"
Eddard-Stark (Lord-Stark), Jon-Snow (Jon), 34045, "pups. Shell have milk enough."  "Shell rip them apart when they try to nurse."  "Lord-Stark;" Jon"
Eddard-Stark (Lord-Stark), Bran-Stark (Bran), 34112, "to nurse."  "Lord-Stark;" Jon said. It was strange to hear him call Father that; so formal. Bran"
Jon-Snow (Jon), Bran-Stark (Bran), 34112, "to nurse."  "Lord-Stark;" Jon said. It was strange to hear him call Father that; so formal. Bran"
Bran-Stark (Bran), Jon-Snow (Jon), 34485, "my lord."  Bran saw his father face change; saw the other men exchange glances. He loved Jon"
Jon-Snow (Jon), Bran-Stark (Bran), 34540, "other men exchange glances. He loved Jon with all his heart at that moment. Even at seven; Bran"
Bran-Stark (Bran), Jon-Snow (Jon), 34620, "Even at seven; Bran understood what his brother had done. The count had come right only because Jon"
Jon-Snow (Jon), Rickon-Stark (Rickon), 34689, "count had come right only because Jon had omitted himself. He had included the girls; included even Rickon"
Rickon-Stark (Rickon), Jon-Snow (bastard-Jon), 34724, "Jon had omitted himself. He had included the girls; included even Rickon; the baby; but not the bastard-Jon"
Jon-Snow (Jon), Robb-Stark (Robb), 35100, "House Stark;" Jon pointed out. "I am no Stark; Father."  Their lord father regarded Jon thoughtfully. Robb"
Bran-Stark (Bran), Robb-Stark (Robb), 36042, "will kill a rat. Are you sure you want this?"  "Yes; Father;" Bran said.  "Yes;" Robb"
Robb-Stark (Robb), Jory-Cassel (Jory), 36175, "you do."  "They wont die;" Robb said. "We wont let them die."  "Keep them; then. Jory"
Jory-Cassel (Jory), Desmond (Desmond), 36184, "do."  "They wont die;" Robb said. "We wont let them die."  "Keep them; then. Jory; Desmond"
Robb-Stark (Robb), Desmond (Desmond), 36184, "do."  "They wont die;" Robb said. "We wont let them die."  "Keep them; then. Jory; Desmond"
Bran-Stark (Bran), Jon-Snow (Jon), 36529, "for the long ride home. Bran was wondering what to name him.  Halfway across the bridge; Jon"
Jon-Snow (Jon), Bran-Stark (Bran), 36621, "up suddenly.  "What is it; Jon?" their lord father asked.  "Cant you hear it?"  Bran"
Theon-Greyjoy (Theon-Greyjoy), Jon-Snow (Jon-Snow), 37483, ""An albino;" Theon-Greyjoy said with wry amusement. "This one will die even faster than the others."  Jon-Snow"
Jon-Snow (Jon-Snow), Theon-Greyjoy (Greyjoy), 37549, "faster than the others."  Jon-Snow gave his father ward a long; chilling look. "I think not; Greyjoy"
Eddard-Stark (Ned), Catelyn-Stark (Catelyn), 41062, "her as she came. "Ned;" she called softly.  He lifted his head to look at her. "Catelyn"
Arya-Stark (Arya), Sansa-Stark (Sansa), 41424, "eyes watching her; but she did her best to ignore them. "Arya is already in love; and Sansa"
Arya-Stark (Arya), Rickon-Stark (Rickon), 41460, "her best to ignore them. "Arya is already in love; and Sansa is charmed and gracious; but Rickon"
Sansa-Stark (Sansa), Rickon-Stark (Rickon), 41460, "her best to ignore them. "Arya is already in love; and Sansa is charmed and gracious; but Rickon"
Rickon-Stark (Rickon), Eddard-Stark (Ned), 41501, "love; and Sansa is charmed and gracious; but Rickon is not quite sure."  "Is he afraid?" Ned"
Sansa-Stark (Sansa), Eddard-Stark (Ned), 41501, "love; and Sansa is charmed and gracious; but Rickon is not quite sure."  "Is he afraid?" Ned"
Bran-Stark (Bran), Catelyn-Stark (Catelyn), 42341, "for Bran sake. You would have been proud of Bran."  "I am always proud of Bran;" Catelyn"
Catelyn-Stark (Catelyn), Eddard-Stark (Ned), 43570, "with this King-beyond-the-Wall for good and all."  "Beyond the Wall?" The thought made Catelyn shudder.  Ned"
Catelyn-Stark (Catelyn), Mance-Rayder (Mance-Rayder), 43611, " "Beyond the Wall?" The thought made Catelyn shudder.  Ned saw the dread on her face. "Mance-Rayder"
Eddard-Stark (Ned), Mance-Rayder (Mance-Rayder), 43611, " "Beyond the Wall?" The thought made Catelyn shudder.  Ned saw the dread on her face. "Mance-Rayder"
Eddard-Stark (Ned), Jon-Arryn (Lord-Arryn), 44765, "she had known it would. In his youth; Ned had fostered at the Eyrie; and the childless Lord-Arryn"
Jon-Arryn (Lord-Arryn), Robert-Baratheon (Robert-Baratheon), 44837, "the Eyrie; and the childless Lord-Arryn had become a second father to him and his fellow ward; Robert-Baratheon"
Jon-Arryn (Lord-Arryn), Aerys-II-Targaryen (Mad-King-Aerys), 44862, "the childless Lord-Arryn had become a second father to him and his fellow ward; Robert-Baratheon. When the Mad-King-Aerys"
Robert-Baratheon (Robert-Baratheon), Aerys-II-Targaryen (Mad-King-Aerys), 44862, "the childless Lord-Arryn had become a second father to him and his fellow ward; Robert-Baratheon. When the Mad-King-Aerys"
Aerys-II-Targaryen (Mad-King-Aerys), Jon-Arryn (LordoftheEyrie), 44920, "to him and his fellow ward; Robert-Baratheon. When the Mad-King-Aerys II Targaryen had demanded their heads; the LordoftheEyrie"
Robert-Baratheon (Robert-Baratheon), Jon-Arryn (LordoftheEyrie), 44920, "to him and his fellow ward; Robert-Baratheon. When the Mad-King-Aerys II Targaryen had demanded their heads; the LordoftheEyrie"
Eddard-Stark (Ned), Hoster-Tully (Lord-Hoster-Tully), 45211, "he and Ned stood together in the sept at Riverrun to wed two sisters; the daughters of Lord-Hoster-Tully"
Hoster-Tully (Lord-Hoster-Tully), Jon-Arryn (JonArryn), 45223, "Ned stood together in the sept at Riverrun to wed two sisters; the daughters of Lord-Hoster-Tully.  "JonArryn"
Hoster-Tully (Lord-Hoster-Tully), Robert-Baratheon (the-king), 45278, "the daughters of Lord-Hoster-Tully.  "JonArryn ; " he said. "Is this news certain?"  "It was the-king"
Jon-Arryn (JonArryn), Robert-Baratheon (the-king), 45278, "the daughters of Lord-Hoster-Tully.  "JonArryn ; " he said. "Is this news certain?"  "It was the-king"
Robert-Baratheon (Robert), Jon-Arryn (Lord-Arryn), 45361, "the-king seal; and the letter is in Robert own hand. I saved it for you. He said Lord-Arryn"
Jon-Arryn (Lord-Arryn), Pycelle (Maester-Pycelle), 45401, "is in Robert own hand. I saved it for you. He said Lord-Arryn was taken quickly. Even Maester-Pycelle"
Robert-Baratheon (Robert), Pycelle (Maester-Pycelle), 45401, "is in Robert own hand. I saved it for you. He said Lord-Arryn was taken quickly. Even Maester-Pycelle"
Pycelle (Maester-Pycelle), Jon-Arryn (JonArryn), 45465, "Lord-Arryn was taken quickly. Even Maester-Pycelle was helpless; but he brought the milk of the poppy; so JonArryn"
Jon-Arryn (JonArryn), Catelyn-Stark (Catelyn), 46104, "waits in the Vale; does he not? JonArryn named him Knight of the Gate; Id heard."  Catelyn"
Catelyn-Stark (Catelyn), Brynden-Tully (Brynden), 46121, "the Vale; does he not? JonArryn named him Knight of the Gate; Id heard."  Catelyn nodded. "Brynden"
Jon-Arryn (JonArryn), Brynden-Tully (Brynden), 46121, "the Vale; does he not? JonArryn named him Knight of the Gate; Id heard."  Catelyn nodded. "Brynden"
Lysa-Arryn (Lysa), Catelyn-Stark (Catelyn), 46423, "children about him; and Lysa should not be alone in her grief."  "Would that I could;" Catelyn"
Catelyn-Stark (Catelyn), Robert-Baratheon (The-king), 46469, "be alone in her grief."  "Would that I could;" Catelyn said. "The letter had other tidings. The-king"
Robert-Baratheon (The-king), Eddard-Stark (Ned), 46524, ""The letter had other tidings. The-king is riding to Winterfell to seek you out."  It took Ned"
Robert-Baratheon (Robert), Catelyn-Stark (Catelyn), 46701, "left his eyes. "Robert is coming here?" When she nodded; a smile broke across his face.  Catelyn"
Benjen-Stark (Ben), Luwin (Maester-Luwin), 47140, "the Wall."  "Yes; of course;" he agreed. "Ben will want to be here. I shall tell Maester-Luwin"
Benjen-Stark (Ben), Eddard-Stark (Ned), 47172, "he agreed. "Ben will want to be here. I shall tell Maester-Luwin to send his swiftest bird." Ned"
Luwin (Maester-Luwin), Eddard-Stark (Ned), 47172, "he agreed. "Ben will want to be here. I shall tell Maester-Luwin to send his swiftest bird." Ned"
Cersei-Lannister (Cersei), Robert-Baratheon (Robert), 47495, "all their retainers; and half again as many freeriders. Cersei and the children travel with them."  "Robert"
Cersei-Lannister (The-queen), Eddard-Stark (Ned), 47672, "more time to prepare."  "The-queen  brothers are also in the party;" she told him.  Ned"
Eddard-Stark (Ned), Cersei-Lannister (the-queen), 47737, "the party;" she told him.  Ned grimaced at that. There was small love between him and the-queen"
Cersei-Lannister (the-queen), Catelyn-Stark (Catelyn), 47753, "she told him.  Ned grimaced at that. There was small love between him and the-queen family; Catelyn"
Eddard-Stark (Ned), Catelyn-Stark (Catelyn), 47753, "she told him.  Ned grimaced at that. There was small love between him and the-queen family; Catelyn"
Catelyn-Stark (Catelyn), Robert-Baratheon (Robert), 47815, "love between him and the-queen family; Catelyn knew. The Lannisters of Casterly Rock had come late to Robert"
Cersei-Lannister (the-queen), Robert-Baratheon (Robert), 47815, "love between him and the-queen family; Catelyn knew. The Lannisters of Casterly Rock had come late to Robert"
Cersei-Lannister (Lannister-woman), Tommen-Baratheon (Prince-Tommen), 48250, "the Lannister-woman teat the last time I saw him. He must be; what; five by now?"  "Prince-Tommen"
Tommen-Baratheon (Prince-Tommen), Bran-Stark (Bran), 48297, "must be; what; five by now?"  "Prince-Tommen is seven;" she told him. "The same age as Bran"
Bran-Stark (Bran), Eddard-Stark (Ned), 48310, "what; five by now?"  "Prince-Tommen is seven;" she told him. "The same age as Bran. Please; Ned"
Tommen-Baratheon (Prince-Tommen), Eddard-Stark (Ned), 48310, "what; five by now?"  "Prince-Tommen is seven;" she told him. "The same age as Bran. Please; Ned"
Bran-Stark (Bran), Cersei-Lannister (Lannister-woman), 48350, ""Prince-Tommen is seven;" she told him. "The same age as Bran. Please; Ned; guard your tongue. The Lannister-woman"
Eddard-Stark (Ned), Cersei-Lannister (Lannister-woman), 48350, ""Prince-Tommen is seven;" she told him. "The same age as Bran. Please; Ned; guard your tongue. The Lannister-woman"
Cersei-Lannister (Lannister-woman), Eddard-Stark (Ned), 48425, "The Lannister-woman is our queen; and her pride is said to grow with every passing year."  Ned"
Eddard-Stark (Ned), Robert-Baratheon (Robert), 48504, "passing year."  Ned squeezed her hand. "There must be a feast; of course; with singers; and Robert"
Robert-Baratheon (Robert), Jory-Cassel (Jory), 48541, "must be a feast; of course; with singers; and Robert will want to hunt. I shall send Jory"
Illyrio-Mopatis (Magister-Illyrio), Viserys-Targaryen (Viserys), 49201, "frightened her. She pulled her hand away. "Is it really mine?"  "A gift from the Magister-Illyrio;" Viserys"
