Bharbo,Bharbo,A Game of Thrones,Khal Bharbo,,
Borcas,Borcas,A Game of Thrones,Borcas,,
Boros-Blount,Boros Blount,A Game of Thrones,Ser Boros Blount,,
Bowen-Marsh,Bowen Marsh,A Game of Thrones,Bowen Marsh,,
Brandon-Stark,Brandon Stark,A Game of Thrones,Brandon Stark; Bran,,Bran
Brandon-Stark,Brandon Stark,A Game of Thrones,Brandon Stark; Brother of Eddard,,Brother of Eddard
Brandon-Stark,Brandon Stark,A Game of Thrones,Brandon Stark; The Builder,,The Builder
Brandon-Stark,Brandon Stark,A Game of Thrones,King Brandon Stark; The Burner,,The Burner
Brandon-Stark,Brandon Stark,A Game of Thrones,King Brandon Stark; The Shipwright,,The Shipwright
Bronn,Bronn,A Game of Thrones,Bronn,,
Bryce-Caron,Bryce Caron,A Game of Thrones,Lord Bryce Caron,,
Brynden-Tully,Brynden Tully,A Game of Thrones,Ser Brynden Tully; Blackfish,,Blackfish
Buu,Buu,A Game of Thrones,Buu,,
Byan-Votyris,Byan Votyris,A Game of Thrones,Captain Byan Votyris,,
Catelyn-Stark,Catelyn Stark,A Game of Thrones,Lady Catelyn Stark (Tully),Tully,
Cayn,Cayn,A Game of Thrones,Cayn,,
Cellador,Cellador,A Game of Thrones,Septon Cellador,,
Cersei-Lannister,Cersei Lannister,A Game of Thrones,Queen Cersei Lannister,,
Character-Name,Character Name,Book,Character,Old Surname,Alias
Chataya,Chataya,A Game of Thrones,Chataya,,
Chayle,Chayle,A Game of Thrones,Septon Chayle,,
Chella,Chella,A Game of Thrones,Chella; Daughter of Cheyk,,Daughter of Cheyk
Chett,Chett,A Game of Thrones,Chett,,
Chiggen,Chiggen,A Game of Thrones,Chiggen,,
Clement-Piper,Clement Piper,A Game of Thrones,Lord Clement Piper,,
Clydas,Clydas,A Game of Thrones,Clydas,,
Cohollo,Cohollo,A Game of Thrones,Ko Cohollo,,
Colemon,Colemon,A Game of Thrones,Maester Colemon,,
Conn,Conn,A Game of Thrones,Conn; Son of Coratt,,Son of Coratt
Coratt,Coratt,A Game of Thrones,Coratt,,
Cotter-Pyke,Cotter Pyke,A Game of Thrones,Cotter Pyke,,
Cregan-Stark,Cregan Stark,A Game of Thrones,Lord Cregan Stark,,
Cuger,Cuger,A Game of Thrones,Cuger,,
Dacey-Mormont,Dacey Mormont,A Game of Thrones,Dacey Mormont,,
Dacks,Dacks,A Game of Thrones,Dacks,,
Daenerys-Targaryen,Daenerys Targaryen,A Game of Thrones,Princess Daenerys Targaryen; Stormborn,,Stormborn
Daeron-Targaryen,Daeron Targaryen,A Game of Thrones,Prince Daeron Targaryen; The Drunken,,The Drunken
Daeryssa,Daeryssa,A Game of Thrones,Princess Daeryssa,,
Danwell-Frey,Danwell Frey,A Game of Thrones,Ser Danwell Frey,,
Dareon,Dareon,A Game of Thrones,Dareon,,
Daryn-Hornwood,Daryn Hornwood,A Game of Thrones,Daryn Hornwood,,
Denys-Mallister,Denys Mallister,A Game of Thrones,Ser Denys Mallister,,
Desmond,Desmond,A Game of Thrones,Desmond,,
Dickon-Tarly,Dickon Tarly,A Game of Thrones,Dickon Tarly,,
Dolf,Dolf,A Game of Thrones,Dolf,,
Donal-Noye,Donal Noye,A Game of Thrones,Donal Noye,,
Donnel-Waynwood,Donnel Waynwood,A Game of Thrones,Ser Donnel Waynwood,,
Donnis,Donnis,A Game of Thrones,Donnis,,
Dontos-Hollard,Dontos Hollard,A Game of Thrones,Ser Dontos Hollard,,
Doran-Martell,Doran Martell,A Game of Thrones,Prince Doran Martell,,
Doreah,Doreah,A Game of Thrones,Doreah,,
Drogo,Drogo,A Game of Thrones,Khal Drogo,,
Dywen,Dywen,A Game of Thrones,Dywen,,
Eddard-Karstark,Eddard Karstark,A Game of Thrones,Eddard Karstark,,
Eddard-Stark,Eddard Stark,A Game of Thrones,Lord Eddard Stark,,
Edmure-Tully,Edmure Tully,A Game of Thrones,Ser Edmure Tully,,
Elia-Martell,Elia Martell,A Game of Thrones,Princess Elia Martell,,
Elmar-Frey,Elmar Frey,A Game of Thrones,Elmar Frey,,
Emmon-Frey,Emmon Frey,A Game of Thrones,Ser Emmon Frey,,
Endrew-Tarth,Endrew Tarth,A Game of Thrones,Ser Endrew Tarth,,
Eon-Hunter,Eon Hunter,A Game of Thrones,Lord Eon Hunter,,
Eroeh,Eroeh,A Game of Thrones,Eroeh,,
Erryk-Cargyll,Erryk Cargyll,A Game of Thrones,Ser Erryk Cargyll,,
Ethan-Glover,Ethan Glover,A Game of Thrones,Ethan Glover,,
Farlen,Farlen,A Game of Thrones,Farlen,,
Flement-Brax,Flement Brax,A Game of Thrones,Ser Flement Brax,,
Florian,Florian,A Game of Thrones,Ser Florian; The Fool,,The Fool
Fogo,Fogo,A Game of Thrones,Khalakka Fogo,,
Forley-Prester,Forley Prester,A Game of Thrones,Ser Forley Prester,,
Gage,Gage,A Game of Thrones,Gage,,
Galbart-Glover,Galbart Glover,A Game of Thrones,Lord Galbart Glover,,
Gared,Gared,A Game of Thrones,Gared,,
Garth-Greenfield,Garth Greenfield,A Game of Thrones,Ser Garth Greenfield,,
Gawen-Westerling,Gawen Westerling,A Game of Thrones,Lord Gawen Westerling,,
Gendry,Gendry,A Game of Thrones,Gendry,,
Gerold-Hightower,Gerold Hightower,A Game of Thrones,Ser Gerold Hightower; The White Bull,,The White Bull
Gladden-Wylde,Gladden Wylde,A Game of Thrones,Ser Gladden Wylde,,
Godwyn,Godwyn,A Game of Thrones,Godwyn,,
Gowen-Baratheon,Gowen Baratheon,A Game of Thrones,Gowen Baratheon,,
Gregor-Clegane,Gregor Clegane,A Game of Thrones,Ser Gregor Clegane; The Mountain that Rides,,The Mountain that Rides
Grenn,Grenn,A Game of Thrones,Grenn; Aurochs,,Aurochs
Gueren,Gueren,A Game of Thrones,Gueren,,
Gunthor,Gunthor,A Game of Thrones,Gunthor; Son of Gurn,,Son of Gurn
Gurn,Gurn,A Game of Thrones,Gurn,,
Gyles-Rosby,Gyles Rosby,A Game of Thrones,Lord Gyles Rosby,,
Haggo,Haggo,A Game of Thrones,Haggo,,
Hake,Hake,A Game of Thrones,Hake,,
Halder,Halder,A Game of Thrones,Halder; Stone Head,,Stone Head
Hali,Hali,A Game of Thrones,Hali,,
Hallis-Mollen,Hallis Mollen,A Game of Thrones,Hallis Mollen,,
Halys-Hornwood,Halys Hornwood,A Game of Thrones,Lord Halys Hornwood,,
Harren-Hoare,Harren Hoare,A Game of Thrones,King Harren Hoare; The Black,,The Black
Harrion-Karstark,Harrion Karstark,A Game of Thrones,Harrion Karstark,,
Harwin,Harwin,A Game of Thrones,Harwin,,
Harys-Swyft,Harys Swyft,A Game of Thrones,Ser Harys Swyft,,
Helman-Tallhart,Helman Tallhart,A Game of Thrones,Ser Helman Tallhart,,
Heward,Heward,A Game of Thrones,Heward,,
High-Septon,High Septon,A Game of Thrones,High Septon The Fat One,,The Fat One
Hobb,Hobb,A Game of Thrones,Hobb; Three-finger,,Three-finger
Hobber-Redwyne,Hobber Redwyne,A Game of Thrones,Ser Hobber Redwyne; Slobber,,Slobber
Horas-Redwyne,Horas Redwyne,A Game of Thrones,Ser Horas Redwyne; Horror,,Horror
Hosteen-Frey,Hosteen Frey,A Game of Thrones,Ser Hosteen Frey,,
Hoster-Tully,Hoster Tully,A Game of Thrones,Lord Hoster Tully,,
Howland-Reed,Howland Reed,A Game of Thrones,Lord Howland Reed,,
Hugh,Hugh,A Game of Thrones,Ser Hugh; Of the Vale,,Of the Vale
Hullen,Hullen,A Game of Thrones,Hullen,,
Illyrio-Mopatis,Illyrio Mopatis,A Game of Thrones,Magister Illyrio Mopatis,,
Ilyn-Payne,Ilyn Payne,A Game of Thrones,Ser Ilyn Payne,,
Irri,Irri,A Game of Thrones,Irri,,
Jacks,Jacks,A Game of Thrones,Jacks,,
Jaehaerys-Targaryen,Jaehaerys Targaryen,A Game of Thrones,King Jaehaerys II Targaryen,,
Jafer-Flowers,Jafer Flowers,A Game of Thrones,Jafer Flowers,,
Jaggot,Jaggot,A Game of Thrones,Jaggot,,
Jaime-Lannister,Jaime Lannister,A Game of Thrones,Ser Jaime Lannister; Kingslayer,,Kingslayer
Jalabhar-Xho,Jalabhar Xho,A Game of Thrones,Jalabhar Xho,,
Janos-Slynt,Janos Slynt,A Game of Thrones,Janos Slynt,,
Jared-Frey,Jared Frey,A Game of Thrones,Ser Jared Frey,,
Jaremy-Rykker,Jaremy Rykker,A Game of Thrones,Ser Jaremy Rykker,,
Jason-Mallister,Jason Mallister,A Game of Thrones,Lord Jason Mallister,,
Jeor-Mormont,Jeor Mormont,A Game of Thrones,Lord Commander Jeor Mormont; The Old Bear,,The Old Bear
Jeren,Jeren,A Game of Thrones,Jeren,,
Jeyne-Poole,Jeyne Poole,A Game of Thrones,Jeyne Poole,,
Jhaqo,Jhaqo,A Game of Thrones,Ko Jhaqo,,
Jhiqui,Jhiqui,A Game of Thrones,Jhiqui,,
Jhogo,Jhogo,A Game of Thrones,Jhogo,,
Joffrey-Baratheon,Joffrey Baratheon,A Game of Thrones,Prince Joffrey Baratheon,,
Jommo,Jommo,A Game of Thrones,Khal Jommo,,
Jon-Arryn,Jon Arryn,A Game of Thrones,Lord Jon Arryn,,
Jon-Snow,Jon Snow,A Game of Thrones,Jon Snow,,
Jon-Stark,Jon Stark,A Game of Thrones,King Jon Stark,,
Jon-Umber,Jon Umber,A Game of Thrones,Jon Umber; Smalljon,,Smalljon
Jon-Umber,Jon Umber,A Game of Thrones,Lord Jon Umber; Greatjon,,Greatjon
Jonos-Bracken,Jonos Bracken,A Game of Thrones,Lord Jonos Bracken,,
Jonquil,Jonquil,A Game of Thrones,Jonquil,,
Jorah-Mormont,Jorah Mormont,A Game of Thrones,Ser Jorah Mormont,,
Jory-Cassel,Jory Cassel,A Game of Thrones,Jory Cassel,,
Joseth,Joseth,A Game of Thrones,Joseth,,
Joss,Joss,A Game of Thrones,Joss,,
Jyck,Jyck,A Game of Thrones,Jyck,,
Karyl-Vance,Karyl Vance,A Game of Thrones,Ser Karyl Vance,,
Ketter,Ketter,A Game of Thrones,Ketter,,
Kevan-Lannister,Kevan Lannister,A Game of Thrones,Ser Kevan Lannister,,
Kurleket,Kurleket,A Game of Thrones,Kurleket,,
Kyra,Kyra,A Game of Thrones,Kyra,,
Lancel-Lannister,Lancel Lannister,A Game of Thrones,Lancel Lannister,,
Lann,Lann,A Game of Thrones,Lann; The Clever,,The Clever
Leo-Lefford,Leo Lefford,A Game of Thrones,Lord Leo Lefford,,
Lew,Lew,A Game of Thrones,Lew,,
Lewyn-Martell,Lewyn Martell,A Game of Thrones,Prince Lewyn Martell,,
Lewys-Lydden,Lewys Lydden,A Game of Thrones,Lord Lewys Lydden,,
Lharys,Lharys,A Game of Thrones,Lharys,,
Loras-Tyrell,Loras Tyrell,A Game of Thrones,Ser Loras Tyrell; Knight of Flowers,,Knight of Flowers
Loren,Loren,A Game of Thrones,King Loren; Of the Rock,,Of the Rock
Lothar-Mallery,Lothar Mallery,A Game of Thrones,Lord Lothar Mallery,,
Lothor-Brune,Lothor Brune,A Game of Thrones,Lothor Brune,,
Luwin,Luwin,A Game of Thrones,Maester Luwin,,
Lyanna-Stark,Lyanna Stark,A Game of Thrones,Lyanna Stark,,
Lyn-Corbray,Lyn Corbray,A Game of Thrones,Ser Lyn Corbray,,
Lysa-Arryn,Lysa Arryn,A Game of Thrones,Lady Lysa Arryn (Tully),Tully,
Mace-Tyrell,Mace Tyrell,A Game of Thrones,Lord Mace Tyrell,,
Maege-Mormont,Maege Mormont,A Game of Thrones,Lady Maege Mormont,,
Maegor-Targaryen,Maegor Targaryen,A Game of Thrones,King Maegor I Targaryen; The Cruel,,The Cruel
Maekar-Targaryen,Maekar Targaryen,A Game of Thrones,King Maekar I Targaryen,,
Mago,Mago,A Game of Thrones,Mago,,
Malleon,Malleon,A Game of Thrones,Grand Maester Malleon,,
Mallor,Mallor,A Game of Thrones,Mallor; The Dornishman,,The Dornishman
Mance-Rayder,Mance Rayder,A Game of Thrones,King Mance Rayder; King-Beyond-the-Wall,,King-Beyond-the-Wall
Mandon-Moore,Mandon Moore,A Game of Thrones,Ser Mandon Moore,,
Margaery-Tyrell,Margaery Tyrell,A Game of Thrones,Lady Margaery Tyrell,,
Marillion,Marillion,A Game of Thrones,Marillion,,
Mark-Ryswell,Mark Ryswell,A Game of Thrones,Ser Mark Ryswell,,
Marq-Piper,Marq Piper,A Game of Thrones,Ser Marq Piper,,
Martyn-Cassel,Martyn Cassel,A Game of Thrones,Martyn Cassel,,
Martyn-Rivers,Martyn Rivers,A Game of Thrones,Martyn Rivers,,
Marwyn,Marwyn,A Game of Thrones,Archmaester Marwyn,,
Masha-Heddle,Masha Heddle,A Game of Thrones,Masha Heddle,,
Mathis-Rowan,Mathis Rowan,A Game of Thrones,Lord Mathis Rowan,,
Matthar,Matthar,A Game of Thrones,Matthar; Ser Loon,,Ser Loon
Medger-Cerwyn,Medger Cerwyn,A Game of Thrones,Lord Medger Cerwyn,,
Mern,Mern,A Game of Thrones,King Mern; Of the Reach,,Of the Reach
Mikken,Mikken,A Game of Thrones,Mikken,,
Mirri-Maz-Duur,Mirri Maz Duur,A Game of Thrones,Mirri Maz Duur,,
Mohor,Mohor,A Game of Thrones,Mohor,,
Moon-Boy,Moon Boy,A Game of Thrones,Moon Boy,,
Mord,Mord,A Game of Thrones,Mord,,
Mordane,Mordane,A Game of Thrones,Septa Mordane,,
Moreo-Tumitis,Moreo Tumitis,A Game of Thrones,Captain Moreo Tumitis,,
Morgil,Morgil,A Game of Thrones,Ser Morgil,,
Moro,Moro,A Game of Thrones,Khal Moro,,
Morrec,Morrec,A Game of Thrones,Morrec,,
Morton-Waynwood,Morton Waynwood,A Game of Thrones,Ser Morton Waynwood,,
Mya-Stone,Mya Stone,A Game of Thrones,Mya Stone,,
Mycah,Mycah,A Game of Thrones,Mycah,,
Mychel-Redfort,Mychel Redfort,A Game of Thrones,Mychel Redfort,,
Myrcella-Baratheon,Myrcella Baratheon,A Game of Thrones,Princess Myrcella Baratheon,,
Naerys-Targaryen,Naerys Targaryen,A Game of Thrones,Queen Naerys Targaryen,,
Nan,Nan,A Game of Thrones,Nan; Old Nan,,Old Nan
Nestor-Royce,Nestor Royce,A Game of Thrones,Lord Nestor Royce,,
Ogo,Ogo,A Game of Thrones,Khal Ogo,,
Olyvar-Frey,Olyvar Frey,A Game of Thrones,Olyvar Frey,,
Osha,Osha,A Game of Thrones,Osha,,
Oswell-Whent,Oswell Whent,A Game of Thrones,Ser Oswell Whent,,
Othell-Yarwyck,Othell Yarwyck,A Game of Thrones,Othell Yarwyck,,
Othor,Othor,A Game of Thrones,Othor,,
Pate,Pate,A Game of Thrones,Pate; Of the Night's Watch,,Of the Night's Watch
Patrek-Mallister,Patrek Mallister,A Game of Thrones,Patrek Mallister,,
Perwyn-Frey,Perwyn Frey,A Game of Thrones,Ser Perwyn Frey,,
Petyr-Baelish,Petyr Baelish,A Game of Thrones,Lord Petyr Baelish; Littlefinger,,Littlefinger
Podrick-Payne,Podrick Payne,A Game of Thrones,Podrick Payne,,
Pono,Pono,A Game of Thrones,Ko Pono,,
Porther,Porther,A Game of Thrones,Porther,,
Preston-Greenfield,Preston Greenfield,A Game of Thrones,Ser Preston Greenfield,,
Pycelle,Pycelle,A Game of Thrones,Grand Maester Pycelle,,
Pypar,Pypar,A Game of Thrones,Pypar; Pyp,,Pyp
Qhorin,Qhorin,A Game of Thrones,Qhorin; Halfhand,,Halfhand
Qos,Qos,A Game of Thrones,Captain Qos,,
Qotho,Qotho,A Game of Thrones,Qotho,,
Quaro,Quaro,A Game of Thrones,Quaro,,
Quent,Quent,A Game of Thrones,Quent,,
Quenten-Banefort,Quenten Banefort,A Game of Thrones,Lord Quenten Banefort,,
Rainbow-Knight,Rainbow Knight,A Game of Thrones,The Rainbow Knight,,The Rainbow Knight
Rakharo,Rakharo,A Game of Thrones,Rakharo,,
Randyll-Tarly,Randyll Tarly,A Game of Thrones,Lord Randyll Tarly,,
Rast,Rast,A Game of Thrones,Rast,,
Raymun-Darry,Raymun Darry,A Game of Thrones,Lord Raymun Darry,,
Regenard-Estren,Regenard Estren,A Game of Thrones,Lord Regenard Estren,,
Renly-Baratheon,Renly Baratheon,A Game of Thrones,Renly Baratheon,,
Rhaegar-Targaryen,Rhaegar Targaryen,A Game of Thrones,Prince Rhaegar Targaryen,,
Rhaenys-Targaryen,Rhaenys Targaryen,A Game of Thrones,Princess Rhaenys Targaryen; Rhaegar's daughter,,Rhaegar's daughter
Rhogoro,Rhogoro,A Game of Thrones,Rhogoro,,
Rickard-Karstark,Rickard Karstark,A Game of Thrones,Lord Rickard Karstark,,
Rickard-Stark,Rickard Stark,A Game of Thrones,King Rickard Stark,,
Rickard-Stark,Rickard Stark,A Game of Thrones,Lord Rickard Stark,,
Rickon-Stark,Rickon Stark,A Game of Thrones,Rickon Stark,,
Robar-Royce,Robar Royce,A Game of Thrones,Ser Robar Royce,,
Robb-Stark,Robb Stark,A Game of Thrones,Robb Stark,,
Robert-Baratheon,Robert Baratheon,A Game of Thrones,King Robert Baratheon,,
Robett-Glover,Robett Glover,A Game of Thrones,Robett Glover,,
Robin-Flint,Robin Flint,A Game of Thrones,Lord Robin Flint,,
Rodrik-Cassel,Rodrik Cassel,A Game of Thrones,Ser Rodrik Cassel,,
Rodrik-Stark,Rodrik Stark,A Game of Thrones,King Rodrik Stark,,
Roland-Crakehall,Roland Crakehall,A Game of Thrones,Lord Roland Crakehall,,
Roose-Bolton,Roose Bolton,A Game of Thrones,Lord Roose Bolton,,
Rudge,Rudge,A Game of Thrones,Rudge,,
Ryam-Redwyne,Ryam Redwyne,A Game of Thrones,Ser Ryam Redwyne,,
Ryger-Rivers,Ryger Rivers,A Game of Thrones,Ryger Rivers,,
Samwell-Tarly,Samwell Tarly,A Game of Thrones,Samwell Tarly,,
Sandor-Clegane,Sandor Clegane,A Game of Thrones,Sandor Clegane; The Hound,,The Hound
Sansa-Stark,Sansa Stark,A Game of Thrones,Sansa Stark,,
Selyse-Baratheon,Selyse Baratheon,A Game of Thrones,Lady Selyse Baratheon (Florent),Florent,
Serrett,Serrett,A Game of Thrones,Lord Serrett,,
Serwyn,Serwyn,A Game of Thrones,Ser Serwyn; Of the Mirror Shield,,Of the Mirror Shield
Shae,Shae,A Game of Thrones,Shae,,
Shagga,Shagga,A Game of Thrones,Shagga; Son of Dolf,,Son of Dolf
Shella,Shella,A Game of Thrones,Lady Shella,,
Shella-Whent,Shella Whent,A Game of Thrones,Lady Shella Whent,,
Stannis-Baratheon,Stannis Baratheon,A Game of Thrones,Stannis Baratheon,,
Stevron-Frey,Stevron Frey,A Game of Thrones,Ser Stevron Frey,,
Stiv,Stiv,A Game of Thrones,Stiv,,
Symeon,Symeon,A Game of Thrones,Symeon; Star-Eyes,,Star-Eyes
Syrio-Forel,Syrio Forel,A Game of Thrones,Syrio Forel,,
Tanda-Stokeworth,Tanda Stokeworth,A Game of Thrones,Lady Tanda Stokeworth,,
Theo-Frey,Theo Frey,A Game of Thrones,Ser Theo Frey,,
Theo-Wull,Theo Wull,A Game of Thrones,Theo Wull,,
Theon-Greyjoy,Theon Greyjoy,A Game of Thrones,Theon Greyjoy,,
Theon-Stark,Theon Stark,A Game of Thrones,King Theon Stark,,
Thoros,Thoros,A Game of Thrones,Thoros; Of Myr,,Of Myr
Timett,Timett,A Game of Thrones,Timett,,
Timett,Timett,A Game of Thrones,Timett; Son of Timett,,Son of Timett
Tobho-Mott,Tobho Mott,A Game of Thrones,Tobho Mott,,
Todder,Todder,A Game of Thrones,Todder; Toad,,Toad
Tomard,Tomard,A Game of Thrones,Tomard; Fat Tom,,Fat Tom
Tommen-Baratheon,Tommen Baratheon,A Game of Thrones,Prince Tommen Baratheon,,
Torrek,Torrek,A Game of Thrones,Torrek,,
Torrhen-Karstark,Torrhen Karstark,A Game of Thrones,Torrhen Karstark,,
Torrhen-Stark,Torrhen Stark,A Game of Thrones,King Torrhen Stark; The King who Knelt,,The King who Knelt
Tregar,Tregar,A Game of Thrones,Tregar,,
Tya-Lannister,Tya Lannister,A Game of Thrones,Tya Lannister,,
Tyrion-Lannister,Tyrion Lannister,A Game of Thrones,Tyrion Lannister; The Imp,,The Imp
Tytos-Blackwood,Tytos Blackwood,A Game of Thrones,Lord Tytos Blackwood,,
Tytos-Brax,Tytos Brax,A Game of Thrones,Ser Tytos Brax,,
Tytos-Lannister,Tytos Lannister,A Game of Thrones,Lord Tytos Lannister,,
Tywin-Lannister,Tywin Lannister,A Game of Thrones,Lord Tywin Lannister,,
Ulf,Ulf,A Game of Thrones,Ulf; Son of Umar,,Son of Umar
Umar,Umar,A Game of Thrones,Umar,,
Vance,Vance,A Game of Thrones,Lord Vance,,
Vardis-Egen,Vardis Egen,A Game of Thrones,Ser Vardis Egen,,
Vargo-Hoat,Vargo Hoat,A Game of Thrones,Vargo Hoat,,
Varly,Varly,A Game of Thrones,Varly,,
Varys,Varys,A Game of Thrones,Varys; The Spider,,The Spider
Vayon-Poole,Vayon Poole,A Game of Thrones,Vayon Poole,,
Viserys-Targaryen,Viserys Targaryen,A Game of Thrones,Prince Viserys Targaryen; The Beggar King,,The Beggar King
Vyman,Vyman,A Game of Thrones,Maester Vyman,,
Walder,Walder,A Game of Thrones,Walder; Hodor,,Hodor
Walder-Frey,Walder Frey,A Game of Thrones,Lord Walder Frey; The Late Lord Frey,,The Late Lord Frey
Wallen,Wallen,A Game of Thrones,Wallen,,
Waymar-Royce,Waymar Royce,A Game of Thrones,Ser Waymar Royce,,
Wayn,Wayn,A Game of Thrones,Wayn,,
Wendel-Manderly,Wendel Manderly,A Game of Thrones,Ser Wendel Manderly,,
Will,Will,A Game of Thrones,Will,,
Willam-Dustin,Willam Dustin,A Game of Thrones,Lord Willam Dustin,,
Willem-Darry,Willem Darry,A Game of Thrones,Ser Willem Darry,,
Willis-Wode,Willis Wode,A Game of Thrones,Ser Willis Wode,,
Wyl,Wyl,A Game of Thrones,Wyl,,
Wylis-Manderly,Wylis Manderly,A Game of Thrones,Ser Wylis Manderly,,
Wylla,Wylla,A Game of Thrones,Wylla,,
Wyman-Manderly,Wyman Manderly,A Game of Thrones,Lord Wyman Manderly,,
Yohn-Royce,Yohn Royce,A Game of Thrones,Lord Yohn Royce; Bronze Yohn,,Bronze Yohn
Yoren,Yoren,A Game of Thrones,Yoren,,
